t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
35,0,,,,0.000000,0.000000,0.178984,0.766710,0.000000,0.255585,0.755758,-0.032816,0.324623,0.702705,-0.045066,0.368512,0.640055,-0.054497,0.404602,0.590375,-0.063074,0.288118,0.554502,-0.023185,0.321049,0.468989,-0.041370,0.335690,0.414446,-0.056297,0.344804,0.365262,-0.067481,0.245125,0.527054,-0.021348,0.267774,0.424399,-0.037603,0.277334,0.360776,-0.052649,0.280155,0.307466,-0.063453,0.202147,0.524619,-0.023718,0.205342,0.426816,-0.041512,0.207610,0.366173,-0.054923,0.209406,0.313058,-0.063737,0.159114,0.542205,-0.029286,0.154162,0.464745,-0.047270,0.151574,0.414319,-0.056345,0.152280,0.366594,-0.061321
73,0,0.025504,0.032915,0.025763,0.025504,0.032915,0.178298,0.766537,0.000000,0.255539,0.755775,-0.033029,0.324736,0.702515,-0.045246,0.368749,0.639808,-0.054504,0.404845,0.590174,-0.062980,0.288212,0.554740,-0.024068,0.320917,0.469056,-0.042263,0.335439,0.414385,-0.057061,0.344576,0.364992,-0.068142,0.245202,0.527024,-0.022090,0.267973,0.423808,-0.038356,0.277581,0.360181,-0.053131,0.280514,0.306961,-0.063738,0.202216,0.524374,-0.024292,0.205078,0.426247,-0.042121,0.207179,0.365102,-0.055593,0.208885,0.311641,-0.064448,0.159440,0.542132,-0.029714,0.154603,0.464316,-0.047875,0.151860,0.413690,-0.057156,0.152588,0.365676,-0.062365
108,0,0.027010,0.038831,0.037738,0.031397,0.042728,0.179055,0.767530,0.000000,0.255466,0.756206,-0.032459,0.324337,0.702018,-0.044464,0.368012,0.639315,-0.053671,0.403659,0.589860,-0.062070,0.288623,0.555040,-0.023573,0.321232,0.469135,-0.041712,0.336065,0.414593,-0.056423,0.345460,0.365407,-0.067432,0.245552,0.527222,-0.021924,0.268347,0.423955,-0.038058,0.278142,0.360341,-0.052627,0.281317,0.307333,-0.062972,0.202571,0.524595,-0.024415,0.205454,0.426132,-0.042068,0.207604,0.364797,-0.055189,0.209556,0.310948,-0.063778,0.159597,0.542349,-0.030110,0.154860,0.464495,-0.048047,0.152337,0.413784,-0.057040,0.153354,0.365745,-0.061975
141,0,0.036994,0.040729,0.064101,0.039096,0.051910,0.178356,0.766917,0.000000,0.255086,0.756237,-0.032682,0.324701,0.702485,-0.044543,0.368310,0.639494,-0.053528,0.404368,0.590475,-0.061657,0.288431,0.554228,-0.023139,0.321614,0.468400,-0.041001,0.336349,0.413702,-0.055619,0.345425,0.364604,-0.066601,0.245310,0.526797,-0.021178,0.268532,0.423355,-0.037080,0.278341,0.359660,-0.051721,0.281205,0.306664,-0.062227,0.202301,0.524151,-0.023424,0.205730,0.425672,-0.040883,0.208204,0.364887,-0.054146,0.210080,0.311933,-0.062798,0.158830,0.541443,-0.028832,0.154389,0.463498,-0.046563,0.152046,0.413076,-0.055477,0.153008,0.365626,-0.060373
175,0,0.026420,0.028397,0.034593,0.028937,0.038216,0.178843,0.767338,0.000000,0.255212,0.756227,-0.032431,0.324036,0.702589,-0.044328,0.368090,0.639819,-0.053441,0.404046,0.590531,-0.061769,0.288351,0.555108,-0.022914,0.321298,0.469080,-0.040902,0.335951,0.414490,-0.055630,0.344984,0.365298,-0.066671,0.245377,0.527581,-0.021260,0.268616,0.424223,-0.037404,0.278551,0.360494,-0.052251,0.281806,0.307002,-0.062959,0.202328,0.524792,-0.023818,0.205546,0.426456,-0.041592,0.208074,0.365259,-0.055107,0.210211,0.311686,-0.064006,0.159261,0.541990,-0.029528,0.154421,0.464110,-0.047635,0.151938,0.413294,-0.056867,0.152829,0.365498,-0.062055
209,0,0.019064,0.018579,0.034040,0.026651,0.031596,0.178996,0.767156,0.000000,0.255795,0.756165,-0.032687,0.324326,0.702825,-0.044779,0.367938,0.639906,-0.054067,0.403591,0.590088,-0.062476,0.288286,0.554697,-0.023506,0.321434,0.469134,-0.041667,0.336158,0.414574,-0.056348,0.345536,0.365655,-0.067323,0.245202,0.527247,-0.021629,0.268404,0.424072,-0.037866,0.278201,0.359971,-0.052547,0.281182,0.306676,-0.063047,0.202219,0.524568,-0.023933,0.205548,0.426076,-0.041714,0.208014,0.364877,-0.054970,0.210020,0.311576,-0.063617,0.159280,0.542293,-0.029409,0.154645,0.464055,-0.047439,0.152418,0.413056,-0.056538,0.153563,0.365065,-0.061526
244,0,0.017021,0.020541,0.027954,0.024190,0.028474,0.178384,0.766587,0.000000,0.254773,0.756123,-0.032979,0.324056,0.703092,-0.045207,0.368138,0.640398,-0.054514,0.403766,0.590338,-0.063014,0.288159,0.554621,-0.023660,0.321185,0.469030,-0.041835,0.335782,0.414656,-0.056651,0.345006,0.365481,-0.067715,0.245028,0.526828,-0.021701,0.268004,0.423395,-0.037847,0.278011,0.359994,-0.052615,0.281054,0.306838,-0.063157,0.201922,0.524171,-0.023945,0.205129,0.425723,-0.041693,0.207582,0.364906,-0.054989,0.209718,0.311510,-0.063679,0.158600,0.541765,-0.029394,0.154299,0.463792,-0.047367,0.151975,0.413239,-0.056366,0.153007,0.365460,-0.061352
278,0,0.025824,0.024739,0.021088,0.039793,0.046280,0.177887,0.766509,0.000000,0.254725,0.756052,-0.032758,0.323746,0.703455,-0.044920,0.367680,0.640729,-0.054208,0.403417,0.590761,-0.062570,0.287676,0.554579,-0.023482,0.321071,0.468936,-0.041523,0.335855,0.414298,-0.056156,0.345147,0.365224,-0.067083,0.244629,0.526443,-0.021498,0.267805,0.423033,-0.037556,0.277818,0.359468,-0.052118,0.280878,0.306580,-0.062523,0.201757,0.523338,-0.023707,0.204807,0.424897,-0.041286,0.207061,0.364009,-0.054446,0.209187,0.310973,-0.062998,0.158970,0.540448,-0.029100,0.154330,0.462396,-0.046892,0.151829,0.411892,-0.055824,0.152644,0.364589,-0.060670
312,0,0.025093,0.024929,0.044963,0.036723,0.046569,0.177787,0.767066,0.000000,0.254677,0.756167,-0.032342,0.323892,0.703151,-0.044447,0.367545,0.640412,-0.053793,0.403560,0.590732,-0.062354,0.287818,0.555192,-0.023555,0.320891,0.469057,-0.041688,0.335842,0.414435,-0.056361,0.345178,0.365214,-0.067301,0.244619,0.527392,-0.021891,0.267837,0.423875,-0.038097,0.278121,0.359934,-0.052747,0.281145,0.306584,-0.063163,0.201449,0.524580,-0.024352,0.204627,0.425651,-0.042045,0.207027,0.364222,-0.055220,0.209157,0.310581,-0.063781,0.158504,0.542076,-0.029964,0.153979,0.463557,-0.047919,0.151646,0.412428,-0.056932,0.152774,0.364576,-0.061783
345,0,0.048736,0.041379,0.034521,0.065492,0.074825,0.176767,0.766286,0.000000,0.253904,0.755621,-0.032347,0.323611,0.702098,-0.044065,0.367332,0.639253,-0.052906,0.402963,0.589875,-0.060892,0.287682,0.554637,-0.023042,0.320842,0.468398,-0.040809,0.335588,0.413490,-0.055140,0.344611,0.364353,-0.065788,0.244383,0.526735,-0.021117,0.267759,0.422923,-0.037006,0.277764,0.358981,-0.051385,0.280853,0.306117,-0.061557,0.201152,0.523615,-0.023340,0.204300,0.424486,-0.040761,0.206567,0.363117,-0.053857,0.208505,0.309722,-0.062318,0.157992,0.540721,-0.028687,0.153746,0.462577,-0.046370,0.151534,0.411736,-0.055235,0.152761,0.363949,-0.060036
