t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
31,0,,,,0.000000,0.000000,0.149370,0.851705,0.000000,0.210643,0.834383,-0.027869,0.260122,0.789336,-0.035053,0.279831,0.728727,-0.039414,0.292954,0.676921,-0.042382,0.231784,0.679836,-0.005755,0.254143,0.614924,-0.016377,0.263994,0.572870,-0.028357,0.270837,0.534618,-0.037170,0.200203,0.663232,-0.000908,0.216929,0.590500,-0.008333,0.224136,0.543223,-0.019200,0.228545,0.502602,-0.027615,0.167806,0.661841,-0.000455,0.178617,0.593637,-0.009555,0.185638,0.553829,-0.017708,0.191642,0.519113,-0.023327,0.132198,0.672695,-0.003131,0.137007,0.618837,-0.012478,0.141132,0.586497,-0.016423,0.145505,0.556413,-0.018332
80,0,0.048270,0.039452,0.061938,0.048270,0.039452,0.149326,0.851158,0.000000,0.210443,0.834332,-0.028200,0.260148,0.788636,-0.035553,0.280001,0.727897,-0.040033,0.293916,0.676246,-0.043105,0.231898,0.678846,-0.006689,0.254581,0.614071,-0.017587,0.264611,0.572098,-0.029610,0.271544,0.533787,-0.038444,0.200506,0.662233,-0.001833,0.217361,0.589529,-0.009584,0.224820,0.542117,-0.020486,0.229525,0.501160,-0.028923,0.168197,0.661093,-0.001350,0.179218,0.592604,-0.010794,0.186312,0.552811,-0.019023,0.192549,0.517936,-0.024660,0.132433,0.672551,-0.003997,0.137075,0.618350,-0.013766,0.141364,0.585643,-0.017921,0.145897,0.555190,-0.019926
115,0,0.092922,0.067985,0.052491,0.102184,0.057374,0.149265,0.848956,0.000000,0.210563,0.832547,-0.028715,0.260403,0.787818,-0.036048,0.280225,0.726585,-0.040375,0.294085,0.674449,-0.043236,0.232460,0.677696,-0.005839,0.255300,0.612674,-0.016376,0.265307,0.570501,-0.028245,0.272255,0.532263,-0.036917,0.200988,0.660645,-0.000425,0.218321,0.587826,-0.007627,0.225825,0.540396,-0.018350,0.230719,0.500206,-0.026615,0.168848,0.658574,0.000497,0.180062,0.590495,-0.008315,0.187429,0.550734,-0.016277,0.193795,0.516407,-0.021745,0.133164,0.668922,-0.001803,0.138376,0.615022,-0.010809,0.143024,0.582899,-0.014503,0.148022,0.553088,-0.016223
150,0,0.081153,0.037338,0.043298,0.146657,0.042092,0.150104,0.846867,0.000000,0.211509,0.830211,-0.028225,0.260851,0.785475,-0.035466,0.280291,0.724735,-0.039721,0.293738,0.673053,-0.042581,0.232961,0.675513,-0.006608,0.255988,0.610784,-0.017335,0.266054,0.568552,-0.029202,0.272899,0.530325,-0.037838,0.201470,0.658556,-0.001516,0.218963,0.585309,-0.008966,0.226526,0.537876,-0.019589,0.230917,0.497812,-0.027754,0.169287,0.656916,-0.000794,0.180983,0.588044,-0.009912,0.188314,0.548080,-0.017941,0.194474,0.513634,-0.023373,0.133476,0.667818,-0.003195,0.138972,0.613177,-0.012528,0.143745,0.580597,-0.016384,0.148671,0.550567,-0.018159
183,0,0.061278,0.036528,0.051115,0.193024,0.057596,0.150105,0.844690,0.000000,0.212206,0.828161,-0.027768,0.261234,0.783413,-0.034855,0.280679,0.722257,-0.039114,0.294316,0.670439,-0.042050,0.233883,0.674269,-0.005723,0.256642,0.609636,-0.016304,0.266809,0.567651,-0.028185,0.273749,0.529269,-0.036921,0.202260,0.657185,-0.000841,0.219534,0.584238,-0.008174,0.227097,0.536928,-0.018941,0.232004,0.496512,-0.027278,0.169860,0.655384,-0.000330,0.181418,0.586544,-0.009407,0.188881,0.546276,-0.017536,0.195331,0.511445,-0.023128,0.134187,0.665821,-0.002923,0.139531,0.610902,-0.012289,0.144406,0.578180,-0.016213,0.149479,0.547864,-0.018089
221,0,0.074182,0.030928,0.043389,0.259967,0.076885,0.150567,0.842088,0.000000,0.211645,0.826323,-0.027687,0.261121,0.781648,-0.034645,0.280797,0.720833,-0.038712,0.294814,0.669534,-0.041423,0.233782,0.672465,-0.006633,0.256916,0.607291,-0.017305,0.267096,0.565187,-0.029007,0.273980,0.526866,-0.037483,0.202440,0.655220,-0.001732,0.220428,0.582018,-0.009131,0.228422,0.534530,-0.019627,0.233603,0.494363,-0.027687,0.170291,0.653062,-0.001119,0.182195,0.583888,-0.010112,0.190037,0.543494,-0.018064,0.196801,0.508656,-0.023495,0.134564,0.663116,-0.003585,0.140383,0.608023,-0.012832,0.145547,0.575347,-0.016609,0.151005,0.545127,-0.018362
255,0,0.110558,0.058107,0.074500,0.355212,0.098991,0.151217,0.840240,0.000000,0.212658,0.824294,-0.027654,0.262243,0.779014,-0.034283,0.282171,0.718031,-0.037968,0.295541,0.666276,-0.040316,0.234855,0.669919,-0.005545,0.258385,0.604486,-0.015579,0.268724,0.562161,-0.026914,0.275480,0.524214,-0.035150,0.203330,0.652951,-0.000442,0.221752,0.579355,-0.007216,0.229714,0.531885,-0.017530,0.234402,0.492077,-0.025469,0.171157,0.650972,0.000317,0.183717,0.581518,-0.008178,0.191565,0.540578,-0.016211,0.198258,0.505481,-0.021730,0.135496,0.660914,-0.002008,0.141469,0.605611,-0.010937,0.146733,0.572515,-0.014775,0.152401,0.541927,-0.016591
287,0,0.086829,0.063352,0.081872,0.405699,0.123731,0.150883,0.837227,0.000000,0.212846,0.822098,-0.027508,0.262629,0.777685,-0.034344,0.282163,0.716562,-0.038297,0.296193,0.665240,-0.040981,0.235962,0.667679,-0.005920,0.259835,0.602620,-0.016456,0.270122,0.560578,-0.028125,0.277042,0.522547,-0.036593,0.204327,0.650603,-0.001034,0.222970,0.577289,-0.008382,0.231004,0.530061,-0.018931,0.235987,0.490105,-0.026982,0.172071,0.648430,-0.000450,0.184650,0.579011,-0.009438,0.192837,0.537814,-0.017381,0.200113,0.502030,-0.022757,0.136115,0.658453,-0.002935,0.142410,0.602907,-0.012213,0.147869,0.569599,-0.015948,0.153772,0.538664,-0.017607
321,0,0.133035,0.051571,0.093561,0.530311,0.162317,0.152277,0.834100,0.000000,0.214015,0.818634,-0.027000,0.263785,0.775070,-0.033977,0.283272,0.714163,-0.038272,0.297923,0.663026,-0.041244,0.237958,0.665144,-0.005065,0.262092,0.600672,-0.015838,0.272523,0.558464,-0.027761,0.279389,0.520381,-0.036423,0.206511,0.647529,-0.000608,0.225581,0.573963,-0.008494,0.234059,0.526928,-0.019408,0.239468,0.487013,-0.027616,0.174162,0.644542,-0.000463,0.187552,0.574670,-0.010084,0.196182,0.533520,-0.018203,0.203994,0.498167,-0.023557,0.138026,0.653695,-0.003300,0.145211,0.597861,-0.013065,0.151207,0.564471,-0.016952,0.157522,0.533402,-0.018628
353,0,0.129067,0.033603,0.053686,0.658947,0.191473,0.153790,0.830696,0.000000,0.216028,0.815040,-0.025947,0.265300,0.770916,-0.032471,0.284533,0.710857,-0.036523,0.299443,0.660360,-0.039357,0.239436,0.661689,-0.004720,0.264029,0.597445,-0.015490,0.274936,0.555428,-0.027328,0.281864,0.517572,-0.035887,0.208138,0.644093,-0.000785,0.227900,0.570814,-0.008654,0.236583,0.523631,-0.019370,0.241948,0.483871,-0.027401,0.175799,0.641449,-0.001077,0.190024,0.571262,-0.010693,0.198752,0.529852,-0.018770,0.206402,0.494207,-0.024076,0.139666,0.650810,-0.004256,0.147253,0.594637,-0.014118,0.153550,0.560615,-0.018080,0.160049,0.528866,-0.019788
