t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
26,0,,,,0.000000,0.000000,0.193897,0.684040,0.000000,0.246301,0.680816,-0.029306,0.293775,0.649115,-0.043384,0.331296,0.612808,-0.054736,0.364998,0.590688,-0.065745,0.267446,0.538111,-0.029049,0.293628,0.480678,-0.045991,0.306708,0.442473,-0.058783,0.314374,0.406186,-0.068592,0.237780,0.514902,-0.026751,0.255090,0.442342,-0.041910,0.261585,0.397411,-0.053022,0.262179,0.357507,-0.061081,0.206614,0.512429,-0.027557,0.204055,0.442645,-0.043727,0.200697,0.398364,-0.054496,0.197269,0.357159,-0.061596,0.175045,0.527486,-0.031021,0.159431,0.474155,-0.046574,0.149938,0.439454,-0.054291,0.143399,0.404611,-0.058921
58,0,0.029412,0.037269,0.050158,0.029412,0.037269,0.193600,0.684574,0.000000,0.246180,0.680814,-0.028678,0.293973,0.649022,-0.042467,0.331405,0.613274,-0.053719,0.365248,0.591048,-0.064593,0.267795,0.537932,-0.028214,0.293939,0.479781,-0.044766,0.307119,0.441520,-0.057321,0.314855,0.405347,-0.066960,0.238076,0.515217,-0.026156,0.255216,0.442728,-0.041061,0.261545,0.397818,-0.052141,0.262147,0.357814,-0.060168,0.206688,0.512830,-0.027185,0.204349,0.443105,-0.043085,0.201075,0.398400,-0.053856,0.197896,0.356846,-0.060991,0.175029,0.527703,-0.030839,0.159826,0.474421,-0.046172,0.150497,0.439590,-0.053890,0.144121,0.404600,-0.058521
92,0,0.020839,0.014456,0.049088,0.041454,0.044696,0.193775,0.684131,0.000000,0.246313,0.680282,-0.028665,0.294313,0.648167,-0.042347,0.331929,0.612188,-0.053422,0.365740,0.590399,-0.064120,0.267820,0.537961,-0.028408,0.294482,0.479825,-0.044953,0.307602,0.441333,-0.057468,0.315256,0.404975,-0.067035,0.238170,0.515124,-0.026248,0.255700,0.442378,-0.041009,0.262176,0.397378,-0.051947,0.262664,0.357758,-0.059834,0.206869,0.512784,-0.027105,0.204816,0.442665,-0.042861,0.201675,0.397896,-0.053525,0.198355,0.356616,-0.060554,0.175289,0.527558,-0.030603,0.160160,0.474044,-0.045810,0.150805,0.438975,-0.053422,0.144468,0.403947,-0.057948
121,0,0.020309,0.019351,0.055564,0.033891,0.035303,0.193838,0.684230,0.000000,0.246614,0.680819,-0.028872,0.294341,0.648893,-0.042657,0.331758,0.612825,-0.053801,0.365404,0.590808,-0.064568,0.268042,0.538450,-0.028564,0.294389,0.481095,-0.045366,0.307723,0.442704,-0.058088,0.315346,0.406484,-0.067792,0.238402,0.515140,-0.026403,0.255767,0.442622,-0.041388,0.262353,0.397672,-0.052361,0.263091,0.358011,-0.060282,0.207004,0.512280,-0.027329,0.204889,0.442433,-0.043274,0.201924,0.397897,-0.053870,0.198802,0.356550,-0.060865,0.175280,0.527134,-0.030878,0.160122,0.473751,-0.046189,0.150890,0.438890,-0.053733,0.144713,0.403932,-0.058225
154,0,0.012093,0.013316,0.065448,0.036519,0.042766,0.193589,0.684077,0.000000,0.246584,0.680496,-0.028705,0.294291,0.648876,-0.042517,0.331382,0.612488,-0.053738,0.365236,0.590729,-0.064581,0.267844,0.537760,-0.028379,0.294350,0.480443,-0.045056,0.307680,0.442177,-0.057718,0.315557,0.405969,-0.067464,0.238433,0.514825,-0.026285,0.255819,0.442411,-0.041247,0.262298,0.397523,-0.052296,0.262996,0.357647,-0.060292,0.207147,0.512302,-0.027246,0.205074,0.442401,-0.043272,0.202050,0.397712,-0.054012,0.198989,0.356193,-0.061081,0.175738,0.527142,-0.030815,0.160358,0.473742,-0.046291,0.151075,0.438657,-0.054012,0.144901,0.403505,-0.058610
188,0,0.015559,0.017249,0.043090,0.046742,0.056665,0.193604,0.684366,0.000000,0.246825,0.680774,-0.028822,0.294496,0.649069,-0.042524,0.331905,0.612277,-0.053540,0.365622,0.590002,-0.064179,0.267661,0.538268,-0.028292,0.294307,0.480166,-0.044850,0.307731,0.441700,-0.057405,0.315492,0.405244,-0.067019,0.238300,0.515158,-0.026017,0.255721,0.442538,-0.040882,0.262407,0.397574,-0.051898,0.263080,0.357634,-0.059869,0.207149,0.512444,-0.026804,0.205093,0.442566,-0.042729,0.202098,0.397683,-0.053471,0.198971,0.356304,-0.060553,0.175613,0.527079,-0.030225,0.160325,0.473649,-0.045603,0.151057,0.438629,-0.053369,0.144712,0.403772,-0.057953
217,0,0.022468,0.023220,0.037939,0.029115,0.036865,0.193647,0.684362,0.000000,0.246577,0.680504,-0.028701,0.294546,0.648770,-0.042383,0.331702,0.612164,-0.053459,0.365129,0.590251,-0.064192,0.267571,0.538202,-0.028684,0.294160,0.480673,-0.045538,0.307536,0.442308,-0.058260,0.315255,0.405895,-0.067964,0.238193,0.515258,-0.026610,0.255638,0.442773,-0.041698,0.262189,0.397717,-0.052808,0.262876,0.357545,-0.060866,0.207033,0.512760,-0.027570,0.205032,0.442770,-0.043652,0.201880,0.397805,-0.054419,0.198686,0.356239,-0.061518,0.175536,0.527514,-0.031136,0.160164,0.473814,-0.046635,0.150852,0.438722,-0.054317,0.144507,0.403653,-0.058877
250,0,0.018228,0.015211,0.034802,0.031465,0.040013,0.193351,0.683944,0.000000,0.246136,0.679981,-0.028920,0.294183,0.648590,-0.042798,0.331421,0.612343,-0.054003,0.364847,0.590271,-0.064831,0.267615,0.537730,-0.028578,0.294083,0.480026,-0.045299,0.307163,0.441782,-0.057978,0.314779,0.405662,-0.067675,0.238104,0.514924,-0.026385,0.255527,0.442335,-0.041359,0.262130,0.397422,-0.052495,0.262783,0.357741,-0.060548,0.206759,0.512364,-0.027241,0.204855,0.442339,-0.043209,0.201847,0.397646,-0.054003,0.198625,0.356345,-0.061130,0.175087,0.527043,-0.030736,0.159914,0.473661,-0.046087,0.150778,0.438541,-0.053797,0.144520,0.403554,-0.058389
303,0,0.014111,0.013711,0.055019,0.029171,0.035817,0.193346,0.684009,0.000000,0.246167,0.680146,-0.028834,0.293243,0.648336,-0.042686,0.330861,0.611827,-0.053965,0.364706,0.590144,-0.064834,0.267150,0.538159,-0.028526,0.293762,0.480660,-0.045360,0.306929,0.442282,-0.058114,0.314608,0.406088,-0.067851,0.237721,0.515006,-0.026314,0.255234,0.442409,-0.041314,0.261891,0.397483,-0.052320,0.262485,0.357731,-0.060308,0.206641,0.512207,-0.027154,0.204673,0.442226,-0.043063,0.201517,0.397796,-0.053691,0.198209,0.356947,-0.060685,0.175076,0.526745,-0.030634,0.159826,0.473552,-0.045943,0.150547,0.438620,-0.053554,0.144108,0.403964,-0.058080
331,0,0.022207,0.033686,0.058970,0.035858,0.058613,0.193209,0.685111,0.000000,0.245924,0.680824,-0.028723,0.293352,0.648620,-0.042444,0.330371,0.611919,-0.053516,0.363974,0.589692,-0.064213,0.267021,0.538510,-0.028398,0.293705,0.480156,-0.045041,0.307116,0.441411,-0.057583,0.314799,0.404968,-0.067152,0.237479,0.515288,-0.026280,0.254854,0.442275,-0.041248,0.261746,0.397093,-0.052218,0.262670,0.357273,-0.060112,0.206216,0.512770,-0.027237,0.204112,0.442238,-0.043264,0.201194,0.397256,-0.054029,0.198095,0.355982,-0.061103,0.174668,0.527769,-0.030774,0.159598,0.473973,-0.046306,0.150362,0.438908,-0.054063,0.144046,0.403998,-0.058642
