t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
54,0,,,,0.000000,0.000000,0.215557,0.738572,0.000000,0.272053,0.724209,-0.028521,0.318970,0.680596,-0.041558,0.351516,0.629434,-0.052040,0.380973,0.592612,-0.061822,0.283077,0.568252,-0.027197,0.306586,0.498186,-0.044353,0.318102,0.453470,-0.056931,0.324829,0.412454,-0.066383,0.249771,0.548290,-0.025597,0.263620,0.465416,-0.041411,0.269164,0.414249,-0.053253,0.269419,0.369528,-0.061528,0.216669,0.549867,-0.027197,0.208489,0.473600,-0.044316,0.201701,0.424989,-0.056195,0.195611,0.381205,-0.063845,0.184237,0.569743,-0.031297,0.165346,0.513105,-0.047957,0.153330,0.476609,-0.056490,0.143999,0.440658,-0.061381
99,0,0.013839,0.011990,0.047231,0.013839,0.011990,0.215379,0.738320,0.000000,0.271793,0.723685,-0.028694,0.318978,0.680529,-0.041831,0.351396,0.629605,-0.052362,0.380738,0.592665,-0.062159,0.282892,0.567848,-0.027447,0.306670,0.497629,-0.044546,0.318097,0.452933,-0.057022,0.324734,0.411900,-0.066378,0.249674,0.548035,-0.025704,0.263999,0.464864,-0.041464,0.269604,0.413734,-0.053279,0.269754,0.369193,-0.061461,0.216700,0.549750,-0.027171,0.208597,0.473382,-0.044216,0.201890,0.424727,-0.056104,0.195748,0.380855,-0.063700,0.184275,0.569386,-0.031116,0.165562,0.512744,-0.047701,0.153555,0.476374,-0.056214,0.144254,0.440411,-0.061058
131,0,0.010254,0.013500,0.031321,0.012112,0.011492,0.215629,0.738532,0.000000,0.271802,0.723805,-0.028705,0.318629,0.680466,-0.041827,0.351124,0.629483,-0.052375,0.380733,0.592734,-0.062152,0.283021,0.568213,-0.027309,0.306728,0.498010,-0.044363,0.318153,0.453477,-0.056859,0.324763,0.412686,-0.066232,0.249785,0.548187,-0.025618,0.263887,0.465117,-0.041386,0.269597,0.414173,-0.053184,0.269968,0.369786,-0.061417,0.216697,0.549536,-0.027125,0.208560,0.473338,-0.044253,0.201979,0.424634,-0.056198,0.196004,0.380816,-0.063843,0.184209,0.569177,-0.031113,0.165377,0.512388,-0.047855,0.153424,0.475966,-0.056455,0.144238,0.439973,-0.061343
177,0,0.026297,0.029107,0.038380,0.027849,0.030571,0.215913,0.738431,0.000000,0.272155,0.723658,-0.028194,0.318973,0.679960,-0.040996,0.351376,0.629105,-0.051282,0.380421,0.592481,-0.060833,0.282967,0.567563,-0.026669,0.306510,0.497169,-0.043457,0.317887,0.452642,-0.055726,0.324684,0.411937,-0.064984,0.249646,0.548059,-0.025108,0.263663,0.465012,-0.040592,0.269351,0.413933,-0.052273,0.269688,0.369532,-0.060465,0.216549,0.549613,-0.026724,0.208374,0.473318,-0.043567,0.201679,0.424386,-0.055506,0.195695,0.380450,-0.063220,0.184097,0.569298,-0.030820,0.165280,0.512590,-0.047314,0.153213,0.476017,-0.055873,0.143885,0.440022,-0.060796
208,0,0.025493,0.024169,0.052684,0.023762,0.015280,0.215182,0.738323,0.000000,0.271362,0.723342,-0.027904,0.318518,0.679636,-0.040681,0.351222,0.628983,-0.051034,0.380145,0.592420,-0.060727,0.282405,0.568118,-0.026765,0.305756,0.497824,-0.043912,0.317502,0.453349,-0.056505,0.324235,0.412487,-0.065904,0.249143,0.548296,-0.025462,0.263230,0.465161,-0.041268,0.268932,0.414049,-0.053127,0.269322,0.369516,-0.061388,0.216095,0.549825,-0.027316,0.208016,0.473523,-0.044352,0.201374,0.424452,-0.056211,0.195299,0.380562,-0.063848,0.183702,0.569623,-0.031612,0.164970,0.512598,-0.048134,0.152973,0.475976,-0.056578,0.143714,0.439920,-0.061351
254,0,0.014495,0.015940,0.033430,0.029205,0.021211,0.215244,0.738472,0.000000,0.271585,0.723387,-0.028163,0.318269,0.679991,-0.041024,0.350832,0.629230,-0.051408,0.380079,0.592538,-0.061096,0.282090,0.567871,-0.026842,0.305678,0.497567,-0.043886,0.317286,0.452923,-0.056325,0.323865,0.411952,-0.065682,0.248964,0.548158,-0.025374,0.263057,0.465072,-0.041097,0.268835,0.414006,-0.052840,0.269131,0.369729,-0.060986,0.215763,0.549862,-0.027080,0.207748,0.473241,-0.044106,0.201044,0.424294,-0.055959,0.195040,0.380413,-0.063554,0.183445,0.569749,-0.031227,0.164669,0.512820,-0.047812,0.152708,0.476339,-0.056289,0.143510,0.440278,-0.061059
306,0,0.017312,0.016268,0.040699,0.024908,0.010356,0.214734,0.738759,0.000000,0.271253,0.723858,-0.028528,0.318340,0.680430,-0.041525,0.350572,0.629611,-0.051953,0.379768,0.592802,-0.061682,0.282245,0.567981,-0.027170,0.305661,0.497864,-0.044279,0.317151,0.453384,-0.056836,0.323658,0.412368,-0.066272,0.248977,0.548177,-0.025517,0.262900,0.465795,-0.041268,0.268444,0.414795,-0.053054,0.268613,0.370074,-0.061315,0.215787,0.549839,-0.027078,0.207771,0.473731,-0.044169,0.200931,0.425006,-0.056065,0.194856,0.381043,-0.063701,0.183258,0.569771,-0.031116,0.164339,0.513022,-0.047804,0.152388,0.476425,-0.056358,0.143118,0.440374,-0.061278
335,0,0.011884,0.009211,0.047113,0.031056,0.014790,0.214677,0.739191,0.000000,0.270942,0.724495,-0.028495,0.318200,0.680729,-0.041441,0.350812,0.629889,-0.051746,0.379899,0.592879,-0.061355,0.282014,0.568585,-0.027175,0.305529,0.498316,-0.044191,0.317150,0.453789,-0.056660,0.323984,0.412925,-0.066049,0.248722,0.548612,-0.025506,0.262701,0.465859,-0.041184,0.268273,0.414830,-0.052956,0.268637,0.370388,-0.061208,0.215567,0.550118,-0.027028,0.207559,0.473833,-0.044008,0.200854,0.425133,-0.055927,0.194816,0.381325,-0.063628,0.183137,0.569912,-0.031026,0.164274,0.513104,-0.047602,0.152290,0.476608,-0.056147,0.143040,0.440689,-0.060988
382,0,0.012662,0.016514,0.038908,0.039293,0.024894,0.214229,0.739174,0.000000,0.270716,0.724747,-0.028527,0.317988,0.680854,-0.041341,0.350334,0.629982,-0.051621,0.379591,0.593261,-0.061167,0.282084,0.568299,-0.026857,0.305618,0.498253,-0.043801,0.317198,0.453733,-0.056247,0.323745,0.412890,-0.065609,0.248736,0.548358,-0.025150,0.262740,0.465678,-0.040790,0.268229,0.414810,-0.052539,0.268518,0.370508,-0.060726,0.215430,0.549882,-0.026655,0.207571,0.473599,-0.043617,0.200914,0.424969,-0.055586,0.194871,0.381216,-0.063296,0.182868,0.569716,-0.030639,0.164189,0.513120,-0.047252,0.152187,0.476773,-0.055843,0.142950,0.440847,-0.060763
416,0,0.016315,0.015462,0.053147,0.039168,0.027787,0.214052,0.739244,0.000000,0.270286,0.724243,-0.028375,0.317411,0.680699,-0.041239,0.349694,0.629659,-0.051567,0.379029,0.593154,-0.061197,0.281723,0.568389,-0.027070,0.305365,0.498008,-0.044143,0.316832,0.453329,-0.056639,0.323497,0.412312,-0.066049,0.248378,0.548307,-0.025471,0.262477,0.465397,-0.041129,0.268188,0.414531,-0.052890,0.268594,0.370030,-0.061087,0.215147,0.549753,-0.027033,0.207261,0.473625,-0.043922,0.200795,0.425032,-0.055684,0.194947,0.381248,-0.063255,0.182653,0.569377,-0.031076,0.164066,0.512653,-0.047524,0.152295,0.476281,-0.055904,0.143235,0.440321,-0.060646
