t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
49,0,,,,0.000000,0.000000,0.139519,0.705763,0.000000,0.192874,0.704358,-0.027227,0.240823,0.680748,-0.040737,0.279432,0.651679,-0.052272,0.312503,0.628408,-0.062942,0.223990,0.558584,-0.021460,0.249968,0.498729,-0.036511,0.261481,0.459304,-0.048912,0.268302,0.423107,-0.058300,0.194847,0.533476,-0.019555,0.212779,0.459073,-0.032735,0.218787,0.413202,-0.043716,0.219420,0.374840,-0.051545,0.163558,0.527771,-0.020923,0.167869,0.455409,-0.035004,0.167544,0.410759,-0.044790,0.166525,0.371350,-0.050956,0.131473,0.537739,-0.024924,0.124464,0.479739,-0.038901,0.119536,0.442645,-0.045517,0.116829,0.407817,-0.048843
98,0,0.022811,0.023383,0.041622,0.022811,0.023383,0.139275,0.705427,0.000000,0.192793,0.703950,-0.027346,0.240766,0.680196,-0.040993,0.279540,0.651252,-0.052577,0.312848,0.628653,-0.063328,0.224166,0.558496,-0.021815,0.250195,0.498566,-0.037040,0.261893,0.459118,-0.049560,0.268898,0.422912,-0.058993,0.194999,0.533294,-0.019872,0.213010,0.459013,-0.033225,0.219356,0.412980,-0.044288,0.220207,0.374486,-0.052161,0.163754,0.527387,-0.021208,0.168073,0.454988,-0.035514,0.167766,0.410413,-0.045398,0.166720,0.371057,-0.051606,0.131734,0.537173,-0.025179,0.124783,0.479045,-0.039363,0.119843,0.441784,-0.046057,0.117040,0.407057,-0.049421
131,0,0.016984,0.014189,0.053991,0.037604,0.024029,0.139716,0.705169,0.000000,0.193119,0.703518,-0.027447,0.241051,0.680232,-0.041128,0.279729,0.651194,-0.052710,0.312722,0.628358,-0.063495,0.224368,0.558104,-0.022228,0.250474,0.498091,-0.037556,0.262013,0.458710,-0.050144,0.269099,0.422536,-0.059611,0.195172,0.533057,-0.020217,0.213090,0.458543,-0.033655,0.219270,0.412624,-0.044769,0.220164,0.374273,-0.052710,0.163957,0.527355,-0.021483,0.168382,0.454786,-0.035787,0.168324,0.410138,-0.045636,0.167440,0.370745,-0.051843,0.131929,0.537341,-0.025367,0.125156,0.479056,-0.039533,0.120302,0.441778,-0.046191,0.117578,0.407043,-0.049485
175,0,0.023691,0.036681,0.051951,0.050677,0.058823,0.139365,0.704770,0.000000,0.192704,0.703936,-0.027692,0.241196,0.680240,-0.041442,0.279999,0.651370,-0.053025,0.313125,0.628716,-0.063811,0.224478,0.558530,-0.022715,0.250614,0.498517,-0.038252,0.262591,0.459473,-0.051014,0.270063,0.423452,-0.060551,0.195338,0.533274,-0.020634,0.213370,0.458836,-0.034229,0.219844,0.412943,-0.045465,0.220816,0.374580,-0.053476,0.164159,0.527504,-0.021831,0.168700,0.455040,-0.036206,0.168689,0.410449,-0.046124,0.168005,0.371038,-0.052367,0.131983,0.537305,-0.025680,0.125387,0.479014,-0.039882,0.120639,0.441834,-0.046540,0.117962,0.406832,-0.049870
209,0,0.022731,0.021628,0.048142,0.044767,0.054827,0.139024,0.704374,0.000000,0.192083,0.703437,-0.027466,0.240802,0.680206,-0.041078,0.279907,0.651610,-0.052577,0.312713,0.628826,-0.063314,0.224594,0.558410,-0.022409,0.250600,0.498134,-0.037718,0.262209,0.458521,-0.050325,0.269307,0.421898,-0.059815,0.195438,0.533073,-0.020400,0.213212,0.458548,-0.033735,0.219473,0.412780,-0.044749,0.220505,0.374345,-0.052646,0.164320,0.527108,-0.021630,0.168669,0.454663,-0.035709,0.168528,0.410279,-0.045372,0.167821,0.371058,-0.051468,0.132353,0.536808,-0.025526,0.125482,0.478580,-0.039484,0.120685,0.441627,-0.045961,0.117999,0.406893,-0.049182
260,0,0.022393,0.026784,0.059669,0.054751,0.060284,0.139371,0.704063,0.000000,0.192405,0.702710,-0.027393,0.240681,0.679734,-0.041072,0.279406,0.651214,-0.052743,0.312312,0.628448,-0.063686,0.224351,0.558103,-0.022753,0.250317,0.498163,-0.038302,0.261858,0.458751,-0.051046,0.268870,0.421977,-0.060674,0.195320,0.532830,-0.020883,0.213092,0.458606,-0.034371,0.219156,0.413089,-0.045540,0.219904,0.374355,-0.053574,0.164176,0.526858,-0.022233,0.168824,0.454833,-0.036397,0.168628,0.410597,-0.046059,0.167595,0.371203,-0.052224,0.132143,0.536545,-0.026233,0.125576,0.478384,-0.040241,0.120875,0.441414,-0.046648,0.118228,0.406642,-0.049869
305,0,0.038889,0.036346,0.059590,0.046045,0.046624,0.138954,0.703623,0.000000,0.191985,0.702432,-0.026973,0.240485,0.678877,-0.040295,0.279463,0.650490,-0.051630,0.312154,0.627899,-0.062170,0.224186,0.557424,-0.021893,0.250434,0.497139,-0.037012,0.262046,0.457550,-0.049418,0.269111,0.421078,-0.058749,0.195110,0.532464,-0.020044,0.212945,0.457841,-0.033193,0.219154,0.412311,-0.044062,0.219998,0.374172,-0.051837,0.164062,0.526504,-0.021391,0.168469,0.454417,-0.035266,0.168357,0.410065,-0.044787,0.167528,0.370774,-0.050835,0.132120,0.536309,-0.025348,0.125380,0.478434,-0.039085,0.120650,0.441592,-0.045444,0.118020,0.406801,-0.048589
336,0,0.022763,0.025521,0.038107,0.047996,0.042926,0.138979,0.704091,0.000000,0.192491,0.702923,-0.027172,0.240694,0.679194,-0.040602,0.279162,0.650485,-0.051990,0.311978,0.627794,-0.062686,0.223976,0.557674,-0.022274,0.250193,0.497424,-0.037556,0.261726,0.457871,-0.050052,0.268667,0.421167,-0.059467,0.194838,0.532747,-0.020439,0.212838,0.457907,-0.033783,0.219079,0.412055,-0.044721,0.220061,0.373586,-0.052544,0.163657,0.526980,-0.021841,0.168148,0.454456,-0.035929,0.168112,0.409965,-0.045586,0.167329,0.370608,-0.051713,0.131607,0.536866,-0.025857,0.125017,0.478613,-0.039841,0.120414,0.441432,-0.046348,0.117968,0.406504,-0.049602
384,0,0.011995,0.022332,0.027369,0.046059,0.032431,0.139551,0.704558,0.000000,0.192427,0.703127,-0.027153,0.240352,0.679363,-0.040686,0.279017,0.650614,-0.052191,0.312034,0.627909,-0.062969,0.223842,0.557855,-0.022284,0.250140,0.497702,-0.037636,0.261839,0.458116,-0.050216,0.268879,0.421601,-0.059642,0.194669,0.532857,-0.020499,0.212768,0.458318,-0.033963,0.219147,0.412113,-0.045018,0.220105,0.373459,-0.052885,0.163542,0.527244,-0.021937,0.168006,0.454678,-0.036146,0.167979,0.409863,-0.045884,0.167366,0.370281,-0.052053,0.131572,0.537306,-0.025992,0.124867,0.479005,-0.040027,0.120140,0.441764,-0.046577,0.117723,0.406696,-0.049835
435,0,0.020578,0.045654,0.042960,0.041459,0.059579,0.138638,0.703511,0.000000,0.191891,0.702591,-0.027145,0.240309,0.679513,-0.040649,0.278889,0.651033,-0.052109,0.311897,0.628497,-0.062843,0.223417,0.558298,-0.021900,0.249995,0.498169,-0.037186,0.261926,0.458771,-0.049755,0.269216,0.422474,-0.059172,0.194447,0.533054,-0.020065,0.212775,0.458612,-0.033516,0.219284,0.412513,-0.044734,0.220308,0.373939,-0.052732,0.163299,0.527014,-0.021450,0.167912,0.454583,-0.035732,0.168006,0.409988,-0.045600,0.167354,0.370439,-0.051832,0.131273,0.536581,-0.025449,0.124589,0.478531,-0.039575,0.119910,0.441312,-0.046188,0.117447,0.406189,-0.049478
