t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.157868,0.754455,0.000000,0.221601,0.754443,-0.028823,0.281593,0.722816,-0.040712,0.325585,0.682209,-0.050294,0.363363,0.651908,-0.058898,0.264471,0.595352,-0.018186,0.299507,0.531691,-0.033458,0.317321,0.489906,-0.047009,0.331010,0.451582,-0.057295,0.234091,0.567166,-0.016084,0.262118,0.489280,-0.029038,0.276287,0.439330,-0.041690,0.285412,0.396831,-0.051154,0.200683,0.557876,-0.017795,0.217143,0.481079,-0.031854,0.227187,0.434591,-0.042316,0.235842,0.393935,-0.049355,0.163507,0.563713,-0.022468,0.167251,0.501615,-0.036723,0.170372,0.460546,-0.043567,0.174648,0.422406,-0.047322
67,0,0.018810,0.017446,0.057163,0.018810,0.017446,0.158195,0.754467,0.000000,0.222115,0.754520,-0.028971,0.281708,0.723167,-0.040872,0.325337,0.681989,-0.050464,0.363189,0.652015,-0.059037,0.264449,0.596047,-0.018567,0.299772,0.532743,-0.033845,0.317736,0.491015,-0.047293,0.331390,0.452794,-0.057471,0.234078,0.567434,-0.016296,0.262610,0.489413,-0.029166,0.276941,0.439865,-0.041498,0.286058,0.397738,-0.050738,0.200835,0.557881,-0.017842,0.217335,0.480936,-0.031829,0.227446,0.434676,-0.042007,0.236007,0.394239,-0.048859,0.163542,0.563662,-0.022354,0.167425,0.501668,-0.036429,0.170564,0.460679,-0.043025,0.174843,0.422817,-0.046627
96,0,0.020418,0.043730,0.067201,0.026693,0.047681,0.157696,0.753491,0.000000,0.222045,0.754154,-0.029284,0.281935,0.723335,-0.041304,0.325632,0.682551,-0.050934,0.363364,0.652072,-0.059626,0.264931,0.595730,-0.018665,0.299926,0.532364,-0.034041,0.317829,0.490684,-0.047568,0.331594,0.452452,-0.057825,0.234477,0.567304,-0.016335,0.262819,0.489909,-0.029441,0.277063,0.440114,-0.042126,0.286410,0.397689,-0.051639,0.200996,0.558008,-0.017862,0.217488,0.481266,-0.032123,0.227673,0.435072,-0.042674,0.236575,0.394418,-0.049799,0.163706,0.563839,-0.022374,0.167433,0.501758,-0.036840,0.170712,0.460699,-0.043887,0.175478,0.422446,-0.047802
130,0,0.021412,0.055227,0.064880,0.031668,0.020990,0.158746,0.755189,0.000000,0.222178,0.754750,-0.029004,0.281299,0.723625,-0.040949,0.324823,0.682596,-0.050552,0.362722,0.652259,-0.059101,0.264487,0.596432,-0.018630,0.299777,0.533052,-0.033864,0.317823,0.491357,-0.047351,0.331787,0.452917,-0.057618,0.234268,0.567812,-0.016434,0.262961,0.489786,-0.029258,0.277448,0.440193,-0.041652,0.286735,0.397888,-0.050981,0.201102,0.558175,-0.018035,0.217733,0.481274,-0.032029,0.227858,0.434919,-0.042276,0.236724,0.394302,-0.049225,0.164037,0.564330,-0.022622,0.167803,0.502076,-0.036792,0.170949,0.461109,-0.043526,0.175393,0.423018,-0.047195
161,0,0.030786,0.031099,0.042946,0.043757,0.029941,0.158489,0.755535,0.000000,0.222231,0.755089,-0.028579,0.281650,0.723693,-0.040312,0.325405,0.682416,-0.049792,0.363033,0.651914,-0.058254,0.264671,0.596687,-0.017707,0.299827,0.533154,-0.032829,0.317619,0.491450,-0.046345,0.331338,0.453065,-0.056570,0.234474,0.568230,-0.015611,0.263002,0.490540,-0.028344,0.277174,0.440583,-0.040860,0.286427,0.397756,-0.050223,0.201241,0.558700,-0.017325,0.217342,0.482057,-0.031125,0.227511,0.435947,-0.041252,0.236378,0.395458,-0.048069,0.163840,0.564229,-0.022017,0.167601,0.502027,-0.035865,0.170960,0.460862,-0.042349,0.175534,0.422485,-0.045914
210,0,0.040990,0.051003,0.048672,0.044956,0.033649,0.158010,0.754955,0.000000,0.221703,0.755104,-0.029344,0.281367,0.724094,-0.041462,0.324896,0.682980,-0.051211,0.362841,0.652642,-0.059942,0.264317,0.596865,-0.018783,0.299576,0.533493,-0.034258,0.317589,0.491509,-0.047961,0.331526,0.452829,-0.058337,0.234024,0.568386,-0.016473,0.262406,0.490828,-0.029697,0.276838,0.440884,-0.042441,0.286244,0.397933,-0.051955,0.200708,0.559040,-0.018000,0.217120,0.482433,-0.032340,0.227573,0.436246,-0.042754,0.236604,0.395593,-0.049723,0.163639,0.565050,-0.022552,0.167464,0.502858,-0.037018,0.170792,0.461649,-0.043929,0.175438,0.423312,-0.047687
242,0,0.020502,0.031291,0.038574,0.037006,0.014824,0.158593,0.755537,0.000000,0.222348,0.755273,-0.028930,0.281573,0.723896,-0.040798,0.325319,0.683029,-0.050363,0.363263,0.652733,-0.058913,0.264543,0.596820,-0.018154,0.299640,0.533415,-0.033400,0.317665,0.491598,-0.046967,0.331511,0.452984,-0.057274,0.234319,0.568486,-0.015987,0.262700,0.490625,-0.028988,0.277026,0.440854,-0.041696,0.286440,0.398122,-0.051222,0.200942,0.559143,-0.017656,0.217324,0.482344,-0.031838,0.227580,0.435856,-0.042360,0.236518,0.394962,-0.049465,0.163737,0.565248,-0.022293,0.167651,0.503056,-0.036679,0.170922,0.461892,-0.043609,0.175449,0.423555,-0.047435
272,0,0.025097,0.031225,0.041281,0.059207,0.031434,0.158537,0.755267,0.000000,0.222490,0.755573,-0.029039,0.282405,0.724385,-0.041143,0.326015,0.683565,-0.050920,0.363955,0.653064,-0.059720,0.264829,0.597370,-0.018557,0.300113,0.534101,-0.034123,0.318124,0.492367,-0.047830,0.332036,0.454010,-0.058194,0.234609,0.568816,-0.016416,0.263132,0.491093,-0.029625,0.277511,0.441185,-0.042355,0.286705,0.398335,-0.051859,0.201213,0.559444,-0.018108,0.217670,0.482607,-0.032363,0.227918,0.436151,-0.042668,0.236799,0.395450,-0.049590,0.163859,0.565256,-0.022781,0.167689,0.503168,-0.037075,0.171152,0.461933,-0.043763,0.175880,0.423526,-0.047400
303,0,0.015784,0.016749,0.028689,0.052226,0.028008,0.158567,0.755060,0.000000,0.222443,0.755657,-0.028926,0.281930,0.724456,-0.040782,0.325774,0.683445,-0.050274,0.363529,0.652992,-0.058790,0.265028,0.597753,-0.018409,0.300224,0.534186,-0.033672,0.318352,0.492510,-0.047188,0.332376,0.454189,-0.057423,0.234807,0.569015,-0.016211,0.263228,0.491126,-0.029161,0.277638,0.441189,-0.041719,0.286931,0.398431,-0.051134,0.201365,0.559421,-0.017832,0.217950,0.482524,-0.031973,0.228087,0.436007,-0.042344,0.236843,0.395234,-0.049337,0.164271,0.564845,-0.022422,0.167921,0.502792,-0.036719,0.171207,0.461607,-0.043555,0.175797,0.423477,-0.047345
338,0,0.031172,0.046169,0.030967,0.071888,0.033047,0.158502,0.756308,0.000000,0.222582,0.756475,-0.028714,0.281978,0.724984,-0.040367,0.325755,0.683650,-0.049698,0.363250,0.653290,-0.057974,0.264773,0.597766,-0.017490,0.300095,0.534175,-0.032403,0.318020,0.492479,-0.045794,0.331947,0.454207,-0.055944,0.234657,0.569198,-0.015323,0.262961,0.490890,-0.027855,0.277290,0.441009,-0.040211,0.286605,0.398372,-0.049503,0.201309,0.559384,-0.016992,0.217770,0.482410,-0.030803,0.227824,0.435938,-0.041109,0.236600,0.395283,-0.048058,0.164060,0.564780,-0.021648,0.167949,0.503080,-0.035663,0.171222,0.462258,-0.042358,0.175686,0.424413,-0.046067
