t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.125530,0.785800,0.000000,0.189544,0.782869,-0.027411,0.246706,0.750841,-0.036837,0.283057,0.705999,-0.043828,0.313267,0.670225,-0.049583,0.224284,0.631142,-0.012073,0.252464,0.570983,-0.024127,0.264797,0.532361,-0.035877,0.273462,0.497069,-0.044824,0.193751,0.605665,-0.008960,0.217019,0.531712,-0.018962,0.227618,0.485182,-0.030270,0.233805,0.445984,-0.038774,0.160868,0.597333,-0.009776,0.174408,0.525219,-0.021674,0.182418,0.482315,-0.031469,0.189147,0.444814,-0.037999,0.124708,0.603389,-0.013466,0.128111,0.545040,-0.025917,0.130672,0.506990,-0.032225,0.134800,0.471249,-0.035675
71,0,0.023378,0.025213,0.059115,0.023378,0.025213,0.125997,0.786967,0.000000,0.189724,0.784599,-0.027491,0.247144,0.751767,-0.036869,0.283407,0.706412,-0.043742,0.313373,0.670535,-0.049417,0.224172,0.631631,-0.012446,0.252323,0.571188,-0.024580,0.264720,0.532751,-0.036317,0.273268,0.497778,-0.045179,0.193673,0.606183,-0.009268,0.217020,0.532384,-0.019273,0.227685,0.486048,-0.030402,0.233628,0.446820,-0.038730,0.160668,0.597929,-0.010023,0.174352,0.525827,-0.021871,0.182299,0.483110,-0.031415,0.189176,0.445935,-0.037772,0.124284,0.603974,-0.013662,0.127736,0.545726,-0.025961,0.130453,0.507650,-0.032079,0.134575,0.472124,-0.035377
104,0,0.036100,0.034353,0.050041,0.054150,0.025062,0.125264,0.786966,0.000000,0.188917,0.784806,-0.027547,0.246038,0.752837,-0.037282,0.282470,0.707776,-0.044510,0.312641,0.671537,-0.050520,0.224029,0.632500,-0.012897,0.252077,0.572252,-0.025316,0.264287,0.533496,-0.037208,0.272790,0.498232,-0.046206,0.193468,0.606744,-0.009781,0.216556,0.532741,-0.020079,0.227134,0.486444,-0.031363,0.233067,0.447151,-0.039789,0.160622,0.598494,-0.010556,0.173941,0.526181,-0.022624,0.181892,0.483666,-0.032156,0.188767,0.446420,-0.038499,0.124290,0.604644,-0.014197,0.127474,0.546298,-0.026625,0.130262,0.508320,-0.032709,0.134465,0.472710,-0.035991
139,0,0.051386,0.051590,0.030720,0.066184,0.031865,0.125032,0.788363,0.000000,0.189080,0.785508,-0.027086,0.246819,0.752540,-0.036206,0.283082,0.707185,-0.042895,0.313157,0.671028,-0.048386,0.223845,0.632754,-0.011608,0.251627,0.572235,-0.023493,0.263762,0.533795,-0.035174,0.272390,0.498612,-0.044037,0.193291,0.607445,-0.008591,0.216427,0.533854,-0.018398,0.227093,0.487518,-0.029536,0.233222,0.448152,-0.037883,0.160233,0.599330,-0.009489,0.173653,0.527224,-0.021226,0.181601,0.484508,-0.030697,0.188505,0.447262,-0.036999,0.123795,0.605515,-0.013248,0.127248,0.547091,-0.025427,0.130122,0.509298,-0.031397,0.134509,0.473600,-0.034622
173,0,0.028160,0.030427,0.050523,0.067935,0.032228,0.125176,0.788602,0.000000,0.189084,0.785447,-0.027671,0.245995,0.753139,-0.037263,0.281922,0.707782,-0.044347,0.312355,0.671234,-0.050176,0.223313,0.632711,-0.012369,0.251521,0.572202,-0.024516,0.263776,0.533619,-0.036322,0.272341,0.498445,-0.045232,0.192741,0.607657,-0.009094,0.215964,0.533857,-0.019037,0.226712,0.487443,-0.030161,0.232925,0.448370,-0.038554,0.159844,0.599755,-0.009805,0.173447,0.527536,-0.021675,0.181347,0.484751,-0.031305,0.188155,0.447586,-0.037724,0.123584,0.605825,-0.013411,0.127122,0.547256,-0.025789,0.129792,0.509129,-0.032042,0.133872,0.473376,-0.035437
208,0,0.023861,0.021174,0.056808,0.082821,0.028155,0.125043,0.788654,0.000000,0.188910,0.785866,-0.027142,0.246227,0.753274,-0.036453,0.282213,0.707890,-0.043331,0.311624,0.671474,-0.049010,0.223355,0.632952,-0.011976,0.251104,0.572672,-0.024081,0.263265,0.534324,-0.035863,0.271851,0.499473,-0.044769,0.192671,0.607861,-0.008961,0.215767,0.534394,-0.019010,0.226238,0.488295,-0.030295,0.232227,0.449137,-0.038758,0.159659,0.600065,-0.009855,0.173093,0.528019,-0.021739,0.181073,0.485354,-0.031309,0.187872,0.448240,-0.037652,0.123276,0.606394,-0.013599,0.126585,0.547798,-0.025814,0.129509,0.509747,-0.031844,0.133902,0.474273,-0.035089
243,0,0.020408,0.023307,0.048305,0.099861,0.028327,0.124289,0.789342,0.000000,0.188368,0.786137,-0.027335,0.245923,0.753523,-0.036704,0.281508,0.707829,-0.043626,0.311261,0.671227,-0.049295,0.222845,0.633518,-0.011790,0.250847,0.573371,-0.023874,0.263089,0.534891,-0.035692,0.271710,0.499687,-0.044620,0.192332,0.608508,-0.008679,0.215540,0.534910,-0.018638,0.225864,0.488618,-0.029875,0.231814,0.449321,-0.038287,0.159383,0.600339,-0.009517,0.172996,0.528360,-0.021353,0.180803,0.485564,-0.030869,0.187457,0.448238,-0.037183,0.123006,0.606408,-0.013235,0.126555,0.548056,-0.025476,0.129391,0.510178,-0.031477,0.133587,0.474626,-0.034680
277,0,0.040488,0.034485,0.063023,0.118296,0.051812,0.124021,0.789301,0.000000,0.187786,0.786327,-0.027785,0.244428,0.753801,-0.037446,0.279821,0.708266,-0.044508,0.309417,0.670977,-0.050297,0.222230,0.633337,-0.012666,0.249579,0.572455,-0.024743,0.261372,0.533940,-0.036524,0.269665,0.498346,-0.045430,0.191496,0.608063,-0.009279,0.214325,0.534050,-0.019027,0.225077,0.487854,-0.030053,0.231437,0.448653,-0.038387,0.158344,0.600214,-0.009846,0.171771,0.527940,-0.021480,0.179653,0.485447,-0.031012,0.186399,0.448008,-0.037373,0.122002,0.606619,-0.013330,0.125751,0.547902,-0.025499,0.128435,0.510179,-0.031546,0.132533,0.474649,-0.034828
310,0,0.038567,0.032657,0.076102,0.127054,0.061253,0.123741,0.788549,0.000000,0.187644,0.785658,-0.027287,0.244438,0.752953,-0.036586,0.279350,0.706775,-0.043431,0.308589,0.670008,-0.049002,0.221813,0.632667,-0.011928,0.249473,0.572095,-0.023966,0.261212,0.533350,-0.035719,0.268981,0.498109,-0.044538,0.191035,0.607750,-0.008621,0.213922,0.533920,-0.018367,0.224042,0.487565,-0.029335,0.229523,0.448582,-0.037582,0.157998,0.599650,-0.009234,0.171428,0.527751,-0.020756,0.179188,0.485539,-0.030036,0.185561,0.449095,-0.036180,0.121811,0.605830,-0.012721,0.125386,0.547407,-0.024630,0.128170,0.509785,-0.030442,0.132110,0.474880,-0.033505
343,0,0.031822,0.018120,0.057372,0.149591,0.063469,0.123227,0.789400,0.000000,0.186671,0.786637,-0.027760,0.243862,0.753290,-0.037204,0.279269,0.707067,-0.044107,0.308964,0.670376,-0.049703,0.220691,0.633065,-0.012104,0.248596,0.572481,-0.024115,0.260514,0.533610,-0.035860,0.268735,0.498236,-0.044733,0.190083,0.608282,-0.008592,0.213065,0.534892,-0.018491,0.223445,0.488568,-0.029638,0.229331,0.449251,-0.037995,0.157328,0.600351,-0.009062,0.170454,0.528607,-0.020802,0.178349,0.486066,-0.030245,0.184889,0.448859,-0.036504,0.121274,0.606737,-0.012435,0.124780,0.548407,-0.024576,0.127554,0.510693,-0.030577,0.131639,0.475444,-0.033780
