t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
46,0,,,,0.000000,0.000000,0.134373,0.680909,0.000000,0.191401,0.684671,-0.026249,0.245830,0.660966,-0.037803,0.286093,0.628186,-0.047564,0.320010,0.603475,-0.056687,0.233796,0.539373,-0.019221,0.258459,0.476178,-0.034324,0.268552,0.433795,-0.047103,0.275359,0.394488,-0.057006,0.206021,0.511702,-0.017961,0.223325,0.436079,-0.031822,0.230576,0.388733,-0.044050,0.233863,0.347261,-0.052960,0.175442,0.502135,-0.020002,0.182995,0.429711,-0.034661,0.184974,0.385494,-0.044689,0.186478,0.345278,-0.051256,0.142977,0.508232,-0.024740,0.141030,0.449846,-0.039223,0.138982,0.411804,-0.046393,0.138644,0.375417,-0.050262
116,0,0.021955,0.028065,0.052281,0.021955,0.028065,0.134148,0.680177,0.000000,0.191168,0.684030,-0.026815,0.245894,0.660978,-0.038652,0.286240,0.628134,-0.048589,0.320289,0.603217,-0.057782,0.233773,0.539226,-0.019574,0.258589,0.476151,-0.034783,0.268719,0.433787,-0.047631,0.275491,0.394353,-0.057569,0.206294,0.511194,-0.017986,0.223790,0.436226,-0.031926,0.230956,0.388885,-0.044224,0.234252,0.347487,-0.053204,0.175881,0.501523,-0.019752,0.183385,0.429380,-0.034481,0.185347,0.385301,-0.044614,0.186675,0.345278,-0.051216,0.143583,0.507174,-0.024259,0.141476,0.448977,-0.038758,0.139463,0.410935,-0.046034,0.138946,0.374738,-0.049938
157,0,0.019961,0.017633,0.038083,0.034326,0.016439,0.134799,0.680120,0.000000,0.191451,0.683675,-0.026619,0.246082,0.660503,-0.038351,0.286379,0.627483,-0.048204,0.320448,0.602763,-0.057385,0.234305,0.538859,-0.019619,0.258823,0.475479,-0.034753,0.268913,0.432939,-0.047566,0.275741,0.393384,-0.057455,0.206628,0.510844,-0.018165,0.224178,0.435442,-0.032042,0.231461,0.388200,-0.044306,0.234893,0.346809,-0.053308,0.176226,0.501172,-0.020026,0.183717,0.429012,-0.034629,0.185767,0.385068,-0.044695,0.187319,0.345285,-0.051324,0.143745,0.506847,-0.024616,0.141749,0.448681,-0.038953,0.139783,0.410812,-0.046149,0.139463,0.374738,-0.050048
208,0,0.018470,0.019641,0.055645,0.022406,0.018289,0.134381,0.680639,0.000000,0.191538,0.684322,-0.026402,0.246145,0.660519,-0.037924,0.286596,0.627593,-0.047654,0.320741,0.602587,-0.056709,0.234295,0.539517,-0.019087,0.258842,0.476017,-0.034249,0.268973,0.433442,-0.047121,0.275784,0.394000,-0.057100,0.206615,0.511614,-0.017746,0.223907,0.436073,-0.031657,0.231134,0.388383,-0.044103,0.234484,0.346632,-0.053194,0.176196,0.501890,-0.019743,0.183628,0.429442,-0.034462,0.185589,0.385138,-0.044742,0.187187,0.345014,-0.051454,0.143821,0.507623,-0.024431,0.141921,0.449339,-0.038990,0.139835,0.411369,-0.046340,0.139358,0.374984,-0.050317
254,0,0.016296,0.020833,0.031081,0.032482,0.021897,0.134904,0.680132,0.000000,0.191828,0.684228,-0.026502,0.246476,0.660648,-0.038094,0.286853,0.627607,-0.047857,0.320850,0.602590,-0.056946,0.234367,0.539037,-0.019029,0.258880,0.476042,-0.034064,0.268893,0.433703,-0.046863,0.275594,0.394145,-0.056839,0.206797,0.511237,-0.017636,0.224197,0.435912,-0.031420,0.231486,0.388665,-0.043739,0.234969,0.347143,-0.052792,0.176448,0.501601,-0.019580,0.183984,0.429329,-0.034224,0.186098,0.385523,-0.044378,0.187565,0.345769,-0.051017,0.144067,0.507204,-0.024248,0.142101,0.448773,-0.038733,0.139888,0.410989,-0.046011,0.139387,0.374703,-0.049952
304,0,0.015440,0.016877,0.049996,0.025818,0.022139,0.134538,0.680689,0.000000,0.191803,0.684270,-0.026072,0.246728,0.660898,-0.037468,0.286745,0.627791,-0.047145,0.320542,0.602994,-0.056184,0.234319,0.539560,-0.018769,0.258880,0.476211,-0.033781,0.269003,0.433793,-0.046578,0.275922,0.394234,-0.056468,0.206558,0.511718,-0.017582,0.223944,0.436206,-0.031389,0.231425,0.388697,-0.043778,0.235059,0.347045,-0.052817,0.176046,0.502018,-0.019691,0.183530,0.429709,-0.034313,0.185724,0.385637,-0.044451,0.187453,0.345662,-0.051080,0.143723,0.507689,-0.024494,0.141935,0.449374,-0.038957,0.139943,0.411336,-0.046188,0.139647,0.375128,-0.050087
351,0,0.010377,0.018889,0.035789,0.024918,0.021290,0.134858,0.680376,0.000000,0.191956,0.684531,-0.026419,0.246753,0.661026,-0.037934,0.286828,0.627916,-0.047693,0.320926,0.603139,-0.056741,0.234189,0.539396,-0.018985,0.258748,0.476130,-0.034031,0.268929,0.433608,-0.046770,0.275788,0.394210,-0.056670,0.206509,0.511578,-0.017601,0.223890,0.436129,-0.031422,0.231316,0.388772,-0.043718,0.234887,0.347275,-0.052731,0.176165,0.501995,-0.019535,0.183731,0.429821,-0.034208,0.185763,0.385825,-0.044357,0.187321,0.346098,-0.050993,0.143846,0.507853,-0.024201,0.141920,0.449698,-0.038750,0.139942,0.411618,-0.046096,0.139556,0.375464,-0.050070
399,0,0.017375,0.020755,0.026480,0.034790,0.031788,0.134495,0.680935,0.000000,0.192015,0.685002,-0.026130,0.246699,0.661417,-0.037556,0.286867,0.628424,-0.047228,0.320826,0.603745,-0.056228,0.234318,0.539892,-0.018884,0.259072,0.476562,-0.033907,0.269215,0.434020,-0.046626,0.276017,0.394668,-0.056511,0.206704,0.512045,-0.017591,0.224180,0.436492,-0.031338,0.231439,0.389117,-0.043508,0.234772,0.347798,-0.052401,0.176356,0.502335,-0.019593,0.183936,0.429996,-0.034084,0.186222,0.385953,-0.044040,0.187941,0.346099,-0.050523,0.143954,0.507972,-0.024270,0.142116,0.449856,-0.038583,0.140300,0.411821,-0.045705,0.140075,0.375707,-0.049460
466,0,0.021418,0.016469,0.040882,0.051678,0.028148,0.134965,0.681438,0.000000,0.192410,0.685252,-0.026307,0.246947,0.661948,-0.037809,0.286960,0.629158,-0.047537,0.320707,0.604130,-0.056625,0.234659,0.540184,-0.018692,0.259139,0.476989,-0.033762,0.269227,0.434794,-0.046578,0.276045,0.395586,-0.056483,0.206783,0.512487,-0.017360,0.224054,0.436885,-0.031064,0.231504,0.389584,-0.043348,0.235231,0.348424,-0.052330,0.176223,0.503030,-0.019402,0.183867,0.430837,-0.033922,0.186228,0.386780,-0.044022,0.188138,0.346927,-0.050626,0.143727,0.508886,-0.024141,0.142254,0.451005,-0.038520,0.140455,0.413186,-0.045726,0.140310,0.376998,-0.049596
508,0,0.025394,0.023732,0.040673,0.070350,0.050624,0.134388,0.681833,0.000000,0.191673,0.685723,-0.026087,0.246313,0.662418,-0.037419,0.286623,0.629834,-0.047031,0.320572,0.605286,-0.055969,0.234324,0.540848,-0.018426,0.259119,0.477806,-0.033305,0.269248,0.435630,-0.046038,0.276017,0.396372,-0.055863,0.206735,0.513156,-0.017140,0.224206,0.437666,-0.030662,0.231592,0.390321,-0.042846,0.235144,0.349111,-0.051748,0.176343,0.503750,-0.019188,0.184005,0.431545,-0.033571,0.186214,0.387381,-0.043626,0.187932,0.347381,-0.050188,0.144100,0.509518,-0.023906,0.142384,0.451413,-0.038235,0.140477,0.413430,-0.045400,0.140170,0.377201,-0.049266
558,0,0.017004,0.025826,0.037011,0.076183,0.033035,0.134986,0.682438,0.000000,0.192195,0.686204,-0.026432,0.246638,0.662602,-0.037998,0.286660,0.629908,-0.047790,0.320803,0.605262,-0.056837,0.234428,0.541024,-0.018715,0.259000,0.478123,-0.033669,0.268941,0.436094,-0.046442,0.275710,0.397121,-0.056269,0.206656,0.513163,-0.017287,0.224093,0.437718,-0.030778,0.231530,0.390593,-0.042858,0.235086,0.349651,-0.051728,0.176126,0.503655,-0.019230,0.183938,0.431599,-0.033545,0.186172,0.387968,-0.043462,0.187951,0.348537,-0.049919,0.143743,0.509524,-0.023877,0.142233,0.451601,-0.038069,0.140466,0.413973,-0.045094,0.140189,0.378201,-0.048890
603,0,0.019266,0.021152,0.035201,0.070041,0.050112,0.134194,0.681971,0.000000,0.191214,0.685838,-0.026425,0.245635,0.662911,-0.038049,0.285929,0.630208,-0.047880,0.320066,0.605713,-0.057002,0.233883,0.541249,-0.018758,0.258553,0.478235,-0.033772,0.268674,0.436211,-0.046567,0.275381,0.397248,-0.056399,0.206139,0.513528,-0.017259,0.223717,0.438094,-0.030826,0.231002,0.391102,-0.042911,0.234514,0.350128,-0.051785,0.175727,0.503849,-0.019113,0.183691,0.431878,-0.033435,0.185898,0.388157,-0.043337,0.187598,0.348501,-0.049762,0.143386,0.509285,-0.023709,0.141942,0.451239,-0.037836,0.140173,0.413554,-0.044828,0.139907,0.377545,-0.048590
657,0,0.015182,0.020501,0.032701,0.066811,0.037771,0.134431,0.682293,0.000000,0.191231,0.686365,-0.026179,0.245952,0.662973,-0.037621,0.286065,0.630385,-0.047292,0.320009,0.605958,-0.056254,0.233556,0.541404,-0.018757,0.258177,0.478148,-0.033671,0.268329,0.436116,-0.046335,0.275063,0.397121,-0.056077,0.205888,0.513727,-0.017393,0.223466,0.438039,-0.030890,0.230858,0.390904,-0.042935,0.234410,0.349885,-0.051755,0.175506,0.504045,-0.019342,0.183267,0.431950,-0.033600,0.185411,0.388445,-0.043466,0.186959,0.349022,-0.049913,0.143000,0.509493,-0.023982,0.141332,0.451249,-0.038046,0.139526,0.413513,-0.045025,0.139315,0.377535,-0.048780
704,0,0.026522,0.020045,0.040404,0.069898,0.035936,0.134017,0.682464,0.000000,0.191136,0.686506,-0.025973,0.245388,0.663234,-0.037417,0.285314,0.630720,-0.047126,0.319091,0.606395,-0.056197,0.232933,0.541712,-0.018833,0.257792,0.478631,-0.033963,0.267952,0.436281,-0.046807,0.274857,0.396929,-0.056693,0.205595,0.514119,-0.017610,0.223027,0.438540,-0.031376,0.230511,0.391173,-0.043583,0.234228,0.349811,-0.052512,0.175280,0.504647,-0.019665,0.182761,0.432424,-0.034175,0.184837,0.388496,-0.044150,0.186455,0.348664,-0.050634,0.143075,0.510469,-0.024396,0.141202,0.452350,-0.038693,0.139299,0.414614,-0.045780,0.139053,0.378497,-0.049536
