t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.221444,0.704703,0.000000,0.275434,0.699360,-0.029792,0.324147,0.665502,-0.043155,0.361686,0.627642,-0.053969,0.394219,0.599817,-0.064160,0.298292,0.547170,-0.024905,0.317542,0.480634,-0.040832,0.324028,0.436559,-0.054143,0.326897,0.395487,-0.064472,0.267169,0.526101,-0.021837,0.276549,0.449748,-0.035980,0.277725,0.402626,-0.048319,0.275173,0.361592,-0.057505,0.235968,0.524442,-0.022028,0.236255,0.454006,-0.036465,0.232817,0.410986,-0.046621,0.228721,0.371343,-0.053449,0.204880,0.538362,-0.025165,0.197229,0.483481,-0.039515,0.190829,0.448322,-0.046621,0.186103,0.413949,-0.050469
65,0,0.014467,0.010446,0.026290,0.014467,0.010446,0.221117,0.704989,0.000000,0.274970,0.699469,-0.029658,0.323615,0.665509,-0.043066,0.361259,0.627814,-0.053980,0.393948,0.600021,-0.064235,0.298109,0.546742,-0.024790,0.317255,0.480658,-0.040848,0.323728,0.436845,-0.054326,0.326435,0.395736,-0.064824,0.267008,0.525619,-0.021862,0.276307,0.450073,-0.036137,0.277486,0.403158,-0.048575,0.274830,0.361891,-0.057791,0.235888,0.524224,-0.022174,0.236074,0.454286,-0.036726,0.232542,0.411435,-0.046738,0.228483,0.371704,-0.053425,0.204759,0.538491,-0.025431,0.197105,0.483842,-0.039844,0.190906,0.448673,-0.046842,0.186403,0.413983,-0.050653
99,0,0.015542,0.025319,0.035170,0.019793,0.022549,0.220455,0.704491,0.000000,0.275114,0.699035,-0.029675,0.323685,0.665354,-0.043066,0.361010,0.627979,-0.053910,0.393526,0.599949,-0.064166,0.297755,0.546859,-0.024686,0.316901,0.480775,-0.040675,0.323424,0.437220,-0.054049,0.326094,0.396250,-0.064443,0.266618,0.525875,-0.021672,0.276199,0.450148,-0.035859,0.277378,0.403233,-0.048263,0.274649,0.362245,-0.057479,0.235534,0.524341,-0.021914,0.235898,0.454173,-0.036379,0.232521,0.411628,-0.046461,0.228262,0.372431,-0.053183,0.204479,0.538329,-0.025102,0.196929,0.483729,-0.039428,0.190663,0.448371,-0.046496,0.185908,0.414190,-0.050307
128,0,0.017055,0.016952,0.061486,0.030612,0.016389,0.220545,0.704972,0.000000,0.274759,0.699887,-0.029654,0.323288,0.665802,-0.042837,0.360838,0.627939,-0.053460,0.393417,0.599945,-0.063495,0.297817,0.547260,-0.024654,0.316649,0.480818,-0.040554,0.323029,0.436922,-0.053875,0.325745,0.395759,-0.064221,0.266734,0.526309,-0.021609,0.275858,0.450425,-0.035744,0.276995,0.403269,-0.048131,0.274393,0.361786,-0.057301,0.235448,0.524685,-0.021817,0.235384,0.454641,-0.036263,0.231991,0.412158,-0.046228,0.227783,0.372735,-0.052872,0.204362,0.538661,-0.024983,0.196641,0.483952,-0.039273,0.190639,0.448851,-0.046263,0.186270,0.414678,-0.050034
160,0,0.014828,0.011924,0.035306,0.033277,0.017993,0.220275,0.704970,0.000000,0.274593,0.699905,-0.029966,0.323187,0.665515,-0.043288,0.360309,0.627434,-0.054015,0.392709,0.599184,-0.064119,0.297717,0.546844,-0.024879,0.316419,0.480809,-0.040866,0.322908,0.436888,-0.054292,0.325489,0.395742,-0.064707,0.266522,0.525860,-0.021731,0.275691,0.450159,-0.035848,0.276759,0.403209,-0.048167,0.274033,0.362144,-0.057302,0.235198,0.524392,-0.021869,0.235322,0.454445,-0.036298,0.231879,0.412102,-0.046195,0.227604,0.372890,-0.052769,0.203975,0.538475,-0.025001,0.196452,0.483401,-0.039240,0.190313,0.448556,-0.046126,0.185704,0.414588,-0.049793
198,0,0.018110,0.019226,0.056197,0.043851,0.027837,0.219523,0.705055,0.000000,0.274394,0.699888,-0.029705,0.322828,0.665347,-0.042887,0.360479,0.627132,-0.053522,0.392911,0.598842,-0.063568,0.297023,0.547197,-0.024509,0.316123,0.480952,-0.040496,0.322367,0.437020,-0.053937,0.324841,0.395778,-0.064399,0.266177,0.526067,-0.021443,0.275412,0.450466,-0.035681,0.276370,0.403415,-0.048256,0.273567,0.362115,-0.057575,0.234959,0.524515,-0.021651,0.235036,0.454629,-0.036270,0.231391,0.412071,-0.046420,0.227054,0.372791,-0.053175,0.204016,0.538771,-0.024786,0.196381,0.484218,-0.039284,0.190110,0.449122,-0.046420,0.185423,0.414929,-0.050265
240,0,0.017123,0.031895,0.054062,0.049588,0.025646,0.220442,0.705617,0.000000,0.274375,0.700194,-0.029857,0.322735,0.665449,-0.043088,0.359963,0.627450,-0.053756,0.392407,0.599416,-0.063870,0.297163,0.547228,-0.024713,0.315764,0.480760,-0.040767,0.322186,0.436509,-0.054276,0.324936,0.394983,-0.064736,0.266006,0.526451,-0.021596,0.274933,0.450834,-0.035849,0.276179,0.403495,-0.048353,0.273636,0.361963,-0.057635,0.234721,0.525070,-0.021769,0.234830,0.455145,-0.036265,0.231336,0.412769,-0.046344,0.227165,0.373365,-0.053098,0.203755,0.539216,-0.024938,0.196071,0.484570,-0.039278,0.189900,0.449786,-0.046344,0.185384,0.415632,-0.050223
273,0,0.026402,0.046471,0.053842,0.062071,0.034876,0.219596,0.704724,0.000000,0.273454,0.700037,-0.029993,0.321833,0.665610,-0.043485,0.359676,0.627540,-0.054313,0.392379,0.599276,-0.064553,0.296824,0.548183,-0.025479,0.315628,0.481579,-0.041513,0.322019,0.437814,-0.054901,0.324622,0.396431,-0.065349,0.265809,0.526903,-0.022279,0.274832,0.451069,-0.036462,0.275969,0.404082,-0.048882,0.273181,0.362697,-0.058153,0.234596,0.525226,-0.022313,0.234844,0.455164,-0.036774,0.231261,0.412784,-0.046875,0.226809,0.373283,-0.053656,0.203789,0.539054,-0.025306,0.196479,0.484238,-0.039645,0.190055,0.449370,-0.046702,0.185005,0.415296,-0.050577
301,0,0.026058,0.030086,0.029740,0.053249,0.031362,0.219052,0.704591,0.000000,0.273400,0.699774,-0.029950,0.321949,0.665342,-0.043278,0.359450,0.627541,-0.054003,0.391777,0.599466,-0.064141,0.296587,0.547104,-0.025053,0.315433,0.480459,-0.041071,0.322005,0.436100,-0.054520,0.324744,0.394685,-0.064900,0.265669,0.526027,-0.021794,0.275051,0.450517,-0.036002,0.276064,0.403285,-0.048416,0.273156,0.361963,-0.057624,0.234557,0.524537,-0.021777,0.234851,0.454552,-0.036278,0.231232,0.412385,-0.046244,0.226692,0.373450,-0.052865,0.203422,0.538496,-0.024743,0.196186,0.483992,-0.039037,0.190101,0.449088,-0.046003,0.185360,0.415290,-0.049727
335,0,0.017457,0.016385,0.047612,0.062601,0.029395,0.218969,0.704677,0.000000,0.272844,0.699650,-0.029910,0.321277,0.665394,-0.043223,0.358711,0.627461,-0.053976,0.391289,0.599747,-0.064073,0.296179,0.546888,-0.024723,0.314968,0.480325,-0.040733,0.321578,0.436394,-0.054149,0.324502,0.395250,-0.064557,0.265162,0.525835,-0.021490,0.274403,0.450177,-0.035615,0.275744,0.403107,-0.047925,0.273242,0.362040,-0.057088,0.234072,0.524332,-0.021559,0.234366,0.454436,-0.035927,0.230952,0.412386,-0.045851,0.226768,0.373650,-0.052455,0.203046,0.538370,-0.024620,0.195758,0.483819,-0.038797,0.189827,0.449186,-0.045712,0.185281,0.415526,-0.049481
