t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.127828,0.713225,0.000000,0.193498,0.701622,-0.029766,0.251954,0.661756,-0.042052,0.289935,0.613700,-0.051935,0.320909,0.572759,-0.061005,0.218799,0.537050,-0.020077,0.240393,0.466597,-0.035677,0.247173,0.421798,-0.049377,0.249873,0.379302,-0.059842,0.182683,0.514240,-0.017809,0.197627,0.432030,-0.031277,0.203101,0.381470,-0.044184,0.203937,0.336640,-0.053835,0.145747,0.511486,-0.019369,0.148202,0.432797,-0.033932,0.147889,0.384489,-0.044765,0.147077,0.339638,-0.052090,0.108243,0.525030,-0.023952,0.103582,0.462400,-0.038719,0.099878,0.421762,-0.046044,0.097541,0.382154,-0.050075
72,0,0.016755,0.021167,0.031519,0.016755,0.021167,0.128338,0.713269,0.000000,0.194046,0.701721,-0.029419,0.252257,0.661366,-0.041418,0.289682,0.613069,-0.051095,0.320840,0.572925,-0.060037,0.218995,0.537086,-0.019838,0.240396,0.466296,-0.035457,0.247091,0.421397,-0.049199,0.249770,0.378544,-0.059727,0.182906,0.514423,-0.017758,0.197294,0.432358,-0.031315,0.202564,0.381717,-0.044321,0.203185,0.336775,-0.053999,0.145938,0.511785,-0.019451,0.148393,0.433093,-0.034102,0.147943,0.384439,-0.044902,0.147078,0.339370,-0.052141,0.108311,0.525577,-0.024154,0.103612,0.462885,-0.039018,0.100136,0.422154,-0.046334,0.098007,0.382274,-0.050321
108,0,0.021101,0.018791,0.041877,0.022967,0.018586,0.128414,0.713096,0.000000,0.193996,0.701800,-0.029587,0.252350,0.661215,-0.041522,0.290374,0.613135,-0.051023,0.321417,0.573012,-0.059753,0.219301,0.536715,-0.019834,0.240484,0.466342,-0.035322,0.246930,0.421700,-0.049015,0.249350,0.379185,-0.059521,0.183465,0.513927,-0.017623,0.197926,0.431758,-0.030977,0.203313,0.381485,-0.043762,0.203749,0.337102,-0.053264,0.146459,0.511315,-0.019245,0.148785,0.432423,-0.033777,0.148235,0.384029,-0.044496,0.147180,0.339079,-0.051680,0.108770,0.525254,-0.023889,0.104151,0.462429,-0.038567,0.100648,0.421976,-0.045809,0.098636,0.382091,-0.049749
144,0,0.027108,0.035233,0.044824,0.030629,0.032550,0.129490,0.712364,0.000000,0.194794,0.701353,-0.029863,0.252928,0.661338,-0.042076,0.290410,0.612907,-0.051830,0.321623,0.572625,-0.060810,0.219675,0.536676,-0.020418,0.240964,0.466362,-0.036134,0.247448,0.421796,-0.049856,0.249914,0.379273,-0.060384,0.183636,0.513840,-0.018086,0.198367,0.431591,-0.031605,0.203753,0.381534,-0.044398,0.204394,0.337037,-0.053959,0.146714,0.511028,-0.019577,0.149235,0.432185,-0.034218,0.148900,0.384111,-0.044940,0.148077,0.339410,-0.052140,0.108967,0.524742,-0.024096,0.104489,0.461798,-0.038940,0.101039,0.421250,-0.046256,0.098937,0.381553,-0.050243
180,0,0.039340,0.041678,0.039935,0.057566,0.031219,0.129411,0.712466,0.000000,0.194511,0.701137,-0.029959,0.252286,0.661226,-0.042274,0.290494,0.613028,-0.052080,0.322371,0.572413,-0.060959,0.219889,0.536756,-0.019786,0.241504,0.466280,-0.035093,0.248069,0.421912,-0.048528,0.250612,0.379680,-0.058836,0.184208,0.513457,-0.017325,0.199319,0.431324,-0.030325,0.204859,0.381176,-0.042776,0.205386,0.336716,-0.052080,0.147228,0.510425,-0.018763,0.149971,0.432006,-0.032931,0.149673,0.383886,-0.043471,0.148704,0.339124,-0.050536,0.109477,0.523881,-0.023260,0.105011,0.461396,-0.037661,0.101623,0.421058,-0.044745,0.099566,0.381380,-0.048605
213,0,0.042372,0.036742,0.041281,0.062876,0.029236,0.129931,0.711809,0.000000,0.194909,0.700867,-0.030078,0.253005,0.660740,-0.042388,0.291046,0.612892,-0.052220,0.322451,0.572665,-0.061201,0.220588,0.536441,-0.020575,0.242007,0.465831,-0.036291,0.248603,0.421153,-0.049975,0.251141,0.378682,-0.060427,0.184726,0.513420,-0.018204,0.199719,0.431312,-0.031743,0.205320,0.380758,-0.044517,0.205935,0.336180,-0.054040,0.147957,0.510581,-0.019684,0.150309,0.432038,-0.034355,0.150031,0.383575,-0.045214,0.149306,0.338592,-0.052530,0.110383,0.524271,-0.024233,0.105548,0.461892,-0.039098,0.102055,0.421347,-0.046530,0.100055,0.381372,-0.050672
247,0,0.022671,0.024514,0.044055,0.069469,0.028482,0.129745,0.711504,0.000000,0.195021,0.700591,-0.030028,0.253263,0.660796,-0.042252,0.291174,0.612560,-0.052023,0.322410,0.572067,-0.060906,0.220737,0.536019,-0.020238,0.242307,0.465675,-0.035822,0.248804,0.421132,-0.049474,0.251293,0.378628,-0.059902,0.184942,0.513129,-0.017795,0.199882,0.431183,-0.031206,0.205350,0.380930,-0.044029,0.206177,0.336360,-0.053607,0.148189,0.510006,-0.019205,0.150903,0.431609,-0.033794,0.150735,0.383547,-0.044647,0.150021,0.338820,-0.051907,0.110568,0.523526,-0.023675,0.106138,0.461088,-0.038486,0.102701,0.420629,-0.045844,0.100594,0.380837,-0.049899
280,0,0.051116,0.028172,0.039648,0.118558,0.036412,0.130194,0.710814,0.000000,0.195772,0.699535,-0.029601,0.254337,0.658989,-0.041437,0.292005,0.611060,-0.050783,0.322811,0.571469,-0.059356,0.221960,0.534803,-0.019792,0.243066,0.464236,-0.035162,0.249382,0.419677,-0.048698,0.251622,0.377375,-0.059086,0.186045,0.511905,-0.017455,0.200844,0.430048,-0.030721,0.206048,0.379641,-0.043446,0.206701,0.335480,-0.052907,0.149329,0.509042,-0.018962,0.151825,0.430485,-0.033443,0.151483,0.382387,-0.044257,0.150720,0.337863,-0.051478,0.111558,0.522913,-0.023480,0.107013,0.460534,-0.038213,0.103745,0.419944,-0.045647,0.102023,0.379958,-0.049702
314,0,0.033632,0.032731,0.045873,0.107283,0.028638,0.130844,0.711287,0.000000,0.195894,0.699926,-0.029934,0.253670,0.659395,-0.042260,0.291120,0.611145,-0.052128,0.322686,0.571385,-0.061184,0.221914,0.535348,-0.020298,0.243430,0.465001,-0.036106,0.249824,0.420087,-0.050038,0.252308,0.377244,-0.060680,0.186054,0.512454,-0.017947,0.200728,0.430837,-0.031559,0.206234,0.380697,-0.044543,0.207134,0.335985,-0.054256,0.149384,0.509478,-0.019437,0.152227,0.431195,-0.034075,0.152216,0.383190,-0.044775,0.151723,0.338475,-0.052012,0.111863,0.522864,-0.023994,0.107480,0.460518,-0.038777,0.104135,0.419739,-0.046052,0.102030,0.379948,-0.050077
352,0,0.036176,0.039984,0.050950,0.127137,0.053484,0.130699,0.711003,0.000000,0.196304,0.700054,-0.029582,0.254395,0.659242,-0.041361,0.291443,0.610633,-0.050707,0.322743,0.571104,-0.059242,0.222138,0.534975,-0.019261,0.243438,0.465032,-0.034583,0.249719,0.420546,-0.048158,0.251946,0.378242,-0.058547,0.186403,0.512367,-0.016934,0.201365,0.430771,-0.030200,0.206806,0.380399,-0.043022,0.207598,0.335698,-0.052599,0.149685,0.509524,-0.018489,0.152417,0.431448,-0.032981,0.152356,0.383233,-0.043833,0.151768,0.338277,-0.051132,0.112005,0.523108,-0.023075,0.107557,0.460789,-0.037808,0.104493,0.420133,-0.045223,0.102874,0.380205,-0.049355
385,0,0.038848,0.052984,0.065682,0.123399,0.033063,0.131607,0.710900,0.000000,0.196313,0.699371,-0.029499,0.254201,0.658961,-0.041650,0.291517,0.610904,-0.051386,0.322502,0.571093,-0.060388,0.222324,0.534570,-0.020091,0.243345,0.463926,-0.035874,0.249657,0.419232,-0.049725,0.252204,0.376593,-0.060311,0.186349,0.511848,-0.018004,0.200878,0.430135,-0.031662,0.206252,0.379935,-0.044663,0.207216,0.335430,-0.054361,0.149604,0.509378,-0.019714,0.152209,0.430948,-0.034367,0.152097,0.382807,-0.045127,0.151659,0.338118,-0.052391,0.112180,0.523148,-0.024457,0.107624,0.460483,-0.039216,0.104375,0.419833,-0.046557,0.102671,0.379794,-0.050613
420,0,0.018265,0.032357,0.045236,0.131845,0.043889,0.131038,0.710405,0.000000,0.196164,0.698962,-0.029915,0.254056,0.659262,-0.042371,0.291652,0.611000,-0.052414,0.322810,0.570608,-0.061607,0.222196,0.534566,-0.020490,0.243430,0.464220,-0.036365,0.249865,0.419741,-0.050289,0.252265,0.376940,-0.060950,0.186377,0.511731,-0.018241,0.201505,0.430237,-0.031904,0.207087,0.379875,-0.044959,0.207960,0.334991,-0.054693,0.149690,0.508879,-0.019834,0.152595,0.430955,-0.034473,0.152405,0.382811,-0.045345,0.151904,0.338120,-0.052646,0.112079,0.522461,-0.024488,0.107736,0.460450,-0.039185,0.104639,0.419829,-0.046543,0.102887,0.380057,-0.050598
463,0,0.030157,0.021742,0.039628,0.141055,0.041200,0.131531,0.709738,0.000000,0.196450,0.698525,-0.030026,0.254396,0.658405,-0.042288,0.291855,0.610387,-0.052097,0.322854,0.570204,-0.061057,0.222622,0.534117,-0.019908,0.243743,0.464086,-0.035645,0.250101,0.419454,-0.049510,0.252562,0.376904,-0.060130,0.186948,0.511309,-0.017543,0.201811,0.429828,-0.031127,0.207245,0.379618,-0.044180,0.207956,0.334859,-0.053874,0.150232,0.508417,-0.019078,0.153253,0.430461,-0.033734,0.153091,0.382266,-0.044644,0.152572,0.337415,-0.051981,0.112427,0.521893,-0.023673,0.108154,0.459810,-0.038426,0.104975,0.419428,-0.045802,0.103328,0.379470,-0.049934
499,0,0.021535,0.011768,0.030353,0.156496,0.040296,0.132185,0.709506,0.000000,0.196805,0.698241,-0.029819,0.254559,0.657788,-0.042008,0.292184,0.610125,-0.051806,0.323352,0.570283,-0.060756,0.223152,0.533580,-0.020001,0.244165,0.463587,-0.035740,0.250448,0.419318,-0.049608,0.252859,0.377049,-0.060177,0.187529,0.510769,-0.017754,0.202526,0.429451,-0.031284,0.207862,0.379244,-0.044246,0.208547,0.334691,-0.053889,0.150927,0.508063,-0.019413,0.153705,0.430236,-0.033985,0.153449,0.382037,-0.044863,0.152792,0.337331,-0.052192,0.113230,0.521706,-0.024129,0.108919,0.459478,-0.038806,0.105632,0.418899,-0.046174,0.103788,0.379050,-0.050263
