t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.146520,0.788989,0.000000,0.206323,0.779029,-0.028338,0.260135,0.742572,-0.041844,0.303241,0.704179,-0.053333,0.339729,0.676917,-0.064207,0.230618,0.617254,-0.023151,0.258109,0.548328,-0.039462,0.270831,0.503986,-0.052834,0.278372,0.462932,-0.063055,0.197593,0.593789,-0.021998,0.216387,0.510481,-0.036061,0.223712,0.458973,-0.048031,0.225130,0.414455,-0.056715,0.162975,0.591491,-0.024323,0.163842,0.510829,-0.039155,0.162959,0.460741,-0.049875,0.161458,0.415667,-0.057022,0.127828,0.606861,-0.029510,0.116892,0.544793,-0.044342,0.110318,0.503581,-0.051604,0.106533,0.463166,-0.055600
63,0,0.027015,0.028430,0.032501,0.027015,0.028430,0.147157,0.788387,0.000000,0.206815,0.778427,-0.028168,0.260844,0.742144,-0.041705,0.304175,0.703917,-0.053226,0.340696,0.676546,-0.064171,0.230931,0.617171,-0.023445,0.258404,0.547943,-0.039939,0.271044,0.503505,-0.053380,0.278736,0.462458,-0.063633,0.197853,0.594002,-0.022427,0.216443,0.510647,-0.036867,0.223828,0.459020,-0.049155,0.225119,0.414589,-0.058065,0.163413,0.591577,-0.024808,0.164043,0.511006,-0.039939,0.163129,0.460660,-0.050960,0.161600,0.415065,-0.058295,0.128510,0.607019,-0.030012,0.117493,0.544924,-0.045008,0.110826,0.503674,-0.052458,0.107044,0.463098,-0.056644
95,0,0.024291,0.027203,0.035048,0.035917,0.033592,0.147044,0.787432,0.000000,0.206877,0.777967,-0.028763,0.260622,0.742054,-0.042485,0.304057,0.703863,-0.054082,0.340752,0.676345,-0.065067,0.231019,0.616453,-0.023615,0.258704,0.547590,-0.039997,0.271255,0.503363,-0.053508,0.278917,0.462368,-0.063804,0.197962,0.593188,-0.022238,0.216827,0.510101,-0.036552,0.224292,0.458615,-0.048800,0.225769,0.414001,-0.057756,0.163479,0.590908,-0.024324,0.164412,0.510253,-0.039461,0.163525,0.460361,-0.050484,0.161969,0.415178,-0.057756,0.128587,0.606282,-0.029261,0.117881,0.544207,-0.044399,0.111269,0.503129,-0.051862,0.107377,0.462819,-0.056034
124,0,0.022305,0.024821,0.026450,0.038654,0.022438,0.146956,0.787529,0.000000,0.206732,0.777836,-0.028536,0.260572,0.741754,-0.042077,0.304110,0.703372,-0.053630,0.340735,0.676258,-0.064493,0.231444,0.616481,-0.023104,0.259123,0.547510,-0.039323,0.271741,0.503259,-0.052673,0.279292,0.462404,-0.062848,0.198287,0.592741,-0.021823,0.217316,0.509952,-0.035957,0.224724,0.458458,-0.048006,0.226004,0.413840,-0.056804,0.163753,0.590179,-0.024041,0.164701,0.509881,-0.039036,0.163645,0.459906,-0.049919,0.161873,0.414791,-0.057111,0.128705,0.605567,-0.029091,0.117868,0.543577,-0.044067,0.111137,0.502427,-0.051449,0.107098,0.462384,-0.055504
157,0,0.029714,0.028203,0.051880,0.052950,0.038623,0.147202,0.787438,0.000000,0.206909,0.777094,-0.028449,0.260803,0.741392,-0.042146,0.304424,0.703207,-0.053833,0.341377,0.676247,-0.064906,0.231279,0.616809,-0.023660,0.258941,0.547891,-0.040192,0.271776,0.503577,-0.053679,0.279532,0.462651,-0.063871,0.198290,0.593213,-0.022568,0.217200,0.509862,-0.036916,0.224868,0.458126,-0.049043,0.226431,0.413587,-0.057856,0.163850,0.590981,-0.024924,0.164803,0.509982,-0.040039,0.164012,0.459670,-0.051036,0.162498,0.414223,-0.058277,0.128955,0.606420,-0.030116,0.118185,0.544301,-0.045212,0.111425,0.502858,-0.052606,0.107319,0.462685,-0.056706
192,0,0.028290,0.029760,0.046533,0.048702,0.021897,0.147258,0.787604,0.000000,0.207042,0.777272,-0.028414,0.261122,0.741655,-0.041970,0.304471,0.703345,-0.053535,0.340930,0.676150,-0.064411,0.231491,0.616439,-0.022919,0.259337,0.547646,-0.039117,0.272009,0.503367,-0.052425,0.279490,0.462424,-0.062534,0.198624,0.592938,-0.021751,0.217486,0.509616,-0.035824,0.224990,0.457925,-0.047829,0.226458,0.413200,-0.056522,0.164286,0.590428,-0.024049,0.165003,0.509724,-0.039041,0.164012,0.459616,-0.049974,0.162263,0.414267,-0.057135,0.129301,0.605831,-0.029199,0.118450,0.543728,-0.044153,0.111708,0.502676,-0.051506,0.107644,0.462555,-0.055565
225,0,0.014354,0.016979,0.046039,0.046727,0.021900,0.147375,0.787451,0.000000,0.207150,0.777112,-0.028653,0.260796,0.741582,-0.042385,0.304429,0.703520,-0.054084,0.341007,0.676165,-0.065170,0.231257,0.616852,-0.023379,0.258886,0.547655,-0.039777,0.271668,0.503086,-0.053202,0.279459,0.462040,-0.063367,0.198276,0.593067,-0.022036,0.217252,0.509991,-0.036210,0.224706,0.458090,-0.048254,0.226360,0.413193,-0.056961,0.164039,0.590417,-0.024204,0.164881,0.509789,-0.039144,0.163918,0.459598,-0.050057,0.162306,0.414485,-0.057306,0.129028,0.605654,-0.029248,0.118114,0.543744,-0.044150,0.111485,0.502490,-0.051591,0.107555,0.462354,-0.055695
254,0,0.016845,0.017485,0.059278,0.041257,0.012546,0.147533,0.788012,0.000000,0.207424,0.778005,-0.028303,0.261063,0.741792,-0.041756,0.304205,0.703015,-0.053200,0.340850,0.675884,-0.063993,0.231366,0.617054,-0.023194,0.258837,0.547418,-0.039498,0.271638,0.502967,-0.052856,0.279391,0.461836,-0.062998,0.198380,0.593565,-0.022007,0.217081,0.510048,-0.036207,0.224690,0.458273,-0.048339,0.226231,0.413625,-0.057142,0.164057,0.591112,-0.024285,0.164856,0.510351,-0.039269,0.164017,0.460020,-0.050215,0.162479,0.414730,-0.057487,0.129188,0.606257,-0.029375,0.118500,0.544133,-0.044359,0.111905,0.502680,-0.051822,0.108004,0.462335,-0.055918
285,0,0.018400,0.019294,0.048641,0.047132,0.027819,0.147270,0.788026,0.000000,0.206960,0.777487,-0.028412,0.260792,0.741607,-0.042033,0.304072,0.703322,-0.053682,0.340515,0.676022,-0.064717,0.231079,0.616961,-0.023316,0.258466,0.547532,-0.039964,0.271242,0.503097,-0.053643,0.279276,0.461792,-0.064027,0.198276,0.593582,-0.022224,0.217265,0.510275,-0.036650,0.224974,0.458489,-0.049007,0.226779,0.413707,-0.057973,0.164029,0.591209,-0.024599,0.164907,0.510411,-0.039773,0.164255,0.460210,-0.050808,0.162851,0.414772,-0.058088,0.129201,0.606608,-0.029810,0.118514,0.544269,-0.044869,0.112025,0.503011,-0.052264,0.108216,0.462678,-0.056326
325,0,0.024095,0.022335,0.062744,0.056254,0.034692,0.146753,0.787571,0.000000,0.206515,0.777823,-0.028967,0.260449,0.741694,-0.042876,0.303604,0.703039,-0.054639,0.340294,0.675888,-0.065712,0.231440,0.616622,-0.023718,0.258944,0.547432,-0.040309,0.271651,0.502880,-0.053949,0.279208,0.461518,-0.064333,0.198231,0.592833,-0.022319,0.217575,0.509867,-0.036764,0.225024,0.458212,-0.049045,0.226584,0.413476,-0.057934,0.163639,0.590258,-0.024407,0.165070,0.509529,-0.039619,0.164271,0.459504,-0.050539,0.162713,0.414499,-0.057781,0.128572,0.605510,-0.029388,0.118055,0.543396,-0.044485,0.111648,0.502159,-0.051842,0.107939,0.462032,-0.055903
