t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
31,0,,,,0.000000,0.000000,0.138074,0.724624,0.000000,0.195534,0.723357,-0.027556,0.248550,0.693871,-0.040333,0.289303,0.658652,-0.051142,0.324127,0.633966,-0.061290,0.230544,0.572232,-0.023255,0.263899,0.514411,-0.039597,0.280834,0.475485,-0.052797,0.291424,0.438477,-0.062834,0.199189,0.543683,-0.022372,0.221393,0.466668,-0.036913,0.230839,0.419394,-0.048715,0.233795,0.377485,-0.057135,0.165320,0.537226,-0.024781,0.168779,0.462088,-0.040370,0.169594,0.413962,-0.051142,0.170074,0.369082,-0.058238,0.130100,0.549085,-0.029854,0.120394,0.489562,-0.045149,0.114876,0.450690,-0.052355,0.112210,0.412172,-0.056289
66,0,0.023472,0.030786,0.052270,0.023472,0.030786,0.138463,0.725000,0.000000,0.195430,0.723706,-0.027909,0.248121,0.693924,-0.040909,0.288742,0.658639,-0.051779,0.323843,0.634112,-0.061988,0.230455,0.571864,-0.023907,0.263418,0.513778,-0.040285,0.280183,0.474907,-0.053432,0.291034,0.438187,-0.063494,0.199318,0.543637,-0.022915,0.221409,0.466815,-0.037549,0.230656,0.419369,-0.049392,0.233359,0.377396,-0.057838,0.165356,0.537477,-0.025210,0.168769,0.462312,-0.040873,0.169513,0.414395,-0.051779,0.169832,0.369582,-0.058940,0.130004,0.549606,-0.030186,0.120343,0.490225,-0.045573,0.114760,0.451278,-0.052918,0.112079,0.412730,-0.056957
96,0,0.014749,0.017293,0.059601,0.016582,0.025112,0.138613,0.724885,0.000000,0.195688,0.723425,-0.027618,0.248004,0.693582,-0.040582,0.288829,0.658818,-0.051453,0.323827,0.634289,-0.061736,0.230389,0.572131,-0.023578,0.263337,0.514322,-0.039884,0.279967,0.475523,-0.053068,0.290521,0.438627,-0.063095,0.199233,0.543885,-0.022660,0.221093,0.466761,-0.037093,0.230470,0.419332,-0.048808,0.233423,0.377469,-0.057218,0.165353,0.537577,-0.025028,0.168488,0.462328,-0.040472,0.169302,0.414256,-0.051269,0.169680,0.369536,-0.058394,0.130123,0.549566,-0.030078,0.120429,0.490109,-0.045283,0.114757,0.451182,-0.052481,0.111831,0.412720,-0.056484
127,0,0.022264,0.018820,0.046553,0.019191,0.030951,0.138730,0.724749,0.000000,0.195848,0.723310,-0.027569,0.248404,0.693302,-0.040280,0.289314,0.658116,-0.050882,0.324379,0.634000,-0.060861,0.230529,0.571519,-0.023277,0.263357,0.513540,-0.039437,0.280048,0.474485,-0.052496,0.290598,0.437550,-0.062438,0.199240,0.543408,-0.022305,0.221458,0.466260,-0.036630,0.230803,0.418876,-0.048278,0.233639,0.376957,-0.056569,0.165394,0.537134,-0.024634,0.168647,0.461888,-0.040060,0.169283,0.413946,-0.050809,0.169538,0.369384,-0.057852,0.130160,0.549281,-0.029605,0.120449,0.489898,-0.044829,0.114712,0.450985,-0.052020,0.111928,0.412490,-0.055945
162,0,0.013581,0.022862,0.046772,0.021344,0.046964,0.139314,0.724896,0.000000,0.195992,0.723037,-0.027597,0.248299,0.693049,-0.040459,0.288886,0.658035,-0.051226,0.323989,0.633822,-0.061369,0.230613,0.571633,-0.023371,0.263493,0.513359,-0.039504,0.280104,0.474425,-0.052512,0.290852,0.437539,-0.062434,0.199449,0.543303,-0.022434,0.221265,0.465937,-0.036711,0.230452,0.418464,-0.048286,0.233383,0.376848,-0.056591,0.165482,0.536867,-0.024786,0.168934,0.461474,-0.040165,0.169444,0.413313,-0.050969,0.169713,0.368707,-0.058098,0.130247,0.548948,-0.029821,0.120675,0.489434,-0.044979,0.114893,0.450465,-0.052255,0.112020,0.412052,-0.056297
193,0,0.017621,0.024275,0.068564,0.023141,0.027350,0.138845,0.724408,0.000000,0.196059,0.722625,-0.027526,0.248726,0.692666,-0.040352,0.289397,0.657746,-0.051157,0.324326,0.632964,-0.061300,0.230003,0.571217,-0.023190,0.263097,0.514040,-0.039433,0.279995,0.475432,-0.052664,0.290654,0.438496,-0.062770,0.198982,0.543149,-0.022326,0.221148,0.466004,-0.036677,0.230434,0.418616,-0.048437,0.233170,0.376498,-0.056853,0.165522,0.536831,-0.024752,0.168957,0.461688,-0.040205,0.169755,0.413850,-0.050936,0.169993,0.369201,-0.057992,0.130518,0.548843,-0.029841,0.121052,0.489002,-0.044983,0.115491,0.450073,-0.052039,0.112632,0.411733,-0.055934
224,0,0.022607,0.024289,0.056670,0.035046,0.024104,0.138398,0.723933,0.000000,0.195645,0.721959,-0.027311,0.248182,0.692405,-0.040049,0.289150,0.657434,-0.050805,0.323916,0.633166,-0.060900,0.230690,0.570867,-0.022778,0.263446,0.512566,-0.038874,0.280170,0.473829,-0.051943,0.290826,0.437024,-0.061891,0.199419,0.542937,-0.021970,0.221309,0.465723,-0.036305,0.230710,0.418540,-0.048088,0.233791,0.376703,-0.056531,0.165478,0.536599,-0.024485,0.168920,0.461341,-0.039866,0.169701,0.413352,-0.050658,0.170188,0.368708,-0.057779,0.130134,0.548491,-0.029642,0.120899,0.488974,-0.044785,0.115326,0.450048,-0.051979,0.112655,0.411494,-0.055944
271,0,0.020580,0.025530,0.049785,0.038489,0.034329,0.138739,0.723935,0.000000,0.195796,0.721913,-0.027727,0.247742,0.692638,-0.040764,0.288021,0.657440,-0.051708,0.322936,0.632582,-0.061991,0.230382,0.570512,-0.023320,0.263351,0.512578,-0.039589,0.280057,0.473749,-0.052810,0.290710,0.436738,-0.062836,0.199324,0.542400,-0.022328,0.221609,0.465527,-0.036743,0.230730,0.417927,-0.048476,0.233432,0.375841,-0.056886,0.165560,0.536075,-0.024642,0.168963,0.461109,-0.040066,0.169662,0.413189,-0.050827,0.169946,0.368548,-0.057878,0.130315,0.547977,-0.029655,0.120712,0.488850,-0.044804,0.114990,0.450020,-0.051928,0.112127,0.411902,-0.055858
304,0,0.016131,0.014122,0.047699,0.043427,0.024445,0.138363,0.723500,0.000000,0.195363,0.721820,-0.027469,0.247783,0.692233,-0.040350,0.288200,0.656935,-0.051190,0.323018,0.632024,-0.061406,0.230322,0.570105,-0.023133,0.263359,0.512094,-0.039357,0.279940,0.473226,-0.052513,0.290682,0.436336,-0.062546,0.199163,0.542134,-0.022251,0.221192,0.465240,-0.036638,0.230405,0.418043,-0.048471,0.233379,0.376282,-0.056960,0.165253,0.535914,-0.024658,0.168762,0.461076,-0.040019,0.169552,0.412830,-0.050933,0.169862,0.368081,-0.058209,0.129854,0.547732,-0.029729,0.120749,0.488336,-0.044870,0.115228,0.449530,-0.052109,0.112403,0.411149,-0.056188
333,0,0.014017,0.015429,0.033864,0.050363,0.033973,0.138503,0.723379,0.000000,0.195365,0.721758,-0.027490,0.247576,0.692172,-0.040362,0.287798,0.656853,-0.051197,0.322674,0.631890,-0.061370,0.230206,0.569522,-0.023321,0.262866,0.511356,-0.039554,0.279649,0.472820,-0.052629,0.290357,0.436190,-0.062582,0.198944,0.541578,-0.022421,0.221101,0.464635,-0.036818,0.230236,0.417491,-0.048552,0.233054,0.375982,-0.056963,0.165071,0.535638,-0.024827,0.168611,0.460645,-0.040215,0.169303,0.412507,-0.051050,0.169536,0.367791,-0.058248,0.129746,0.547931,-0.029895,0.120505,0.488420,-0.045100,0.114826,0.449670,-0.052335,0.111947,0.411416,-0.056412
