t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.178384,0.773584,0.000000,0.239637,0.753155,-0.026882,0.292046,0.703128,-0.039117,0.331989,0.653685,-0.049625,0.365897,0.620209,-0.059791,0.247453,0.588022,-0.024089,0.277625,0.516258,-0.041006,0.292977,0.470714,-0.054005,0.302723,0.430470,-0.063568,0.210398,0.569167,-0.024049,0.226552,0.481741,-0.038535,0.234919,0.427409,-0.049826,0.237558,0.381543,-0.057983,0.173909,0.572587,-0.027384,0.166454,0.491100,-0.043276,0.161578,0.438880,-0.055130,0.157848,0.392521,-0.063046,0.139358,0.595522,-0.033331,0.114989,0.537366,-0.049705,0.100659,0.498275,-0.057862,0.090333,0.459648,-0.062523
61,0,0.025013,0.031510,0.053669,0.025013,0.031510,0.177967,0.772873,0.000000,0.239402,0.752637,-0.027094,0.292133,0.703229,-0.039435,0.331747,0.653559,-0.049967,0.365829,0.620195,-0.060217,0.246980,0.587783,-0.024521,0.277127,0.516092,-0.041726,0.292453,0.470142,-0.054831,0.301875,0.429777,-0.064398,0.209973,0.569249,-0.024400,0.226471,0.481878,-0.039274,0.234959,0.426945,-0.050811,0.237817,0.380788,-0.059011,0.173728,0.572865,-0.027697,0.165989,0.491335,-0.044017,0.161429,0.438967,-0.056197,0.157974,0.392794,-0.064197,0.139332,0.595962,-0.033546,0.115022,0.537566,-0.050328,0.100667,0.498173,-0.058770,0.090228,0.459379,-0.063554
93,0,0.014894,0.017933,0.045628,0.026427,0.035984,0.178055,0.772535,0.000000,0.239432,0.752410,-0.027181,0.291941,0.702729,-0.039668,0.331492,0.653510,-0.050307,0.365335,0.619995,-0.060666,0.247131,0.587767,-0.024732,0.277299,0.516205,-0.041876,0.292629,0.470417,-0.055085,0.302140,0.429695,-0.064761,0.210059,0.569167,-0.024531,0.226021,0.482283,-0.039246,0.234363,0.427727,-0.050749,0.236952,0.381061,-0.059100,0.173729,0.572692,-0.027743,0.166162,0.491453,-0.043803,0.161470,0.439441,-0.055727,0.157831,0.393080,-0.063677,0.139258,0.595509,-0.033525,0.114871,0.537280,-0.050026,0.100663,0.498118,-0.058257,0.090393,0.459393,-0.062914
126,0,0.013477,0.020555,0.030636,0.021559,0.021111,0.178238,0.773070,0.000000,0.239603,0.752966,-0.027255,0.292107,0.703312,-0.039738,0.331514,0.653374,-0.050335,0.365659,0.619614,-0.060611,0.246906,0.587718,-0.024646,0.277356,0.516088,-0.041745,0.292689,0.470315,-0.054791,0.302136,0.430024,-0.064304,0.209998,0.568981,-0.024365,0.226303,0.481693,-0.039136,0.234916,0.427141,-0.050576,0.237702,0.380937,-0.058765,0.173676,0.572495,-0.027496,0.166179,0.490939,-0.043712,0.161649,0.438808,-0.055714,0.158229,0.392780,-0.063662,0.139309,0.595500,-0.033196,0.115027,0.537129,-0.049894,0.100730,0.497769,-0.058283,0.090406,0.459033,-0.062979
155,0,0.016783,0.019262,0.037842,0.029510,0.030355,0.178041,0.772973,0.000000,0.239683,0.752791,-0.027188,0.292596,0.702818,-0.039579,0.332066,0.653203,-0.050165,0.366060,0.619696,-0.060430,0.247472,0.587563,-0.024782,0.277505,0.515830,-0.041985,0.292987,0.470122,-0.055137,0.302375,0.429673,-0.064721,0.210592,0.568802,-0.024561,0.226841,0.481582,-0.039378,0.235329,0.427139,-0.050887,0.238130,0.381133,-0.059147,0.174242,0.572064,-0.027749,0.166570,0.490782,-0.043990,0.161820,0.438682,-0.056060,0.158164,0.392843,-0.064120,0.139576,0.595055,-0.033503,0.115396,0.536878,-0.050085,0.101164,0.497641,-0.058426,0.090840,0.458996,-0.063197
187,0,0.015175,0.013585,0.039328,0.035451,0.037589,0.177850,0.772340,0.000000,0.239221,0.752041,-0.027293,0.292152,0.702254,-0.039745,0.331867,0.652812,-0.050369,0.365843,0.619061,-0.060652,0.247611,0.587464,-0.024763,0.277577,0.515696,-0.041974,0.293000,0.469940,-0.055229,0.302564,0.429400,-0.064869,0.210460,0.568528,-0.024522,0.226648,0.481325,-0.039343,0.234971,0.426738,-0.050931,0.237581,0.380480,-0.059246,0.174080,0.572099,-0.027675,0.166566,0.490597,-0.043862,0.161984,0.438463,-0.055791,0.158404,0.392237,-0.063744,0.139399,0.594941,-0.033439,0.115453,0.536530,-0.049967,0.101438,0.497340,-0.058201,0.091390,0.458434,-0.062861
222,0,0.009447,0.010619,0.033111,0.037163,0.034974,0.177969,0.772209,0.000000,0.239373,0.752402,-0.027389,0.292108,0.702341,-0.039749,0.331584,0.652938,-0.050243,0.365588,0.619108,-0.060436,0.247423,0.586968,-0.024861,0.277528,0.515520,-0.041976,0.292967,0.469914,-0.055099,0.302547,0.429511,-0.064690,0.210268,0.568321,-0.024580,0.226399,0.481188,-0.039328,0.234878,0.426784,-0.050805,0.237606,0.380901,-0.059072,0.173918,0.571828,-0.027730,0.166515,0.490219,-0.043903,0.161987,0.438125,-0.055861,0.158705,0.392009,-0.063847,0.139469,0.594831,-0.033469,0.115350,0.536359,-0.050123,0.101169,0.497293,-0.058510,0.090979,0.458349,-0.063245
253,0,0.012440,0.011760,0.038039,0.041151,0.037512,0.178000,0.771946,0.000000,0.239442,0.752022,-0.027364,0.292245,0.702266,-0.039833,0.331885,0.652703,-0.050398,0.366028,0.619048,-0.060662,0.247141,0.587218,-0.024998,0.277466,0.515155,-0.042138,0.293110,0.469371,-0.055209,0.302645,0.428811,-0.064791,0.210296,0.568431,-0.024638,0.226428,0.481202,-0.039372,0.234728,0.426537,-0.050799,0.237443,0.380313,-0.059018,0.174165,0.571739,-0.027645,0.166640,0.490226,-0.043742,0.162298,0.438182,-0.055610,0.158807,0.392164,-0.063548,0.139714,0.594447,-0.033278,0.115650,0.536133,-0.049756,0.101483,0.497161,-0.058015,0.091123,0.458598,-0.062666
285,0,0.020238,0.024146,0.045134,0.057279,0.056864,0.177610,0.771734,0.000000,0.239128,0.752197,-0.027746,0.291941,0.702454,-0.040356,0.331645,0.652566,-0.050961,0.365599,0.618513,-0.061265,0.247492,0.586700,-0.025240,0.277747,0.515144,-0.042501,0.293371,0.469530,-0.055652,0.302662,0.428898,-0.065315,0.210523,0.567865,-0.024759,0.227143,0.480951,-0.039634,0.235537,0.426574,-0.051161,0.238259,0.380349,-0.059461,0.174237,0.571294,-0.027726,0.167380,0.489792,-0.043984,0.162781,0.437755,-0.055973,0.159450,0.391604,-0.063952,0.139727,0.594328,-0.033299,0.115671,0.536004,-0.049999,0.101600,0.496878,-0.058378,0.091399,0.458180,-0.063110
336,0,0.016150,0.013141,0.038897,0.049682,0.057681,0.177529,0.772347,0.000000,0.239192,0.753152,-0.027671,0.291973,0.702944,-0.040095,0.331567,0.653030,-0.050534,0.365345,0.619082,-0.060633,0.247745,0.587706,-0.025267,0.277732,0.515849,-0.042479,0.293276,0.469925,-0.055623,0.302713,0.429108,-0.065241,0.210722,0.568667,-0.024826,0.227121,0.481395,-0.039674,0.235448,0.426761,-0.051095,0.238209,0.380286,-0.059310,0.174445,0.571921,-0.027792,0.167434,0.490317,-0.044002,0.163089,0.438406,-0.055904,0.159744,0.392309,-0.063799,0.139946,0.594444,-0.033382,0.116025,0.535851,-0.050053,0.101941,0.496641,-0.058429,0.091849,0.457914,-0.063198
