t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
45,0,,,,0.000000,0.000000,0.112574,0.666038,0.000000,0.169432,0.676885,-0.029184,0.222776,0.660657,-0.042954,0.264842,0.632138,-0.054291,0.300762,0.613645,-0.064949,0.212155,0.536228,-0.025518,0.249719,0.484296,-0.042203,0.270552,0.448929,-0.055221,0.285759,0.415359,-0.064985,0.185318,0.503385,-0.023480,0.214428,0.430562,-0.038447,0.229092,0.384611,-0.050572,0.237525,0.343269,-0.059191,0.153764,0.490988,-0.024678,0.164425,0.417570,-0.040951,0.169043,0.370481,-0.052503,0.172541,0.327929,-0.059906,0.118816,0.495825,-0.028487,0.113812,0.437066,-0.044313,0.111208,0.398245,-0.052181,0.110710,0.361121,-0.056473
95,0,0.025167,0.013689,0.040875,0.025167,0.013689,0.113024,0.665481,0.000000,0.169722,0.676677,-0.029240,0.223052,0.660547,-0.042894,0.265358,0.631591,-0.054047,0.301021,0.613140,-0.064556,0.212748,0.536327,-0.025754,0.250399,0.484355,-0.042430,0.271088,0.448819,-0.055369,0.285926,0.414977,-0.065056,0.185722,0.503090,-0.023574,0.215121,0.429833,-0.038498,0.229790,0.383997,-0.050472,0.238227,0.342757,-0.058980,0.154218,0.490308,-0.024611,0.165197,0.416975,-0.040750,0.169953,0.369999,-0.052224,0.173577,0.327725,-0.059552,0.119344,0.494953,-0.028257,0.114642,0.436416,-0.043967,0.111957,0.397873,-0.051759,0.111375,0.361029,-0.055977
138,0,0.036445,0.026176,0.060926,0.055538,0.026800,0.113246,0.665059,0.000000,0.170002,0.676046,-0.029248,0.223921,0.659785,-0.042926,0.266010,0.630745,-0.054104,0.301711,0.612220,-0.064639,0.213722,0.536218,-0.026034,0.251020,0.483340,-0.042890,0.271801,0.447665,-0.055925,0.286960,0.413768,-0.065603,0.186486,0.502954,-0.023945,0.215610,0.429560,-0.039176,0.230443,0.383458,-0.051318,0.239045,0.341939,-0.059854,0.154862,0.490200,-0.025088,0.165524,0.416841,-0.041498,0.170424,0.369653,-0.053033,0.174160,0.327227,-0.060318,0.119920,0.494724,-0.028820,0.115328,0.435936,-0.044712,0.112886,0.397244,-0.052533,0.112436,0.360343,-0.056747
191,0,0.074366,0.040892,0.090776,0.113510,0.042450,0.113998,0.664004,0.000000,0.171084,0.674542,-0.028431,0.224523,0.657434,-0.041646,0.267866,0.629041,-0.052576,0.304097,0.611458,-0.062898,0.214448,0.534102,-0.025127,0.251946,0.481093,-0.041468,0.272486,0.445150,-0.054112,0.287533,0.411242,-0.063577,0.187116,0.501404,-0.023359,0.216213,0.427591,-0.038039,0.231033,0.381344,-0.049897,0.239682,0.340065,-0.058255,0.155448,0.488935,-0.024734,0.166372,0.415288,-0.040611,0.171486,0.367992,-0.051933,0.175214,0.325462,-0.059219,0.120561,0.493676,-0.028681,0.116090,0.435153,-0.044218,0.113725,0.396402,-0.051969,0.113395,0.359493,-0.056148
233,0,0.094431,0.065871,0.118449,0.205523,0.105371,0.113736,0.662430,0.000000,0.170840,0.671639,-0.027261,0.225631,0.653923,-0.040238,0.269688,0.626230,-0.051085,0.305946,0.609727,-0.061396,0.215096,0.532301,-0.024451,0.252806,0.478876,-0.040954,0.273392,0.442657,-0.053806,0.288114,0.408113,-0.063436,0.187901,0.499640,-0.023341,0.217253,0.425468,-0.038090,0.232058,0.379005,-0.050047,0.240595,0.337152,-0.058424,0.156377,0.486717,-0.025256,0.168341,0.412721,-0.040847,0.174092,0.365518,-0.051766,0.178416,0.322611,-0.058782,0.121500,0.491104,-0.029678,0.118168,0.432223,-0.044785,0.116361,0.393187,-0.051909,0.116510,0.355742,-0.055704
283,0,0.123478,0.048999,0.076365,0.321598,0.139790,0.114171,0.658977,0.000000,0.171708,0.667502,-0.027411,0.226071,0.649683,-0.040372,0.269020,0.621571,-0.051164,0.305373,0.604210,-0.061311,0.215540,0.527395,-0.024023,0.253750,0.473988,-0.040301,0.274067,0.437676,-0.053101,0.288805,0.403513,-0.062602,0.188650,0.495195,-0.022660,0.218460,0.422650,-0.037396,0.233263,0.376406,-0.049264,0.241680,0.334928,-0.057618,0.157244,0.482649,-0.024381,0.170106,0.408560,-0.040085,0.176003,0.361457,-0.050913,0.180617,0.318872,-0.057833,0.122393,0.486864,-0.028630,0.119898,0.428180,-0.043958,0.118676,0.388882,-0.051236,0.119335,0.351491,-0.055073
331,0,0.111517,0.059852,0.065507,0.415286,0.151326,0.114993,0.655844,0.000000,0.171390,0.662971,-0.027286,0.225708,0.643960,-0.040194,0.268692,0.615646,-0.050951,0.304504,0.597614,-0.061026,0.215530,0.522428,-0.024059,0.253435,0.468927,-0.040517,0.273750,0.432516,-0.053496,0.288547,0.398132,-0.063106,0.188684,0.490692,-0.022930,0.218218,0.417385,-0.037577,0.233009,0.371050,-0.049445,0.241403,0.329525,-0.057799,0.157438,0.478699,-0.024884,0.170060,0.404086,-0.040481,0.175696,0.357152,-0.051166,0.180113,0.314609,-0.058014,0.122605,0.483522,-0.029366,0.120200,0.424240,-0.044568,0.118675,0.385083,-0.051704,0.119104,0.347529,-0.055433
396,0,0.150550,0.082802,0.073751,0.550881,0.190755,0.116202,0.651936,0.000000,0.172282,0.657983,-0.027506,0.226069,0.638494,-0.040503,0.267747,0.608893,-0.051304,0.303650,0.590253,-0.061277,0.215754,0.516584,-0.023294,0.253477,0.462440,-0.039423,0.273367,0.425967,-0.052168,0.287631,0.391513,-0.061637,0.188993,0.485337,-0.021818,0.218204,0.411954,-0.036201,0.232515,0.365513,-0.047812,0.240427,0.324283,-0.055984,0.157900,0.473752,-0.023528,0.170121,0.399247,-0.038847,0.175630,0.352626,-0.049288,0.179756,0.310544,-0.055876,0.123292,0.478539,-0.027794,0.120749,0.419241,-0.042771,0.119119,0.380060,-0.049756,0.119401,0.342600,-0.053320
442,0,0.119126,0.026589,0.064330,0.642646,0.211371,0.115978,0.647611,0.000000,0.172466,0.653887,-0.027468,0.225582,0.633902,-0.040508,0.266414,0.603517,-0.051329,0.301399,0.583898,-0.061285,0.215652,0.511463,-0.023085,0.252587,0.456907,-0.039317,0.272186,0.419973,-0.052231,0.286233,0.385276,-0.061826,0.188720,0.480573,-0.021679,0.217565,0.406766,-0.036233,0.231586,0.360337,-0.048010,0.239321,0.319009,-0.056235,0.157862,0.469117,-0.023446,0.169701,0.394953,-0.038957,0.175219,0.348346,-0.049345,0.179421,0.306065,-0.055874,0.123482,0.474372,-0.027811,0.120750,0.414466,-0.042888,0.118948,0.375140,-0.049814,0.119066,0.337685,-0.053349
491,0,0.132728,0.048560,0.089870,0.716289,0.244360,0.115414,0.644089,0.000000,0.170790,0.649702,-0.027442,0.223699,0.629032,-0.040396,0.264835,0.598564,-0.051199,0.299877,0.577621,-0.061063,0.214197,0.507001,-0.022673,0.250257,0.451598,-0.038698,0.269603,0.414550,-0.051488,0.283647,0.379775,-0.060991,0.187594,0.476409,-0.021300,0.216015,0.402468,-0.035482,0.229995,0.356007,-0.047008,0.237649,0.315043,-0.055174,0.156757,0.465398,-0.023197,0.168143,0.391122,-0.038336,0.173306,0.344260,-0.048778,0.177412,0.301757,-0.055463,0.122522,0.470865,-0.027713,0.119672,0.411167,-0.042564,0.117619,0.371964,-0.049609,0.117658,0.334406,-0.053367
537,0,0.167123,0.075749,0.091610,0.823139,0.299344,0.113299,0.641161,0.000000,0.169537,0.646300,-0.028114,0.223000,0.625016,-0.040943,0.263906,0.593265,-0.051531,0.299155,0.571395,-0.061107,0.213098,0.501876,-0.022007,0.248117,0.445924,-0.037510,0.266608,0.408807,-0.050194,0.279865,0.373870,-0.059734,0.186049,0.471587,-0.020092,0.213161,0.397895,-0.033752,0.226159,0.351605,-0.045352,0.232895,0.311068,-0.053627,0.155047,0.461068,-0.021556,0.166068,0.386834,-0.036390,0.170705,0.340383,-0.046833,0.174257,0.298712,-0.053591,0.120772,0.466922,-0.025711,0.117458,0.407426,-0.040545,0.115193,0.368195,-0.047809,0.114910,0.330860,-0.051639
588,0,0.161803,0.094625,0.060552,0.901376,0.330212,0.112021,0.639241,0.000000,0.167767,0.643431,-0.028681,0.220073,0.621337,-0.041951,0.260666,0.588556,-0.052865,0.296083,0.565184,-0.062800,0.210112,0.498563,-0.022952,0.244346,0.441887,-0.038797,0.262612,0.404598,-0.051741,0.275858,0.369592,-0.061422,0.183150,0.468365,-0.020849,0.209219,0.394089,-0.034573,0.222079,0.347959,-0.046049,0.229164,0.307999,-0.054279,0.152277,0.458219,-0.022172,0.162344,0.383710,-0.037165,0.166384,0.337187,-0.047644,0.169454,0.295816,-0.054424,0.118334,0.464661,-0.026251,0.114187,0.404904,-0.041335,0.111417,0.365539,-0.048804,0.110579,0.328208,-0.052829
632,0,0.181173,0.051307,0.042144,1.037789,0.324499,0.109171,0.635463,0.000000,0.165324,0.639682,-0.029221,0.217581,0.617529,-0.042853,0.257415,0.584438,-0.054055,0.292914,0.560339,-0.064279,0.206653,0.494414,-0.023964,0.240731,0.437459,-0.040206,0.258845,0.399669,-0.053294,0.271890,0.364103,-0.063119,0.179515,0.464419,-0.021680,0.205303,0.390221,-0.035910,0.217595,0.343524,-0.047675,0.223883,0.302834,-0.056049,0.148607,0.454676,-0.022804,0.158710,0.380405,-0.038140,0.162612,0.333704,-0.048726,0.165499,0.291922,-0.055542,0.114848,0.461436,-0.026701,0.110536,0.401721,-0.042055,0.107636,0.362602,-0.049560,0.106693,0.325310,-0.053584
683,0,0.163928,0.052673,0.086287,1.201644,0.376216,0.106439,0.632867,0.000000,0.162793,0.636938,-0.029033,0.214770,0.614072,-0.042365,0.254456,0.580656,-0.053327,0.289792,0.556378,-0.063240,0.204033,0.491392,-0.022992,0.237855,0.433647,-0.038964,0.255473,0.395314,-0.051808,0.268231,0.359731,-0.061504,0.176596,0.461277,-0.020712,0.201508,0.386481,-0.034822,0.213559,0.339592,-0.046526,0.220016,0.299105,-0.054883,0.145369,0.451319,-0.021906,0.154932,0.376778,-0.037300,0.158408,0.329789,-0.048045,0.161171,0.287837,-0.054919,0.111391,0.458403,-0.025832,0.106661,0.398864,-0.041316,0.103529,0.359599,-0.049058,0.102514,0.322084,-0.053146
750,0,0.102890,0.083038,0.124186,1.304236,0.453084,0.105214,0.632810,0.000000,0.162679,0.636745,-0.028579,0.214919,0.612438,-0.041366,0.253966,0.577148,-0.051761,0.289037,0.552701,-0.061179,0.202238,0.488932,-0.021951,0.236031,0.431208,-0.037671,0.253650,0.392633,-0.050494,0.266032,0.356460,-0.060165,0.174382,0.459342,-0.019886,0.199897,0.384549,-0.034049,0.211688,0.336721,-0.045966,0.217298,0.294839,-0.054406,0.142772,0.449949,-0.021262,0.152300,0.375359,-0.036856,0.155923,0.327416,-0.047777,0.158504,0.284533,-0.054623,0.108655,0.457431,-0.025337,0.104032,0.397124,-0.040931,0.100722,0.357575,-0.048646,0.099535,0.319772,-0.052667
796,0,0.039603,0.029562,0.089234,1.336672,0.467562,0.105034,0.632116,0.000000,0.162700,0.636563,-0.028331,0.214483,0.612050,-0.041041,0.253136,0.576139,-0.051528,0.287785,0.550765,-0.060960,0.202317,0.487444,-0.021431,0.235751,0.429761,-0.037199,0.252829,0.391202,-0.050072,0.265153,0.355224,-0.059868,0.173657,0.458149,-0.019537,0.198537,0.383004,-0.033885,0.210454,0.335607,-0.046139,0.216626,0.293564,-0.054951,0.141804,0.449159,-0.021103,0.151119,0.375165,-0.036835,0.155289,0.327929,-0.047996,0.158682,0.284900,-0.055134,0.107519,0.456960,-0.025327,0.102950,0.396806,-0.041077,0.099926,0.357191,-0.048943,0.099321,0.318965,-0.053203
843,0,0.039210,0.035592,0.051332,1.341895,0.488392,0.105384,0.632506,0.000000,0.163075,0.636326,-0.027825,0.215522,0.611725,-0.040135,0.254136,0.575485,-0.050223,0.288404,0.550067,-0.059328,0.202761,0.486808,-0.020777,0.236177,0.429936,-0.036292,0.253609,0.391793,-0.049130,0.266062,0.356177,-0.058927,0.174073,0.457513,-0.019029,0.199106,0.382670,-0.033051,0.210859,0.335626,-0.045233,0.216841,0.294068,-0.054047,0.142247,0.448540,-0.020705,0.152080,0.375007,-0.036219,0.156580,0.328249,-0.047418,0.160053,0.285693,-0.054630,0.107775,0.456362,-0.024984,0.103411,0.395960,-0.040644,0.100437,0.356292,-0.048511,0.099726,0.318065,-0.052772
891,0,0.057237,0.056954,0.051083,1.298689,0.443901,0.106111,0.631752,0.000000,0.163449,0.635409,-0.028634,0.215266,0.611128,-0.041783,0.253619,0.574809,-0.052521,0.288413,0.549382,-0.062272,0.203201,0.486899,-0.022334,0.236515,0.430049,-0.038532,0.254200,0.391761,-0.051754,0.266717,0.355803,-0.061834,0.174599,0.457396,-0.020471,0.199741,0.382556,-0.035135,0.211457,0.335347,-0.047590,0.217757,0.293737,-0.056575,0.142828,0.448419,-0.022097,0.152625,0.374861,-0.038130,0.157088,0.328238,-0.049453,0.160740,0.285629,-0.056721,0.108324,0.456219,-0.026370,0.103801,0.395794,-0.042477,0.100810,0.356058,-0.050512,0.100095,0.317586,-0.054895
937,0,0.036011,0.012334,0.028332,1.331258,0.449279,0.105885,0.630675,0.000000,0.163306,0.634153,-0.028534,0.215440,0.609553,-0.041689,0.253402,0.573464,-0.052439,0.287920,0.547967,-0.062242,0.203069,0.485861,-0.022503,0.236133,0.428315,-0.038774,0.253585,0.389976,-0.051965,0.265879,0.353959,-0.061987,0.174383,0.456473,-0.020644,0.199237,0.381458,-0.035348,0.210968,0.334292,-0.047738,0.217267,0.292778,-0.056630,0.142534,0.447215,-0.022211,0.152071,0.373819,-0.038118,0.156751,0.327101,-0.049305,0.160483,0.284732,-0.056484,0.108161,0.454841,-0.026438,0.103556,0.394825,-0.042308,0.100426,0.355240,-0.050180,0.099618,0.316955,-0.054443
987,0,0.068314,0.049913,0.082159,1.399572,0.498065,0.105497,0.630187,0.000000,0.162275,0.632893,-0.028317,0.213670,0.607461,-0.041411,0.252137,0.571421,-0.052155,0.286996,0.546377,-0.061916,0.201633,0.484054,-0.022016,0.234955,0.426212,-0.038133,0.252280,0.387547,-0.051244,0.264627,0.351417,-0.061151,0.172961,0.455023,-0.020250,0.197977,0.379646,-0.034746,0.209922,0.332309,-0.047019,0.216284,0.290335,-0.055833,0.141282,0.446045,-0.021925,0.150777,0.372482,-0.037550,0.155310,0.325508,-0.048513,0.158821,0.282739,-0.055578,0.107181,0.454014,-0.026259,0.102742,0.394140,-0.041848,0.099675,0.354440,-0.049496,0.098818,0.316313,-0.053648
