t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
37,0,,,,0.000000,0.000000,0.182704,0.648423,0.000000,0.242868,0.645077,-0.032844,0.297379,0.608312,-0.047637,0.334548,0.559197,-0.059376,0.368433,0.519042,-0.070230,0.275627,0.475471,-0.026572,0.306617,0.405610,-0.045828,0.321087,0.357630,-0.061185,0.330668,0.313853,-0.072602,0.242289,0.448169,-0.024040,0.265841,0.361695,-0.041607,0.276351,0.306203,-0.056602,0.281194,0.258379,-0.067376,0.207814,0.442837,-0.025326,0.216928,0.359099,-0.043336,0.222460,0.305818,-0.056080,0.227064,0.257865,-0.064481,0.171459,0.454627,-0.029668,0.171465,0.387804,-0.046914,0.172232,0.343791,-0.055718,0.174759,0.301748,-0.060823
68,0,0.026851,0.016883,0.039709,0.026851,0.016883,0.182993,0.648728,0.000000,0.242963,0.646017,-0.032743,0.297617,0.609699,-0.047477,0.335072,0.560554,-0.059175,0.368909,0.520558,-0.069949,0.275771,0.476252,-0.026854,0.307048,0.406362,-0.046029,0.321590,0.358143,-0.061265,0.331314,0.314351,-0.072602,0.242649,0.448697,-0.024241,0.266346,0.361746,-0.041648,0.276951,0.306398,-0.056401,0.281828,0.258917,-0.066934,0.208223,0.443206,-0.025387,0.217169,0.359562,-0.043135,0.222893,0.306107,-0.055637,0.227234,0.258105,-0.063878,0.172202,0.454808,-0.029587,0.172209,0.387984,-0.046512,0.172927,0.344130,-0.054994,0.175286,0.302182,-0.059939
99,0,0.036264,0.029608,0.024590,0.061228,0.042528,0.183339,0.648692,0.000000,0.243496,0.646093,-0.032236,0.298226,0.609779,-0.046684,0.335697,0.560770,-0.058194,0.369302,0.520786,-0.068859,0.276630,0.476838,-0.026018,0.307735,0.406767,-0.044953,0.322243,0.358745,-0.060045,0.331949,0.315071,-0.071274,0.243364,0.449161,-0.023604,0.267128,0.362133,-0.040848,0.277746,0.306812,-0.055538,0.282913,0.259333,-0.066082,0.208951,0.443476,-0.024972,0.217897,0.359906,-0.042579,0.223652,0.306397,-0.055055,0.228235,0.258555,-0.063265,0.172647,0.454932,-0.029298,0.172852,0.387940,-0.046080,0.173771,0.344135,-0.054451,0.176282,0.302399,-0.059321
129,0,0.025621,0.027485,0.035429,0.076120,0.058908,0.183188,0.648759,0.000000,0.243748,0.645918,-0.032015,0.298870,0.609679,-0.046374,0.336627,0.561152,-0.057837,0.369974,0.521527,-0.068455,0.276774,0.477193,-0.026123,0.308248,0.407048,-0.045087,0.322890,0.359041,-0.060169,0.332673,0.315515,-0.071391,0.243548,0.449546,-0.023830,0.267581,0.362900,-0.041145,0.278163,0.307291,-0.055946,0.283132,0.259971,-0.066524,0.209121,0.443874,-0.025238,0.218700,0.359890,-0.042915,0.224846,0.306490,-0.055383,0.229494,0.258856,-0.063628,0.172811,0.455164,-0.029602,0.173527,0.388219,-0.046495,0.174720,0.344351,-0.054981,0.177403,0.302876,-0.059848
161,0,0.042395,0.036703,0.042567,0.093185,0.045802,0.184078,0.649398,0.000000,0.243959,0.646049,-0.032139,0.298846,0.609900,-0.046802,0.336501,0.562029,-0.058573,0.370407,0.522663,-0.069501,0.277445,0.477917,-0.026575,0.308914,0.408273,-0.045878,0.323745,0.360434,-0.061225,0.333884,0.316964,-0.072594,0.244239,0.449969,-0.024506,0.268096,0.363147,-0.042142,0.278768,0.307637,-0.057007,0.284023,0.260176,-0.067612,0.209576,0.444218,-0.026153,0.218991,0.360008,-0.044111,0.224871,0.306493,-0.056645,0.229868,0.258520,-0.064921,0.173139,0.455852,-0.030793,0.173800,0.388888,-0.047847,0.175013,0.345042,-0.056324,0.178070,0.303326,-0.061225
211,0,0.025610,0.038154,0.047620,0.081579,0.064846,0.183220,0.648704,0.000000,0.243845,0.645598,-0.032439,0.299190,0.609554,-0.047112,0.336564,0.561432,-0.058849,0.370533,0.521642,-0.069703,0.277406,0.477256,-0.026309,0.309153,0.407690,-0.045423,0.323973,0.360089,-0.060618,0.333890,0.316662,-0.071873,0.244260,0.449439,-0.023978,0.268438,0.362927,-0.041444,0.279016,0.307437,-0.056357,0.283909,0.260003,-0.067009,0.209687,0.443835,-0.025405,0.219062,0.359776,-0.043333,0.224704,0.306309,-0.055995,0.229326,0.258402,-0.064316,0.173057,0.455276,-0.029827,0.173982,0.388467,-0.046830,0.175432,0.344755,-0.055352,0.178647,0.303216,-0.060296
242,0,0.014426,0.015674,0.056625,0.079996,0.068822,0.183419,0.648221,0.000000,0.244204,0.645625,-0.032596,0.299348,0.609391,-0.047134,0.336424,0.560490,-0.058676,0.370099,0.520667,-0.069293,0.277428,0.477240,-0.026583,0.309122,0.407676,-0.045726,0.324102,0.359859,-0.060848,0.334203,0.316485,-0.072109,0.244164,0.449416,-0.024050,0.268237,0.362777,-0.041624,0.279118,0.307564,-0.056424,0.284472,0.260198,-0.067001,0.209717,0.443621,-0.025296,0.219088,0.359394,-0.043394,0.224978,0.305864,-0.056022,0.230088,0.257943,-0.064307,0.173567,0.455287,-0.029539,0.174481,0.388480,-0.046812,0.175876,0.344627,-0.055539,0.179230,0.302980,-0.060607
275,0,0.009496,0.011177,0.034030,0.080681,0.074763,0.183380,0.647976,0.000000,0.243825,0.645203,-0.032562,0.298762,0.609300,-0.047216,0.336278,0.560557,-0.058820,0.370214,0.520588,-0.069540,0.277272,0.477268,-0.026639,0.309237,0.407993,-0.045771,0.324289,0.360309,-0.060867,0.334402,0.316840,-0.072109,0.244150,0.449202,-0.024170,0.268261,0.362754,-0.041716,0.279173,0.307386,-0.056531,0.284440,0.259831,-0.067090,0.209708,0.443603,-0.025475,0.219074,0.359350,-0.043482,0.225048,0.305971,-0.056089,0.229965,0.257756,-0.064400,0.173554,0.455055,-0.029731,0.174614,0.388457,-0.046895,0.176234,0.344999,-0.055447,0.179790,0.303359,-0.060466
304,0,0.019494,0.022126,0.064214,0.085066,0.091038,0.183065,0.647578,0.000000,0.243595,0.644889,-0.032684,0.299217,0.609417,-0.047270,0.336245,0.560447,-0.058746,0.370119,0.520668,-0.069420,0.277286,0.477190,-0.026283,0.309293,0.407803,-0.045344,0.324368,0.360071,-0.060472,0.334482,0.316630,-0.071748,0.244304,0.449196,-0.023655,0.268534,0.362869,-0.041090,0.279167,0.307100,-0.056058,0.284201,0.259441,-0.066772,0.209814,0.443367,-0.024819,0.219425,0.359296,-0.042776,0.225241,0.305579,-0.055616,0.229851,0.257498,-0.064083,0.173659,0.454421,-0.028972,0.174828,0.387544,-0.046106,0.176156,0.343946,-0.054774,0.179238,0.302528,-0.059830
339,0,0.014268,0.018336,0.048789,0.083151,0.081918,0.183048,0.648088,0.000000,0.243765,0.645399,-0.032383,0.298825,0.609463,-0.046880,0.336043,0.560359,-0.058390,0.370224,0.520876,-0.069057,0.277497,0.477202,-0.026227,0.309340,0.407632,-0.045276,0.324422,0.359846,-0.060395,0.334655,0.316393,-0.071664,0.244314,0.449116,-0.023821,0.268255,0.362675,-0.041266,0.278935,0.307220,-0.056144,0.284337,0.259665,-0.066812,0.209927,0.443373,-0.025205,0.219439,0.359418,-0.043151,0.225375,0.305757,-0.055904,0.230354,0.257779,-0.064325,0.173669,0.454588,-0.029536,0.174941,0.387915,-0.046760,0.176478,0.344224,-0.055462,0.179771,0.302910,-0.060555
369,0,0.012192,0.014017,0.043729,0.087968,0.091511,0.183020,0.647849,0.000000,0.243957,0.645189,-0.032638,0.298762,0.609346,-0.047160,0.336214,0.560430,-0.058609,0.370204,0.520729,-0.069214,0.277495,0.477323,-0.026352,0.309438,0.407843,-0.045272,0.324531,0.359968,-0.060296,0.334743,0.316516,-0.071423,0.244366,0.449274,-0.023701,0.268271,0.362832,-0.041074,0.279238,0.307254,-0.055837,0.284598,0.259734,-0.066402,0.209851,0.443316,-0.024845,0.219303,0.359372,-0.042741,0.225302,0.305843,-0.055475,0.230368,0.257926,-0.063831,0.173703,0.454478,-0.029003,0.174779,0.387592,-0.046116,0.176197,0.343952,-0.054873,0.179617,0.302363,-0.059934
400,0,0.016663,0.014980,0.043839,0.077691,0.083711,0.182856,0.647906,0.000000,0.243588,0.644867,-0.032521,0.298590,0.609256,-0.047187,0.335693,0.560619,-0.058823,0.369719,0.520842,-0.069617,0.277596,0.477268,-0.026342,0.309428,0.407836,-0.045462,0.324364,0.360123,-0.060709,0.334498,0.316585,-0.072064,0.244354,0.449306,-0.023914,0.268521,0.363121,-0.041449,0.279249,0.307564,-0.056456,0.284394,0.259971,-0.067209,0.209831,0.443475,-0.025299,0.219324,0.359637,-0.043335,0.225256,0.306029,-0.056095,0.230109,0.258039,-0.064521,0.173382,0.454767,-0.029672,0.174370,0.387701,-0.046906,0.175981,0.344020,-0.055573,0.179363,0.302449,-0.060589
433,0,0.017200,0.031726,0.071435,0.084261,0.075296,0.183705,0.647789,0.000000,0.244239,0.645464,-0.032340,0.298557,0.609529,-0.046865,0.335933,0.561077,-0.058501,0.369752,0.521213,-0.069335,0.277241,0.477091,-0.026362,0.308957,0.407794,-0.045501,0.324192,0.360156,-0.060668,0.334739,0.316755,-0.071983,0.244139,0.449151,-0.023994,0.267917,0.363116,-0.041609,0.278662,0.307653,-0.056535,0.284168,0.259925,-0.067288,0.209640,0.443655,-0.025419,0.219147,0.359988,-0.043535,0.225094,0.306469,-0.056294,0.230177,0.258316,-0.064761,0.173605,0.455321,-0.029792,0.174495,0.388731,-0.047266,0.175844,0.344886,-0.056134,0.178987,0.303075,-0.061310
