t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
35,0,,,,0.000000,0.000000,0.202090,0.799507,0.000000,0.266398,0.786105,-0.028989,0.322192,0.736581,-0.040998,0.361858,0.683791,-0.050681,0.394405,0.645158,-0.059863,0.283795,0.615531,-0.025541,0.318188,0.545353,-0.043424,0.336721,0.499913,-0.056936,0.349379,0.459309,-0.066760,0.246136,0.592810,-0.024599,0.264668,0.504142,-0.040557,0.275002,0.448549,-0.052887,0.279810,0.400469,-0.061467,0.208926,0.593616,-0.027265,0.203887,0.510008,-0.044667,0.201838,0.456623,-0.057057,0.200996,0.408700,-0.064996,0.173256,0.614810,-0.032658,0.153466,0.552717,-0.050481,0.142175,0.511589,-0.059422,0.134646,0.470681,-0.064314
72,0,0.017705,0.024734,0.051053,0.017705,0.024734,0.202133,0.798953,0.000000,0.266248,0.786180,-0.029142,0.322366,0.736727,-0.041064,0.361917,0.683476,-0.050577,0.394512,0.644817,-0.059569,0.283768,0.615802,-0.025429,0.318133,0.545353,-0.043071,0.336893,0.500215,-0.056317,0.349506,0.459902,-0.065951,0.246074,0.593036,-0.024245,0.264690,0.504115,-0.040040,0.274998,0.448712,-0.052263,0.279558,0.401191,-0.060733,0.208946,0.593871,-0.026653,0.203963,0.510002,-0.043994,0.201750,0.456755,-0.056397,0.200850,0.409107,-0.064345,0.173338,0.614575,-0.031791,0.153545,0.552403,-0.049654,0.142218,0.511387,-0.058726,0.134693,0.470430,-0.063703
105,0,0.027898,0.032539,0.045112,0.024739,0.037264,0.201868,0.798635,0.000000,0.266620,0.786226,-0.029694,0.322666,0.736902,-0.041916,0.361720,0.683416,-0.051694,0.394350,0.644520,-0.060951,0.283624,0.616284,-0.026248,0.318037,0.545653,-0.044281,0.336594,0.500264,-0.057785,0.349294,0.459619,-0.067603,0.246163,0.593409,-0.024905,0.264789,0.504653,-0.041035,0.275001,0.449221,-0.053538,0.279483,0.400990,-0.062274,0.209047,0.593836,-0.027150,0.204357,0.510201,-0.044762,0.202191,0.456959,-0.057264,0.201006,0.409269,-0.065239,0.173120,0.614332,-0.032159,0.153708,0.552016,-0.050131,0.142480,0.511084,-0.059228,0.134889,0.470329,-0.064197
137,0,0.020343,0.031662,0.059517,0.023405,0.032595,0.202982,0.798862,0.000000,0.266776,0.785668,-0.029367,0.322304,0.736461,-0.041582,0.361549,0.683659,-0.051418,0.394256,0.644640,-0.060694,0.284032,0.615796,-0.025929,0.318312,0.545725,-0.043821,0.337128,0.500765,-0.057295,0.349881,0.460257,-0.067131,0.246506,0.593118,-0.024849,0.264986,0.504695,-0.040822,0.275376,0.449016,-0.053257,0.279999,0.400664,-0.061893,0.209241,0.593854,-0.027348,0.204679,0.510015,-0.044861,0.202574,0.456510,-0.057375,0.201756,0.408319,-0.065412,0.173527,0.614600,-0.032606,0.153817,0.552349,-0.050618,0.142488,0.511209,-0.059694,0.134884,0.470120,-0.064692
173,0,0.026664,0.045184,0.044100,0.042205,0.058264,0.202698,0.797474,0.000000,0.266560,0.784942,-0.029832,0.322766,0.736059,-0.042161,0.362228,0.683348,-0.051992,0.394967,0.644367,-0.061263,0.284454,0.615552,-0.026655,0.318513,0.545476,-0.044719,0.337168,0.500236,-0.058266,0.350291,0.459599,-0.068177,0.246801,0.592787,-0.025396,0.265344,0.504088,-0.041362,0.275919,0.448879,-0.053590,0.280952,0.400756,-0.062102,0.209506,0.593422,-0.027794,0.205249,0.509734,-0.045278,0.203432,0.456381,-0.057627,0.202757,0.408175,-0.065499,0.173897,0.614421,-0.032969,0.154072,0.552044,-0.050993,0.142577,0.511008,-0.059944,0.134904,0.469856,-0.064820
205,0,0.020045,0.022886,0.035700,0.054226,0.058688,0.202593,0.797574,0.000000,0.267099,0.784715,-0.029482,0.322907,0.736107,-0.041769,0.362539,0.683594,-0.051623,0.395408,0.644741,-0.060959,0.284476,0.615468,-0.026490,0.319467,0.545498,-0.044562,0.338300,0.500301,-0.058086,0.351294,0.459809,-0.067860,0.246976,0.592485,-0.025373,0.266268,0.503885,-0.041331,0.277231,0.448566,-0.053538,0.282424,0.400642,-0.061996,0.209621,0.592816,-0.027826,0.205606,0.509032,-0.045320,0.204017,0.455676,-0.057647,0.203560,0.408006,-0.065507,0.173797,0.613813,-0.033033,0.154087,0.551522,-0.050985,0.142771,0.510479,-0.059921,0.135136,0.469648,-0.064709
239,0,0.031150,0.023374,0.057459,0.068921,0.062226,0.203176,0.797236,0.000000,0.267443,0.784975,-0.029428,0.323332,0.736648,-0.041623,0.363294,0.684322,-0.051338,0.395732,0.645388,-0.060495,0.284926,0.615535,-0.026429,0.320419,0.546132,-0.044381,0.339622,0.500707,-0.057736,0.352897,0.460318,-0.067412,0.247185,0.592035,-0.025169,0.266747,0.503683,-0.041063,0.278100,0.448562,-0.053018,0.283873,0.401107,-0.061214,0.209905,0.592210,-0.027508,0.205983,0.508612,-0.044901,0.204913,0.455330,-0.057096,0.205117,0.407714,-0.064893,0.174430,0.613034,-0.032586,0.154446,0.551189,-0.050539,0.143130,0.510042,-0.059535,0.135723,0.469021,-0.064413
270,0,0.031587,0.029413,0.048400,0.085438,0.070027,0.203351,0.797447,0.000000,0.268251,0.784949,-0.029112,0.324042,0.736510,-0.041120,0.364119,0.684375,-0.050751,0.396687,0.646883,-0.059742,0.285526,0.615394,-0.026255,0.321712,0.545905,-0.043998,0.341104,0.500472,-0.057105,0.354543,0.460251,-0.066656,0.247895,0.592049,-0.025036,0.267801,0.503351,-0.040641,0.279494,0.448132,-0.052309,0.285539,0.400956,-0.060382,0.210636,0.592316,-0.027374,0.206551,0.508397,-0.044597,0.205548,0.455114,-0.056785,0.205736,0.407899,-0.064498,0.175050,0.613330,-0.032429,0.154967,0.551381,-0.050271,0.143636,0.510121,-0.059223,0.136104,0.469468,-0.064058
302,0,0.046330,0.045916,0.053320,0.116523,0.103241,0.203280,0.797562,0.000001,0.267896,0.785082,-0.029614,0.323726,0.737706,-0.042276,0.364163,0.686169,-0.052375,0.397011,0.648207,-0.061912,0.285364,0.616107,-0.027309,0.321764,0.546727,-0.045723,0.341517,0.501504,-0.059347,0.355344,0.461239,-0.069205,0.247999,0.592322,-0.025987,0.268446,0.503929,-0.041996,0.280217,0.448929,-0.053978,0.286504,0.401695,-0.062273,0.210832,0.592168,-0.028191,0.207052,0.508590,-0.045562,0.206070,0.455565,-0.057664,0.206409,0.408597,-0.065398,0.175016,0.612892,-0.033180,0.155219,0.550955,-0.050892,0.144155,0.509799,-0.059628,0.136899,0.469266,-0.064316
335,0,0.024189,0.017253,0.052655,0.126606,0.113639,0.203638,0.797847,0.000000,0.267589,0.785922,-0.029557,0.323253,0.738224,-0.042253,0.364234,0.686803,-0.052505,0.397094,0.648907,-0.062117,0.285816,0.616607,-0.027494,0.322322,0.546988,-0.045937,0.342100,0.501818,-0.059594,0.355986,0.461430,-0.069447,0.248367,0.592735,-0.026353,0.268576,0.503945,-0.042373,0.280383,0.448992,-0.054148,0.286721,0.401711,-0.062238,0.211148,0.592858,-0.028776,0.207422,0.508782,-0.046138,0.206500,0.455703,-0.058032,0.206930,0.408516,-0.065562,0.175508,0.613947,-0.033962,0.155746,0.551829,-0.051704,0.144658,0.510657,-0.060315,0.137253,0.470062,-0.064921
