t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
51,0,,,,0.000000,0.000000,0.165180,0.825848,0.000000,0.238270,0.816239,-0.033813,0.305235,0.767064,-0.046312,0.349072,0.707057,-0.055872,0.386915,0.660109,-0.064361,0.274539,0.619380,-0.018923,0.308452,0.535156,-0.035725,0.323339,0.479947,-0.050975,0.334177,0.431010,-0.062448,0.236312,0.592672,-0.015880,0.262764,0.493989,-0.030128,0.275669,0.431117,-0.045099,0.283545,0.378714,-0.056246,0.197491,0.588682,-0.017314,0.213585,0.495263,-0.032693,0.224463,0.438918,-0.044936,0.233584,0.389787,-0.053307,0.155300,0.601784,-0.022223,0.160680,0.528295,-0.037847,0.165562,0.480592,-0.045472,0.171654,0.435496,-0.049716
85,0,0.039413,0.025640,0.046440,0.039413,0.025640,0.165638,0.824982,0.000000,0.238696,0.815536,-0.033793,0.305337,0.767636,-0.046401,0.349554,0.707728,-0.056026,0.387764,0.660858,-0.064509,0.275376,0.618764,-0.018889,0.309372,0.534662,-0.035447,0.323955,0.479641,-0.050572,0.334405,0.430619,-0.061992,0.237400,0.591883,-0.015813,0.264093,0.493391,-0.029784,0.276625,0.430447,-0.044700,0.284127,0.378444,-0.055839,0.198526,0.587551,-0.017199,0.214723,0.494222,-0.032371,0.225577,0.438209,-0.044653,0.234443,0.389601,-0.053043,0.156459,0.600187,-0.022047,0.161569,0.526341,-0.037452,0.166311,0.478784,-0.044979,0.172339,0.434094,-0.049174
122,0,0.036061,0.047146,0.038616,0.067437,0.067311,0.164978,0.824786,0.000000,0.239310,0.815859,-0.033297,0.306432,0.767085,-0.045352,0.350247,0.707005,-0.054562,0.388185,0.660469,-0.062676,0.275853,0.618374,-0.017838,0.309928,0.534726,-0.034253,0.324715,0.479992,-0.049386,0.335353,0.431245,-0.060811,0.237719,0.591443,-0.014935,0.264713,0.493263,-0.028820,0.277356,0.430426,-0.043696,0.284625,0.378501,-0.054795,0.198777,0.587147,-0.016532,0.214847,0.493862,-0.031595,0.225492,0.437891,-0.043743,0.234183,0.389674,-0.051997,0.156466,0.599737,-0.021568,0.161953,0.526210,-0.036888,0.166866,0.478686,-0.044326,0.172992,0.433997,-0.048453
161,0,0.049798,0.045404,0.057077,0.049446,0.042928,0.165461,0.825666,0.000000,0.238683,0.816038,-0.034284,0.305846,0.768335,-0.046942,0.349881,0.708615,-0.056610,0.388216,0.661689,-0.065111,0.275656,0.618939,-0.018975,0.310489,0.535602,-0.035849,0.325627,0.480951,-0.051192,0.336451,0.432193,-0.062683,0.237635,0.591991,-0.015787,0.264876,0.493745,-0.030057,0.277531,0.431084,-0.045003,0.284998,0.379612,-0.056190,0.198726,0.587709,-0.017200,0.214949,0.494481,-0.032719,0.225667,0.438410,-0.045050,0.234344,0.390276,-0.053434,0.156542,0.600842,-0.022140,0.161938,0.526815,-0.037880,0.166533,0.478751,-0.045611,0.172411,0.433796,-0.049884
196,0,0.044172,0.043551,0.067325,0.079283,0.073982,0.165393,0.825368,0.000000,0.238955,0.816444,-0.033020,0.305878,0.767882,-0.045078,0.350396,0.708049,-0.054356,0.388678,0.661809,-0.062441,0.276170,0.618812,-0.017830,0.310868,0.535081,-0.034025,0.325679,0.480433,-0.048888,0.336298,0.431871,-0.060151,0.238252,0.591915,-0.015038,0.265533,0.493638,-0.028744,0.278064,0.430788,-0.043466,0.285280,0.379127,-0.054496,0.199424,0.587440,-0.016697,0.215497,0.494341,-0.031641,0.226129,0.438539,-0.043770,0.234601,0.390611,-0.052112,0.157066,0.599806,-0.021768,0.162159,0.526077,-0.036993,0.166851,0.478301,-0.044494,0.172708,0.433774,-0.048701
228,0,0.023858,0.027212,0.031721,0.066911,0.071255,0.165013,0.825326,0.000000,0.238890,0.816464,-0.033621,0.305977,0.768202,-0.045755,0.350463,0.708216,-0.055037,0.388673,0.661799,-0.063220,0.275934,0.619155,-0.018178,0.310643,0.536284,-0.034790,0.325835,0.481484,-0.050034,0.336738,0.432491,-0.061631,0.238267,0.591955,-0.015186,0.265515,0.494235,-0.029342,0.277919,0.431351,-0.044399,0.285091,0.379268,-0.055739,0.199432,0.587290,-0.016717,0.215236,0.494357,-0.032242,0.225750,0.438423,-0.044680,0.234277,0.390251,-0.053214,0.157099,0.599720,-0.021732,0.162061,0.526006,-0.037479,0.166816,0.478190,-0.045311,0.172660,0.433592,-0.049753
261,0,0.038346,0.041705,0.056827,0.052365,0.053017,0.165104,0.825551,0.000000,0.238337,0.816120,-0.033302,0.305373,0.767186,-0.045493,0.349772,0.707742,-0.054834,0.387784,0.661131,-0.063148,0.275450,0.618603,-0.018776,0.310466,0.535179,-0.035427,0.325490,0.480676,-0.050537,0.336417,0.431857,-0.062027,0.237353,0.591921,-0.016009,0.264545,0.493855,-0.030243,0.277266,0.431322,-0.045096,0.284810,0.379872,-0.056282,0.198668,0.587874,-0.017714,0.214619,0.494458,-0.033349,0.225372,0.438064,-0.045843,0.234465,0.389391,-0.054414,0.156603,0.600971,-0.022840,0.161914,0.527067,-0.038930,0.166572,0.478794,-0.047034,0.172566,0.433450,-0.051658
296,0,0.038950,0.044280,0.043524,0.061641,0.069146,0.164515,0.824095,0.000000,0.237766,0.815101,-0.033516,0.305232,0.766948,-0.045637,0.349486,0.707041,-0.054886,0.387499,0.660713,-0.063014,0.275435,0.618035,-0.018521,0.310186,0.534832,-0.035010,0.325189,0.480216,-0.050028,0.335998,0.431678,-0.061332,0.237750,0.591005,-0.015543,0.264879,0.492919,-0.029475,0.277579,0.430195,-0.044166,0.285054,0.378863,-0.055166,0.198946,0.586491,-0.017061,0.215009,0.493646,-0.032254,0.225589,0.437625,-0.044493,0.234259,0.389182,-0.052924,0.156821,0.599144,-0.022048,0.162174,0.525800,-0.037486,0.166638,0.478345,-0.045147,0.172254,0.433917,-0.049468
332,0,0.020971,0.030368,0.052776,0.063959,0.063086,0.164878,0.824476,0.000000,0.238920,0.815109,-0.033326,0.305736,0.766944,-0.045446,0.349388,0.706870,-0.054788,0.387630,0.660619,-0.063008,0.275367,0.617847,-0.017959,0.310291,0.534808,-0.034493,0.325273,0.480495,-0.049697,0.336077,0.431603,-0.061233,0.237591,0.590672,-0.015098,0.264716,0.493432,-0.029262,0.277151,0.430840,-0.044279,0.284524,0.378962,-0.055535,0.198691,0.586265,-0.016768,0.214356,0.493328,-0.032345,0.224902,0.437135,-0.044886,0.233763,0.388219,-0.053433,0.156601,0.598895,-0.021859,0.161681,0.525281,-0.037786,0.166372,0.477455,-0.045750,0.172342,0.432742,-0.050257
367,0,0.037752,0.052585,0.066609,0.053082,0.068638,0.165044,0.823445,0.000000,0.238612,0.814387,-0.033431,0.305386,0.766472,-0.045772,0.349378,0.706561,-0.055291,0.387456,0.660174,-0.063736,0.275902,0.618821,-0.018873,0.310152,0.535468,-0.035764,0.325116,0.480681,-0.050951,0.336081,0.431852,-0.062476,0.237818,0.591702,-0.016097,0.264608,0.493544,-0.030538,0.277310,0.430563,-0.045516,0.285093,0.378478,-0.056690,0.198809,0.587408,-0.017777,0.214460,0.494205,-0.033408,0.224929,0.437745,-0.045749,0.233953,0.388901,-0.054171,0.156602,0.600334,-0.022898,0.161614,0.526850,-0.038773,0.166367,0.478946,-0.046612,0.172521,0.433779,-0.051045
