t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
44,0,,,,0.000000,0.000000,0.109935,0.630240,0.000000,0.162201,0.639550,-0.031501,0.208792,0.622288,-0.046692,0.245219,0.591654,-0.058797,0.278345,0.566875,-0.069783,0.197195,0.499437,-0.028398,0.224688,0.442717,-0.045132,0.239053,0.404894,-0.058085,0.249519,0.369479,-0.067850,0.172180,0.468411,-0.024533,0.194256,0.395934,-0.039401,0.204747,0.350230,-0.050964,0.210327,0.309494,-0.059272,0.143436,0.457336,-0.024041,0.150411,0.385189,-0.040385,0.151669,0.340184,-0.051439,0.152131,0.299200,-0.058322,0.112573,0.462767,-0.026296,0.106901,0.403966,-0.042419,0.102038,0.366513,-0.050625,0.098802,0.330532,-0.055101
92,0,0.061251,0.071200,0.105124,0.061251,0.071200,0.110193,0.630550,0.000000,0.162199,0.639886,-0.032426,0.208724,0.621223,-0.047798,0.245297,0.589759,-0.059892,0.278385,0.564699,-0.070864,0.196510,0.498808,-0.028978,0.222959,0.441184,-0.045929,0.236357,0.402522,-0.059178,0.246105,0.365982,-0.069234,0.171278,0.467706,-0.024714,0.191806,0.393871,-0.039781,0.201724,0.347805,-0.051501,0.207322,0.306828,-0.059926,0.142533,0.456882,-0.023899,0.149279,0.384748,-0.040460,0.150330,0.340038,-0.051365,0.150676,0.299170,-0.058125,0.112121,0.462553,-0.025971,0.106300,0.403750,-0.042260,0.101231,0.366229,-0.050414,0.097798,0.330009,-0.054864
154,0,0.070657,0.094660,0.117402,0.126912,0.163198,0.110933,0.631182,0.000000,0.162337,0.639653,-0.032767,0.208435,0.619427,-0.048273,0.244558,0.587545,-0.060495,0.277579,0.561870,-0.071627,0.196263,0.497578,-0.029430,0.221322,0.438634,-0.046673,0.233954,0.399127,-0.060188,0.243431,0.361799,-0.070401,0.170409,0.466676,-0.025107,0.188926,0.391885,-0.040375,0.198231,0.345721,-0.052120,0.203636,0.304652,-0.060597,0.141621,0.456272,-0.024290,0.147702,0.383964,-0.040886,0.148423,0.339473,-0.051610,0.148638,0.298713,-0.058282,0.111576,0.462617,-0.026435,0.105845,0.403808,-0.042792,0.100438,0.366567,-0.050827,0.096438,0.330445,-0.055218
201,0,0.071987,0.063490,0.051654,0.197342,0.225770,0.110782,0.630889,0.000000,0.162043,0.638223,-0.032775,0.207597,0.617511,-0.048541,0.243335,0.585181,-0.061085,0.276272,0.558470,-0.072607,0.194919,0.495929,-0.029810,0.219588,0.436251,-0.047416,0.232042,0.396524,-0.061085,0.241140,0.358650,-0.071448,0.169395,0.465592,-0.025668,0.187983,0.390425,-0.041246,0.197012,0.343835,-0.053279,0.202054,0.302453,-0.062006,0.140904,0.455837,-0.025003,0.146723,0.382998,-0.041894,0.147223,0.338113,-0.052870,0.147010,0.296974,-0.059756,0.110937,0.462617,-0.027270,0.105266,0.403641,-0.043871,0.099999,0.366158,-0.052188,0.096007,0.329997,-0.056756
248,0,0.076590,0.078471,0.079369,0.223234,0.254616,0.111228,0.630657,0.000000,0.162758,0.637215,-0.031819,0.208404,0.615713,-0.046890,0.243304,0.582291,-0.058886,0.275546,0.556225,-0.069857,0.194834,0.493691,-0.028435,0.219020,0.433477,-0.045626,0.230809,0.393462,-0.059126,0.239318,0.355468,-0.069413,0.168975,0.464130,-0.024641,0.186829,0.388518,-0.040089,0.195438,0.341847,-0.052154,0.200133,0.300635,-0.060869,0.140404,0.454841,-0.024283,0.145765,0.381885,-0.041080,0.145953,0.336684,-0.052085,0.145649,0.295699,-0.058955,0.110403,0.462275,-0.026812,0.104229,0.403437,-0.043370,0.098776,0.365782,-0.051709,0.094952,0.329333,-0.056323
294,0,0.030319,0.012954,0.049723,0.246285,0.253199,0.110987,0.629666,0.000000,0.162713,0.636630,-0.031818,0.208549,0.615327,-0.046947,0.242987,0.581688,-0.059009,0.275250,0.555573,-0.070043,0.194588,0.492603,-0.028237,0.218560,0.432669,-0.045405,0.230472,0.392796,-0.058906,0.239062,0.355118,-0.069187,0.168663,0.463059,-0.024450,0.186677,0.387744,-0.039785,0.195230,0.340911,-0.051813,0.199858,0.299693,-0.060517,0.139958,0.454073,-0.024107,0.145253,0.380787,-0.040881,0.145594,0.335582,-0.051950,0.145342,0.294450,-0.058803,0.109920,0.461544,-0.026643,0.103680,0.401860,-0.043280,0.098312,0.364059,-0.051676,0.094484,0.327388,-0.056302
345,0,0.023768,0.025621,0.050223,0.252032,0.276588,0.111252,0.630284,0.000000,0.162848,0.636814,-0.031903,0.208557,0.615748,-0.047264,0.242763,0.581975,-0.059492,0.275090,0.555583,-0.070623,0.194348,0.492977,-0.028633,0.217989,0.433195,-0.045860,0.229829,0.393465,-0.059355,0.238274,0.355805,-0.069664,0.168470,0.463337,-0.024865,0.186790,0.388428,-0.040346,0.195247,0.341811,-0.052333,0.199696,0.300715,-0.061067,0.139776,0.454379,-0.024557,0.145233,0.381252,-0.041510,0.145430,0.336075,-0.052642,0.145087,0.295000,-0.059560,0.109705,0.461677,-0.027074,0.103537,0.401928,-0.043874,0.098201,0.364019,-0.052333,0.094309,0.327340,-0.057026
393,0,0.045366,0.032921,0.041077,0.232378,0.257544,0.110762,0.630753,0.000000,0.162357,0.637013,-0.031206,0.207894,0.615984,-0.046150,0.242385,0.582294,-0.058099,0.274530,0.556009,-0.069020,0.194022,0.493440,-0.027680,0.217769,0.433418,-0.044507,0.229611,0.393638,-0.057757,0.237844,0.355887,-0.067925,0.168074,0.464273,-0.024102,0.186519,0.389678,-0.039235,0.194913,0.343164,-0.051149,0.198961,0.302169,-0.059742,0.139213,0.455212,-0.023914,0.144753,0.382270,-0.040536,0.145115,0.337295,-0.051526,0.144802,0.296331,-0.058407,0.109168,0.462336,-0.026533,0.103120,0.402501,-0.043035,0.097871,0.364595,-0.051354,0.094072,0.328074,-0.055942
439,0,0.024097,0.019765,0.048680,0.231314,0.258041,0.110141,0.631460,0.000000,0.161811,0.637914,-0.031665,0.207554,0.616866,-0.046728,0.241601,0.583062,-0.058718,0.273789,0.556626,-0.069717,0.193416,0.493681,-0.027941,0.217066,0.433773,-0.044918,0.228842,0.393976,-0.058308,0.237236,0.356254,-0.068590,0.167701,0.464468,-0.024201,0.186119,0.389879,-0.039453,0.194454,0.343031,-0.051476,0.198833,0.301963,-0.060221,0.139065,0.455635,-0.023911,0.144606,0.382675,-0.040648,0.145102,0.337539,-0.051818,0.144775,0.296474,-0.058752,0.108990,0.462958,-0.026455,0.103007,0.403087,-0.043108,0.097755,0.365228,-0.051545,0.094045,0.328652,-0.056190
490,0,0.021836,0.025861,0.039390,0.233830,0.258900,0.110230,0.631322,0.000000,0.161619,0.637910,-0.031409,0.207089,0.617260,-0.046489,0.241028,0.583285,-0.058505,0.272949,0.556437,-0.069528,0.193281,0.494303,-0.028123,0.216759,0.433964,-0.045086,0.228311,0.394163,-0.058402,0.236520,0.356307,-0.068570,0.167376,0.465075,-0.024443,0.185672,0.390213,-0.039642,0.193907,0.343665,-0.051521,0.198111,0.302746,-0.060183,0.138728,0.456067,-0.024169,0.144024,0.383091,-0.040772,0.144495,0.337988,-0.051727,0.144162,0.296899,-0.058574,0.108729,0.463311,-0.026702,0.102475,0.403770,-0.043168,0.097183,0.365956,-0.051487,0.093388,0.329560,-0.056040
