t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
38,0,,,,0.000000,0.000000,0.153160,0.718046,0.000000,0.207629,0.722826,-0.025632,0.257914,0.700695,-0.037402,0.297153,0.672629,-0.047353,0.330023,0.654023,-0.056926,0.242889,0.583188,-0.022475,0.277283,0.530885,-0.037539,0.295591,0.495616,-0.049549,0.308456,0.462292,-0.058779,0.214607,0.554721,-0.021480,0.237283,0.483508,-0.034965,0.247910,0.439345,-0.046014,0.252446,0.401046,-0.053975,0.183739,0.546709,-0.023453,0.189131,0.475160,-0.037985,0.191666,0.429888,-0.048485,0.193599,0.388733,-0.055416,0.151292,0.556220,-0.027845,0.142457,0.499934,-0.042514,0.137921,0.462901,-0.049789,0.136075,0.427055,-0.053838
78,0,0.022692,0.022942,0.032047,0.022692,0.022942,0.153593,0.717486,0.000000,0.207665,0.722518,-0.025680,0.258303,0.700533,-0.037568,0.297303,0.672240,-0.047620,0.330142,0.653556,-0.057330,0.243167,0.582950,-0.022935,0.277483,0.530569,-0.038288,0.295765,0.495195,-0.050502,0.308582,0.461844,-0.059800,0.214997,0.554493,-0.021992,0.237473,0.483167,-0.035715,0.247940,0.438918,-0.046900,0.252374,0.400416,-0.054962,0.183927,0.546425,-0.023965,0.189367,0.474809,-0.038666,0.191763,0.429733,-0.049164,0.193638,0.388742,-0.056129,0.151303,0.555881,-0.028373,0.142636,0.499628,-0.043126,0.138196,0.462711,-0.050434,0.136348,0.427073,-0.054482
130,0,0.013278,0.012537,0.034745,0.022935,0.015321,0.153723,0.717559,0.000000,0.207878,0.722657,-0.025879,0.258207,0.700805,-0.037763,0.297295,0.672259,-0.047744,0.330030,0.653186,-0.057348,0.243470,0.582867,-0.022826,0.277827,0.530370,-0.038038,0.296129,0.494941,-0.050111,0.309138,0.461733,-0.059337,0.215113,0.554285,-0.021711,0.237631,0.483176,-0.035362,0.248192,0.439005,-0.046510,0.252748,0.400515,-0.054501,0.184001,0.546349,-0.023563,0.189538,0.474820,-0.038243,0.191958,0.429691,-0.048876,0.193857,0.388647,-0.055839,0.151534,0.555739,-0.027834,0.142821,0.499468,-0.042702,0.138284,0.462495,-0.050145,0.136339,0.426799,-0.054227
174,0,0.011962,0.011936,0.024944,0.026649,0.019891,0.153781,0.717417,0.000000,0.208000,0.722548,-0.025776,0.258289,0.700682,-0.037636,0.297293,0.672265,-0.047645,0.329901,0.653446,-0.057311,0.243426,0.583090,-0.022914,0.277889,0.530872,-0.038184,0.296118,0.495586,-0.050284,0.308813,0.462520,-0.059504,0.215226,0.554479,-0.021886,0.237857,0.483013,-0.035545,0.248325,0.438734,-0.046616,0.252791,0.400462,-0.054569,0.184232,0.546304,-0.023788,0.189793,0.474689,-0.038458,0.192247,0.429458,-0.049016,0.194329,0.388409,-0.055974,0.151789,0.555706,-0.028107,0.143111,0.499674,-0.042880,0.138565,0.462891,-0.050250,0.136757,0.427320,-0.054329
227,0,0.019859,0.016777,0.047320,0.015140,0.015061,0.153500,0.717371,0.000000,0.208029,0.722510,-0.025482,0.258263,0.700745,-0.037171,0.296843,0.672155,-0.047063,0.329469,0.653278,-0.056612,0.243025,0.582968,-0.022470,0.277382,0.530806,-0.037616,0.295856,0.495599,-0.049630,0.308828,0.462536,-0.058837,0.214887,0.554359,-0.021495,0.237686,0.483290,-0.035049,0.248123,0.439219,-0.046070,0.252465,0.401072,-0.053977,0.184139,0.546287,-0.023429,0.189552,0.474649,-0.038095,0.191866,0.429615,-0.048637,0.193508,0.389046,-0.055517,0.151736,0.555631,-0.027776,0.142774,0.499271,-0.042613,0.138116,0.462435,-0.050006,0.136094,0.426908,-0.054079
269,0,0.035891,0.027502,0.046321,0.036694,0.032259,0.153046,0.717347,0.000000,0.207673,0.722210,-0.025156,0.258096,0.700565,-0.036587,0.296719,0.671836,-0.046342,0.328996,0.653208,-0.055720,0.241960,0.582525,-0.021785,0.276502,0.530489,-0.036724,0.294946,0.495344,-0.048669,0.307742,0.462081,-0.057842,0.213915,0.554318,-0.020912,0.236454,0.483570,-0.034328,0.246861,0.439237,-0.045315,0.251027,0.400891,-0.053221,0.183117,0.546385,-0.022965,0.188716,0.474556,-0.037477,0.190900,0.429522,-0.047882,0.192488,0.388758,-0.054693,0.150911,0.555871,-0.027381,0.141894,0.499319,-0.042098,0.137282,0.462193,-0.049388,0.135206,0.426472,-0.053358
323,0,0.032054,0.022416,0.058557,0.067378,0.037044,0.152078,0.717133,0.000000,0.207018,0.721853,-0.024929,0.257572,0.699643,-0.036245,0.295985,0.671179,-0.045915,0.328215,0.653132,-0.055242,0.241939,0.582060,-0.021380,0.276295,0.529679,-0.036108,0.294425,0.494369,-0.047938,0.307048,0.461237,-0.056991,0.213610,0.554011,-0.020557,0.235836,0.483076,-0.033845,0.246131,0.438931,-0.044749,0.250240,0.400689,-0.052602,0.182635,0.545831,-0.022632,0.187834,0.474358,-0.037000,0.189963,0.429359,-0.047390,0.191556,0.388674,-0.054248,0.150250,0.555240,-0.027107,0.141145,0.499186,-0.041595,0.136561,0.462276,-0.048830,0.134522,0.426762,-0.052842
365,0,0.042228,0.038258,0.060432,0.059272,0.026850,0.151658,0.718000,0.000000,0.206005,0.722293,-0.025497,0.255945,0.700218,-0.037380,0.294746,0.671836,-0.047497,0.327580,0.653187,-0.057202,0.240920,0.582543,-0.022154,0.275296,0.530083,-0.037277,0.293756,0.494938,-0.049383,0.306803,0.461680,-0.058642,0.212725,0.554206,-0.021228,0.235172,0.483387,-0.034740,0.245434,0.439096,-0.045782,0.249591,0.400414,-0.053738,0.181867,0.546249,-0.023251,0.187190,0.474732,-0.037723,0.189336,0.429740,-0.048046,0.190958,0.388829,-0.054802,0.149549,0.555548,-0.027709,0.140519,0.499209,-0.042250,0.135852,0.462301,-0.049383,0.133875,0.426576,-0.053293
436,0,0.019949,0.016954,0.064489,0.069658,0.034282,0.151505,0.717989,0.000000,0.205716,0.722597,-0.025599,0.255836,0.700546,-0.037245,0.294339,0.671615,-0.047060,0.327067,0.653342,-0.056534,0.240604,0.582565,-0.022213,0.274952,0.530369,-0.037210,0.293048,0.495077,-0.049147,0.305482,0.461762,-0.058278,0.212342,0.554279,-0.021136,0.234734,0.483193,-0.034594,0.244991,0.438832,-0.045590,0.249250,0.400232,-0.053422,0.181346,0.546397,-0.023017,0.186560,0.474979,-0.037518,0.188866,0.429902,-0.047984,0.190591,0.388933,-0.054892,0.149000,0.555929,-0.027326,0.139999,0.499929,-0.041930,0.135416,0.463119,-0.049181,0.133471,0.427602,-0.053182
478,0,0.036026,0.035641,0.048580,0.077519,0.047081,0.151722,0.718301,0.000000,0.205857,0.723450,-0.026177,0.255294,0.701592,-0.038284,0.293514,0.672498,-0.048392,0.326177,0.653536,-0.058160,0.240496,0.583032,-0.023069,0.274591,0.531236,-0.038318,0.292452,0.495764,-0.050441,0.304832,0.462474,-0.059731,0.212197,0.554645,-0.021857,0.234579,0.483359,-0.035586,0.244895,0.439044,-0.046685,0.249156,0.400361,-0.054642,0.181237,0.546834,-0.023633,0.186612,0.475185,-0.038489,0.188916,0.430039,-0.049144,0.190571,0.388865,-0.056111,0.148801,0.556478,-0.027816,0.139755,0.500251,-0.042792,0.135188,0.463373,-0.050237,0.133109,0.427845,-0.054335
