t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
33,0,,,,0.000000,0.000000,0.128230,0.823408,0.000000,0.189251,0.815413,-0.030641,0.242430,0.772935,-0.043928,0.283688,0.727011,-0.054426,0.320002,0.696512,-0.064227,0.208083,0.650386,-0.026593,0.239504,0.582830,-0.043308,0.255834,0.539002,-0.056208,0.266617,0.499949,-0.065853,0.174144,0.626259,-0.024559,0.196017,0.541351,-0.038912,0.207663,0.488192,-0.050242,0.213778,0.441938,-0.058416,0.138999,0.624844,-0.026167,0.140026,0.544007,-0.042340,0.140163,0.492254,-0.054775,0.140521,0.445618,-0.062948,0.103592,0.643248,-0.030583,0.085632,0.583376,-0.047415,0.074354,0.543638,-0.056208,0.066491,0.504294,-0.061282
68,0,0.026158,0.022845,0.048781,0.026158,0.022845,0.128452,0.823988,0.000000,0.189799,0.815978,-0.031087,0.242349,0.773375,-0.044626,0.283567,0.727013,-0.055356,0.320362,0.695946,-0.065351,0.207960,0.651292,-0.027175,0.239388,0.583789,-0.044238,0.256035,0.540114,-0.057409,0.266729,0.500682,-0.067249,0.174140,0.626738,-0.024889,0.196289,0.541952,-0.039416,0.208033,0.488830,-0.050901,0.214026,0.442378,-0.059152,0.139072,0.624893,-0.026284,0.140368,0.544108,-0.042495,0.140544,0.492591,-0.054853,0.141069,0.446164,-0.062988,0.103786,0.643072,-0.030545,0.085664,0.583198,-0.047299,0.074711,0.543183,-0.056015,0.067158,0.503913,-0.061012
107,0,0.043014,0.038423,0.090932,0.046127,0.041224,0.129276,0.823433,0.000000,0.189990,0.815721,-0.030932,0.242562,0.772687,-0.044548,0.283810,0.726965,-0.055395,0.320654,0.696548,-0.065505,0.209037,0.650241,-0.027794,0.240773,0.582661,-0.044935,0.256931,0.538594,-0.057874,0.267738,0.499553,-0.067519,0.174758,0.625927,-0.025760,0.196640,0.540678,-0.040519,0.208337,0.487453,-0.051715,0.214416,0.441481,-0.059656,0.139495,0.624424,-0.027368,0.140610,0.543430,-0.043890,0.140741,0.491834,-0.056169,0.141190,0.445485,-0.064188,0.104201,0.643361,-0.031803,0.086256,0.583287,-0.049003,0.074788,0.543619,-0.057913,0.066735,0.504350,-0.062948
158,0,0.031480,0.030395,0.077088,0.036179,0.033735,0.129369,0.823264,0.000000,0.190327,0.814807,-0.030828,0.243345,0.772129,-0.044351,0.284346,0.726322,-0.055138,0.320712,0.695752,-0.065149,0.208362,0.650034,-0.027065,0.239821,0.582872,-0.044196,0.256364,0.539218,-0.057350,0.267371,0.500273,-0.067128,0.174513,0.625777,-0.025008,0.196434,0.540557,-0.039636,0.208027,0.487539,-0.051025,0.214083,0.441442,-0.059173,0.139346,0.624222,-0.026618,0.140506,0.543140,-0.042954,0.140553,0.491616,-0.055216,0.140941,0.445267,-0.063248,0.104004,0.642725,-0.031061,0.086092,0.582629,-0.047882,0.075153,0.542639,-0.056535,0.067443,0.503308,-0.061463
210,0,0.019341,0.020309,0.056536,0.039528,0.033443,0.128899,0.823208,0.000000,0.190546,0.814152,-0.030443,0.242901,0.771428,-0.043938,0.284260,0.725698,-0.054758,0.320818,0.694956,-0.064879,0.207381,0.649746,-0.026894,0.239509,0.582330,-0.044132,0.256484,0.538603,-0.057472,0.267700,0.499502,-0.067284,0.173933,0.625454,-0.024936,0.196336,0.540135,-0.039575,0.207971,0.486998,-0.050957,0.213894,0.441062,-0.059024,0.139130,0.623650,-0.026603,0.140127,0.542611,-0.042775,0.140426,0.491263,-0.054797,0.140746,0.445384,-0.062669,0.104000,0.642160,-0.031063,0.086023,0.582528,-0.047700,0.075010,0.542599,-0.056076,0.067188,0.503477,-0.060807
261,0,0.038377,0.044369,0.076914,0.067846,0.046216,0.129137,0.821015,0.000000,0.190730,0.812476,-0.030804,0.243697,0.770523,-0.044400,0.284097,0.724413,-0.055160,0.320486,0.693304,-0.065259,0.207723,0.648232,-0.027405,0.239540,0.581394,-0.044672,0.256192,0.537784,-0.057918,0.267115,0.498659,-0.067784,0.174197,0.623955,-0.025307,0.196338,0.539407,-0.040049,0.207769,0.486350,-0.051547,0.213632,0.440447,-0.059821,0.139343,0.622729,-0.026861,0.140156,0.542028,-0.043312,0.140170,0.490497,-0.055704,0.140486,0.444382,-0.063822,0.104254,0.641535,-0.031192,0.085702,0.581978,-0.048206,0.074478,0.542111,-0.057024,0.066822,0.502851,-0.062113
309,0,0.038894,0.047004,0.098064,0.057960,0.031119,0.129334,0.821581,0.000000,0.189890,0.813587,-0.030746,0.242224,0.770392,-0.044061,0.283525,0.724512,-0.054574,0.320201,0.693982,-0.064314,0.208163,0.648447,-0.026765,0.239677,0.580707,-0.043559,0.256385,0.536954,-0.056468,0.267078,0.497870,-0.066092,0.174358,0.624032,-0.024562,0.196228,0.538809,-0.038805,0.207833,0.485853,-0.049936,0.213725,0.440152,-0.057898,0.139245,0.622391,-0.026031,0.140251,0.541624,-0.042013,0.140340,0.490272,-0.054110,0.140777,0.444074,-0.062111,0.104075,0.640937,-0.030321,0.085718,0.581486,-0.046921,0.074630,0.541639,-0.055502,0.067092,0.502404,-0.060410
344,0,0.023653,0.031327,0.080100,0.058927,0.015903,0.128858,0.821522,0.000000,0.189757,0.812786,-0.030384,0.242559,0.770204,-0.043627,0.283542,0.724805,-0.054175,0.319859,0.694973,-0.063986,0.208216,0.648214,-0.026292,0.239984,0.580460,-0.043045,0.256422,0.536677,-0.055959,0.267321,0.497703,-0.065615,0.174407,0.624335,-0.024334,0.196100,0.539587,-0.038779,0.207858,0.486329,-0.050142,0.214182,0.440220,-0.058363,0.139530,0.622885,-0.026060,0.140715,0.541944,-0.042270,0.141248,0.490014,-0.054718,0.142017,0.443207,-0.062939,0.104331,0.641225,-0.030578,0.086391,0.581298,-0.047427,0.075199,0.541491,-0.056230,0.067427,0.502061,-0.061310
376,0,0.024251,0.021547,0.048297,0.051330,0.016180,0.128883,0.821671,0.000000,0.190072,0.813802,-0.030529,0.242490,0.771090,-0.043995,0.283398,0.725445,-0.054790,0.320260,0.694718,-0.064812,0.208357,0.648562,-0.026853,0.239909,0.580983,-0.043801,0.256445,0.537387,-0.056802,0.267222,0.498382,-0.066476,0.174578,0.624501,-0.024841,0.196285,0.539804,-0.039371,0.207808,0.486658,-0.050689,0.213751,0.440645,-0.058814,0.139473,0.623078,-0.026486,0.140432,0.542126,-0.042679,0.140757,0.490766,-0.054906,0.141303,0.444519,-0.062954,0.104302,0.641707,-0.030936,0.086195,0.581823,-0.047787,0.075188,0.541886,-0.056531,0.067577,0.502684,-0.061561
409,0,0.010302,0.013018,0.040192,0.054605,0.013367,0.128625,0.821701,0.000000,0.189538,0.813418,-0.030626,0.242287,0.770534,-0.044033,0.283725,0.724964,-0.054713,0.320490,0.694739,-0.064657,0.208335,0.648549,-0.026969,0.239955,0.580839,-0.043840,0.256331,0.536921,-0.056841,0.267418,0.497788,-0.066514,0.174567,0.624461,-0.024938,0.196468,0.539673,-0.039274,0.208134,0.486587,-0.050534,0.214135,0.440421,-0.058621,0.139580,0.623059,-0.026544,0.140577,0.542107,-0.042602,0.140708,0.490569,-0.054790,0.141232,0.443958,-0.062877,0.104164,0.641559,-0.030974,0.086085,0.581660,-0.047709,0.075000,0.541847,-0.056377,0.067385,0.502456,-0.061368
