t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
32,0,,,,0.000000,0.000000,0.128435,0.784379,0.000001,0.185837,0.780896,-0.031317,0.237151,0.752403,-0.048019,0.280566,0.722106,-0.062324,0.319106,0.702848,-0.076088,0.207974,0.621826,-0.029886,0.243748,0.560774,-0.049024,0.264805,0.520792,-0.063948,0.280064,0.484126,-0.074812,0.175794,0.594680,-0.028262,0.200581,0.512511,-0.044307,0.214581,0.461182,-0.056293,0.223402,0.416928,-0.064953,0.141413,0.590740,-0.030292,0.144326,0.510417,-0.047168,0.146784,0.459304,-0.058960,0.149661,0.413254,-0.066654,0.106402,0.606359,-0.035222,0.091275,0.545789,-0.051614,0.082952,0.504808,-0.059308,0.077856,0.464230,-0.063716
67,0,0.027783,0.054304,0.083977,0.027783,0.054304,0.127473,0.783483,0.000001,0.184851,0.780873,-0.032018,0.236697,0.752761,-0.049033,0.280332,0.723024,-0.063496,0.319155,0.702957,-0.077378,0.208312,0.621960,-0.030143,0.244169,0.561175,-0.049343,0.264778,0.521279,-0.064424,0.280110,0.484659,-0.075406,0.176453,0.594650,-0.028210,0.201125,0.513122,-0.044393,0.215069,0.461935,-0.056690,0.223868,0.417611,-0.065545,0.141955,0.590539,-0.029988,0.145139,0.510265,-0.047138,0.147618,0.458942,-0.059165,0.150840,0.412399,-0.067053,0.106674,0.605936,-0.034745,0.091522,0.545590,-0.051431,0.083276,0.504573,-0.059397,0.078315,0.463996,-0.063921
101,0,0.017589,0.054508,0.092843,0.025025,0.022976,0.128694,0.784853,0.000001,0.186138,0.780953,-0.031670,0.237339,0.752383,-0.048493,0.280324,0.722059,-0.062874,0.319009,0.703044,-0.076712,0.208489,0.622068,-0.029964,0.244320,0.561561,-0.049191,0.264950,0.521272,-0.064308,0.280202,0.484421,-0.075356,0.176387,0.594728,-0.028239,0.201024,0.513363,-0.044616,0.214966,0.462045,-0.056866,0.223398,0.417653,-0.065665,0.141878,0.590455,-0.030197,0.145440,0.509719,-0.047446,0.147905,0.458538,-0.059347,0.150663,0.412228,-0.067099,0.107003,0.605999,-0.035100,0.091653,0.545843,-0.051749,0.083377,0.504963,-0.059540,0.078291,0.464703,-0.063959
135,0,0.032632,0.032401,0.112369,0.038195,0.029727,0.128877,0.783509,0.000001,0.185925,0.780204,-0.030995,0.237360,0.751400,-0.047602,0.280366,0.721897,-0.061836,0.318597,0.702919,-0.075530,0.208950,0.621657,-0.029992,0.244655,0.560498,-0.049145,0.265812,0.520552,-0.063996,0.281136,0.484043,-0.074759,0.176917,0.594418,-0.028565,0.201483,0.512030,-0.044863,0.215573,0.460442,-0.056976,0.224290,0.416108,-0.065578,0.142585,0.590476,-0.030725,0.145243,0.509616,-0.047872,0.147817,0.458189,-0.059830,0.150952,0.411711,-0.067507,0.107765,0.606309,-0.035721,0.092018,0.545432,-0.052308,0.083416,0.504317,-0.060139,0.078405,0.463442,-0.064575
168,0,0.027575,0.031771,0.089585,0.030570,0.043424,0.128243,0.782775,0.000001,0.185505,0.779536,-0.031539,0.237108,0.751749,-0.048417,0.280141,0.721757,-0.062885,0.318831,0.702479,-0.076851,0.208332,0.621300,-0.030015,0.244038,0.560594,-0.049112,0.264818,0.520705,-0.064042,0.280220,0.484434,-0.074922,0.176459,0.594086,-0.028337,0.201201,0.513181,-0.044637,0.215280,0.461848,-0.057021,0.223905,0.417450,-0.065933,0.141979,0.590052,-0.030285,0.145322,0.509569,-0.047492,0.147725,0.458432,-0.059606,0.150558,0.412195,-0.067476,0.106795,0.605373,-0.035108,0.091371,0.545157,-0.051813,0.083209,0.504306,-0.059760,0.078323,0.463918,-0.064274
201,0,0.026836,0.044735,0.037341,0.038631,0.025553,0.128513,0.783564,0.000001,0.185875,0.780049,-0.031728,0.236690,0.751853,-0.048839,0.279932,0.721553,-0.063495,0.318811,0.701984,-0.077609,0.207972,0.621053,-0.030433,0.243860,0.560111,-0.049767,0.264766,0.520009,-0.064848,0.280320,0.483368,-0.075830,0.176051,0.593721,-0.028673,0.200816,0.512095,-0.045088,0.214799,0.460846,-0.057308,0.223405,0.416672,-0.066124,0.141728,0.589727,-0.030549,0.144806,0.508901,-0.047834,0.147050,0.457464,-0.059783,0.149797,0.411148,-0.067594,0.106718,0.605497,-0.035324,0.091222,0.544722,-0.052049,0.083022,0.503736,-0.059937,0.078163,0.463246,-0.064384
234,0,0.042719,0.048153,0.056147,0.044470,0.030271,0.127858,0.782686,0.000001,0.185376,0.779194,-0.030979,0.236758,0.750652,-0.047481,0.280258,0.720275,-0.061648,0.318664,0.701680,-0.075275,0.207546,0.620671,-0.029222,0.243490,0.559554,-0.048060,0.264591,0.519802,-0.062807,0.279835,0.483570,-0.073538,0.175559,0.593639,-0.027678,0.200544,0.511547,-0.043698,0.214842,0.460099,-0.055781,0.223471,0.416040,-0.064428,0.141200,0.589714,-0.029743,0.144460,0.508905,-0.046709,0.146843,0.457620,-0.058676,0.149475,0.411494,-0.066435,0.106441,0.605266,-0.034646,0.091347,0.544490,-0.051071,0.083175,0.503381,-0.058908,0.078184,0.462844,-0.063308
268,0,0.029815,0.031896,0.046437,0.038632,0.037097,0.127386,0.782397,0.000001,0.185013,0.778771,-0.031474,0.236465,0.750378,-0.048234,0.279955,0.720436,-0.062600,0.318569,0.701330,-0.076463,0.207466,0.620776,-0.029813,0.243295,0.560161,-0.049006,0.264493,0.520382,-0.064067,0.280120,0.483978,-0.075073,0.175514,0.593634,-0.028152,0.200139,0.512572,-0.044449,0.214081,0.461378,-0.056884,0.222638,0.416910,-0.065843,0.141149,0.589600,-0.030141,0.144355,0.509028,-0.047346,0.146808,0.457808,-0.059356,0.149583,0.411439,-0.067195,0.105958,0.605045,-0.035026,0.090807,0.544301,-0.051671,0.082880,0.503231,-0.059510,0.078115,0.462560,-0.063990
303,0,0.027295,0.028524,0.027691,0.055626,0.049427,0.127510,0.782516,0.000001,0.185044,0.779020,-0.031856,0.236133,0.750877,-0.049080,0.279246,0.721148,-0.063828,0.317802,0.701898,-0.078033,0.207419,0.620697,-0.030579,0.243516,0.559940,-0.050164,0.264584,0.520207,-0.065415,0.280314,0.483864,-0.076485,0.175535,0.593566,-0.028779,0.200334,0.512213,-0.045442,0.214452,0.460882,-0.057944,0.223125,0.416387,-0.066886,0.141101,0.589377,-0.030637,0.144309,0.508890,-0.048074,0.146774,0.457510,-0.060189,0.149763,0.411177,-0.068047,0.106142,0.604870,-0.035417,0.090864,0.544335,-0.052177,0.082801,0.503211,-0.060112,0.078041,0.462739,-0.064641
336,0,0.030501,0.042591,0.065986,0.048318,0.055193,0.126586,0.782023,0.000001,0.184024,0.779169,-0.031590,0.235801,0.750719,-0.048360,0.278922,0.720380,-0.062679,0.317541,0.701383,-0.076458,0.207282,0.620549,-0.029989,0.243882,0.559863,-0.049171,0.265205,0.519849,-0.064146,0.281150,0.483458,-0.074991,0.175231,0.593444,-0.028213,0.200275,0.511767,-0.044501,0.214501,0.460303,-0.056774,0.223380,0.415873,-0.065651,0.140694,0.589583,-0.030105,0.144014,0.509065,-0.047280,0.146736,0.457624,-0.059321,0.149870,0.411162,-0.067156,0.105811,0.605246,-0.034890,0.090914,0.544397,-0.051564,0.082933,0.503276,-0.059514,0.078211,0.462434,-0.063991
