t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
46,0,,,,0.000000,0.000000,0.154483,0.796984,0.000000,0.213033,0.783436,-0.030069,0.266329,0.745638,-0.044124,0.308710,0.706000,-0.056107,0.344027,0.677639,-0.067599,0.231513,0.620977,-0.023720,0.254328,0.548523,-0.040582,0.263536,0.501348,-0.055089,0.268409,0.457226,-0.066243,0.197203,0.600568,-0.021723,0.208187,0.518020,-0.036268,0.210210,0.466971,-0.049626,0.207856,0.422523,-0.059536,0.163214,0.600593,-0.023193,0.162962,0.523798,-0.038001,0.159328,0.477203,-0.048684,0.154442,0.435059,-0.055805,0.129312,0.617603,-0.027771,0.120117,0.558216,-0.042240,0.112825,0.520062,-0.049023,0.106735,0.483563,-0.052565
98,0,0.025084,0.022866,0.061530,0.025084,0.022866,0.154725,0.797214,0.000000,0.213894,0.783877,-0.029811,0.267472,0.745525,-0.043512,0.309154,0.705289,-0.055181,0.344112,0.677128,-0.066360,0.231839,0.621077,-0.022961,0.254574,0.548670,-0.039673,0.263656,0.501335,-0.054127,0.268772,0.457115,-0.065230,0.197516,0.600890,-0.021022,0.208345,0.518217,-0.035551,0.210378,0.466989,-0.048970,0.208053,0.422323,-0.058907,0.163597,0.600807,-0.022546,0.163173,0.524049,-0.037396,0.159461,0.477155,-0.048179,0.154560,0.434732,-0.055293,0.129664,0.617644,-0.027157,0.120376,0.558310,-0.041630,0.113098,0.520054,-0.048443,0.106998,0.483271,-0.051981
151,0,0.023333,0.019041,0.051937,0.021824,0.020387,0.154486,0.796918,0.000000,0.213498,0.783229,-0.030111,0.267023,0.745228,-0.044076,0.309115,0.705519,-0.055970,0.344120,0.677233,-0.067337,0.232081,0.620170,-0.023430,0.254583,0.547845,-0.040236,0.263669,0.500595,-0.054765,0.268425,0.456396,-0.065906,0.197618,0.600063,-0.021379,0.208334,0.517509,-0.035927,0.210241,0.466391,-0.049383,0.207769,0.421909,-0.059357,0.163516,0.600214,-0.022809,0.163011,0.523412,-0.037639,0.159384,0.476793,-0.048404,0.154733,0.434460,-0.055556,0.129311,0.617086,-0.027383,0.120200,0.557638,-0.041780,0.113055,0.519423,-0.048592,0.107145,0.482705,-0.052130
204,0,0.022207,0.013016,0.030919,0.017869,0.017804,0.154836,0.797528,0.000000,0.213911,0.783574,-0.030028,0.267102,0.745426,-0.044034,0.309107,0.705485,-0.056060,0.344499,0.677003,-0.067521,0.232142,0.621071,-0.023412,0.254526,0.548579,-0.040415,0.263774,0.501392,-0.055080,0.268833,0.457146,-0.066315,0.197910,0.600806,-0.021451,0.208500,0.518045,-0.036098,0.210579,0.466895,-0.049576,0.208416,0.422275,-0.059604,0.164019,0.600832,-0.022978,0.163524,0.524212,-0.037870,0.159761,0.477188,-0.048633,0.154951,0.434530,-0.055834,0.130122,0.617652,-0.027634,0.120631,0.558591,-0.042073,0.113283,0.520207,-0.048897,0.107079,0.483458,-0.052441
259,0,0.021131,0.018222,0.030282,0.018772,0.013969,0.154777,0.797639,0.000000,0.213365,0.784146,-0.029840,0.266781,0.746077,-0.043733,0.308676,0.706586,-0.055684,0.343463,0.678526,-0.067107,0.231860,0.620913,-0.023318,0.254118,0.548368,-0.040377,0.263440,0.501379,-0.055118,0.268688,0.457377,-0.066353,0.197556,0.600965,-0.021470,0.208133,0.518201,-0.036193,0.210072,0.467080,-0.049765,0.208009,0.422545,-0.059831,0.163629,0.601154,-0.023110,0.163204,0.524734,-0.037983,0.159382,0.477941,-0.048784,0.154629,0.435562,-0.055985,0.129584,0.618091,-0.027861,0.120408,0.558994,-0.042300,0.113135,0.520812,-0.049124,0.106983,0.484087,-0.052668
312,0,0.013102,0.010582,0.037119,0.022016,0.011376,0.154503,0.797664,0.000000,0.213691,0.783958,-0.029750,0.266961,0.746087,-0.043636,0.308586,0.706268,-0.055581,0.343583,0.678075,-0.066999,0.231518,0.621592,-0.023288,0.253979,0.549320,-0.040358,0.263267,0.502178,-0.055092,0.268505,0.457954,-0.066396,0.197191,0.601228,-0.021460,0.207813,0.518879,-0.036250,0.209849,0.467594,-0.049816,0.207761,0.422931,-0.059877,0.163200,0.601299,-0.023080,0.162822,0.524809,-0.038040,0.159169,0.478140,-0.048761,0.154511,0.435685,-0.055883,0.129345,0.618202,-0.027791,0.120035,0.559132,-0.042280,0.112806,0.520856,-0.049062,0.106815,0.484078,-0.052529
366,0,0.025965,0.025899,0.046549,0.029682,0.029133,0.154318,0.797724,0.000000,0.213372,0.784033,-0.029552,0.266817,0.746016,-0.043238,0.308643,0.706059,-0.054969,0.343524,0.678073,-0.066173,0.231226,0.621055,-0.022785,0.254190,0.548660,-0.039441,0.263335,0.501574,-0.053916,0.268209,0.457310,-0.065045,0.196904,0.601053,-0.020980,0.207823,0.518515,-0.035399,0.209881,0.467189,-0.048840,0.207578,0.422458,-0.058842,0.162908,0.600933,-0.022597,0.162587,0.524306,-0.037298,0.158936,0.477742,-0.048013,0.154172,0.435590,-0.055119,0.128980,0.617916,-0.027278,0.119843,0.558542,-0.041584,0.112740,0.520398,-0.048314,0.106872,0.483750,-0.051811
410,0,0.030920,0.030223,0.066609,0.039258,0.040309,0.154198,0.798146,0.000000,0.214035,0.784611,-0.029697,0.267700,0.746842,-0.043463,0.309133,0.706412,-0.055252,0.343818,0.678231,-0.066476,0.232132,0.621969,-0.022993,0.254804,0.549475,-0.039848,0.263923,0.502293,-0.054423,0.268863,0.458068,-0.065572,0.197801,0.601680,-0.021054,0.208583,0.518782,-0.035705,0.210812,0.467533,-0.049151,0.208734,0.423212,-0.059131,0.163780,0.601460,-0.022560,0.163308,0.524502,-0.037494,0.159827,0.477447,-0.048284,0.155184,0.435045,-0.055403,0.129613,0.618281,-0.027136,0.120591,0.558557,-0.041656,0.113428,0.519851,-0.048473,0.107551,0.482995,-0.052013
456,0,0.032013,0.028678,0.067821,0.065853,0.057265,0.154432,0.798376,0.000000,0.213844,0.785132,-0.029607,0.267456,0.746997,-0.043148,0.309616,0.707076,-0.054802,0.344493,0.679171,-0.065891,0.231876,0.622054,-0.022272,0.254756,0.549419,-0.038810,0.264111,0.502331,-0.053218,0.269330,0.458444,-0.064231,0.197646,0.601779,-0.020310,0.208914,0.519219,-0.034586,0.211195,0.467748,-0.047938,0.209030,0.423052,-0.057857,0.163775,0.601497,-0.021876,0.163627,0.524735,-0.036415,0.160179,0.477921,-0.047070,0.155619,0.435702,-0.054161,0.129625,0.617922,-0.026534,0.120871,0.558696,-0.040696,0.113814,0.520510,-0.047334,0.108012,0.484011,-0.050766
518,0,0.014410,0.019300,0.038341,0.063580,0.063027,0.154610,0.798582,0.000000,0.213924,0.784783,-0.029500,0.267297,0.747094,-0.043128,0.309094,0.707106,-0.054815,0.343970,0.678785,-0.065974,0.231882,0.621148,-0.022167,0.254655,0.548820,-0.038604,0.264012,0.501845,-0.052930,0.269028,0.457913,-0.063938,0.197594,0.601155,-0.020207,0.208660,0.518747,-0.034306,0.210903,0.467570,-0.047614,0.208749,0.423025,-0.057529,0.163553,0.601252,-0.021734,0.163486,0.524619,-0.036116,0.160028,0.478039,-0.046785,0.155485,0.435979,-0.053872,0.129531,0.617989,-0.026352,0.120989,0.558783,-0.040414,0.114068,0.520555,-0.047049,0.108406,0.484008,-0.050479
