t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
38,0,,,,0.000000,0.000000,0.085847,0.790920,0.000000,0.155784,0.787649,-0.034319,0.219486,0.759001,-0.051181,0.269902,0.725433,-0.065779,0.313427,0.699712,-0.079278,0.195608,0.601140,-0.020567,0.225722,0.524726,-0.038562,0.235730,0.475260,-0.055842,0.241028,0.427029,-0.069165,0.158113,0.570349,-0.018105,0.178523,0.478615,-0.033571,0.185163,0.420720,-0.049950,0.187065,0.369269,-0.062350,0.118671,0.561779,-0.020006,0.129567,0.475126,-0.035792,0.132378,0.421851,-0.048367,0.133495,0.373014,-0.056809,0.077054,0.570994,-0.025569,0.079928,0.500746,-0.040474,0.080424,0.454722,-0.047576,0.081836,0.411283,-0.051401
67,0,0.027291,0.033793,0.042055,0.027291,0.033793,0.086214,0.791301,0.000000,0.156259,0.787779,-0.033882,0.219414,0.758850,-0.050472,0.269452,0.725006,-0.064779,0.312527,0.699123,-0.078034,0.195238,0.601023,-0.021275,0.225743,0.524841,-0.039170,0.235902,0.475528,-0.056265,0.241142,0.427600,-0.069432,0.157747,0.570574,-0.018960,0.178092,0.478319,-0.034299,0.184946,0.420486,-0.050384,0.186836,0.369237,-0.062541,0.118237,0.562293,-0.020880,0.129267,0.475373,-0.036537,0.132156,0.422053,-0.049023,0.133296,0.372820,-0.057406,0.076822,0.572149,-0.026377,0.079910,0.501423,-0.041409,0.080307,0.455335,-0.048628,0.081845,0.411359,-0.052491
105,0,0.031739,0.039801,0.035341,0.033026,0.042193,0.085838,0.791654,0.000000,0.155682,0.788006,-0.033094,0.219162,0.758511,-0.049455,0.269645,0.724665,-0.063817,0.312558,0.698865,-0.077081,0.194715,0.600436,-0.020072,0.225173,0.523513,-0.037816,0.235515,0.474506,-0.054813,0.240993,0.426740,-0.067902,0.157487,0.570400,-0.018128,0.178128,0.478094,-0.033380,0.184863,0.420009,-0.049499,0.186750,0.368703,-0.061665,0.118107,0.562238,-0.020423,0.129372,0.475076,-0.035927,0.132366,0.421348,-0.048357,0.133360,0.372281,-0.056702,0.076621,0.572085,-0.026221,0.080117,0.501249,-0.040934,0.080741,0.454933,-0.047918,0.082249,0.411287,-0.051607
139,0,0.032623,0.048205,0.047849,0.035282,0.021869,0.084598,0.790271,0.000000,0.154113,0.787096,-0.034028,0.218126,0.758130,-0.050667,0.268796,0.724834,-0.065150,0.312366,0.699073,-0.078488,0.194657,0.600570,-0.020095,0.224923,0.524137,-0.037989,0.234923,0.475118,-0.055157,0.240307,0.427498,-0.068407,0.157244,0.569829,-0.017773,0.177664,0.477986,-0.033191,0.184432,0.420098,-0.049479,0.186586,0.368739,-0.061760,0.117828,0.561508,-0.019831,0.128667,0.474925,-0.035656,0.131473,0.421588,-0.048202,0.132613,0.372609,-0.056566,0.076237,0.570991,-0.025488,0.079540,0.500507,-0.040498,0.080030,0.454431,-0.047630,0.081458,0.410647,-0.051459
171,0,0.018817,0.019867,0.054512,0.045865,0.023642,0.084846,0.790173,0.000000,0.154574,0.787463,-0.033832,0.218037,0.758021,-0.050277,0.268154,0.724308,-0.064503,0.311209,0.697873,-0.077545,0.194437,0.600448,-0.020517,0.224371,0.523688,-0.038202,0.234403,0.474562,-0.055107,0.239980,0.426779,-0.068236,0.157165,0.569780,-0.018058,0.177428,0.477805,-0.033240,0.184453,0.420211,-0.049267,0.186556,0.369020,-0.061386,0.117834,0.561284,-0.019913,0.128828,0.474449,-0.035501,0.131707,0.420950,-0.047949,0.132814,0.372037,-0.056336,0.076556,0.570510,-0.025336,0.079590,0.500271,-0.040265,0.079999,0.454125,-0.047510,0.081309,0.410568,-0.051331
205,0,0.026215,0.018198,0.046793,0.060893,0.026073,0.084462,0.790109,0.000000,0.153639,0.786928,-0.033685,0.217174,0.757844,-0.050121,0.267593,0.723837,-0.064341,0.310478,0.697654,-0.077464,0.193503,0.600479,-0.020683,0.223575,0.523837,-0.038468,0.233721,0.474615,-0.055431,0.239417,0.426747,-0.068554,0.156264,0.569743,-0.018356,0.176637,0.477498,-0.033619,0.183481,0.419754,-0.049638,0.185571,0.368412,-0.061751,0.116941,0.561346,-0.020266,0.128056,0.474260,-0.035835,0.130903,0.421113,-0.048190,0.131880,0.372183,-0.056441,0.075637,0.570837,-0.025741,0.079075,0.500511,-0.040575,0.079558,0.454671,-0.047575,0.080808,0.411132,-0.051218
239,0,0.029849,0.029752,0.047375,0.088246,0.035194,0.083422,0.790069,0.000000,0.152714,0.786306,-0.033666,0.216200,0.756999,-0.050127,0.266388,0.723328,-0.064392,0.309626,0.697640,-0.077560,0.193346,0.599544,-0.019917,0.223345,0.523037,-0.037683,0.233311,0.474032,-0.054823,0.238573,0.426244,-0.068079,0.155972,0.568687,-0.017678,0.176583,0.477425,-0.032876,0.183415,0.419813,-0.049073,0.185407,0.368458,-0.061319,0.116629,0.560424,-0.019763,0.127662,0.473956,-0.035356,0.130406,0.420793,-0.047844,0.131352,0.371893,-0.056184,0.075082,0.569908,-0.025458,0.078640,0.499714,-0.040294,0.079098,0.453905,-0.047361,0.080386,0.410224,-0.051092
273,0,0.034116,0.045811,0.084927,0.088246,0.046090,0.083810,0.790874,0.000000,0.152975,0.787592,-0.033939,0.216056,0.756878,-0.050426,0.266184,0.722989,-0.064582,0.309137,0.696750,-0.077639,0.192720,0.599901,-0.021058,0.223017,0.523026,-0.039017,0.233144,0.473804,-0.056097,0.238399,0.425796,-0.069242,0.155170,0.569391,-0.018596,0.175948,0.477213,-0.033939,0.183009,0.419189,-0.049986,0.185038,0.367930,-0.062076,0.115850,0.561238,-0.020454,0.127170,0.474326,-0.036138,0.130286,0.420735,-0.048755,0.131313,0.371552,-0.057240,0.074793,0.570738,-0.025894,0.078354,0.500369,-0.040908,0.078694,0.454165,-0.048227,0.079819,0.410686,-0.052140
307,0,0.027800,0.034576,0.050698,0.108802,0.039905,0.083144,0.789829,0.000000,0.152404,0.786392,-0.034206,0.215735,0.756526,-0.050847,0.266436,0.722975,-0.065243,0.309470,0.696841,-0.078538,0.192398,0.599561,-0.021120,0.222783,0.522978,-0.039379,0.232781,0.473347,-0.056746,0.238034,0.425048,-0.070086,0.155027,0.569125,-0.018721,0.175737,0.477048,-0.034448,0.182494,0.418554,-0.050979,0.184357,0.366531,-0.063526,0.115858,0.561016,-0.020647,0.126879,0.474559,-0.036628,0.129965,0.420687,-0.049527,0.130972,0.371036,-0.058199,0.074515,0.570297,-0.026194,0.078085,0.500201,-0.041360,0.078591,0.453948,-0.048778,0.080000,0.409862,-0.052784
342,0,0.032838,0.036694,0.077831,0.098065,0.037494,0.083149,0.789176,0.000000,0.153064,0.786569,-0.033836,0.216610,0.756827,-0.049919,0.266316,0.721991,-0.063761,0.309036,0.696153,-0.076505,0.192828,0.599666,-0.020741,0.223443,0.523214,-0.038626,0.233556,0.473309,-0.055676,0.238772,0.424717,-0.068903,0.155488,0.569011,-0.018368,0.176250,0.477310,-0.033858,0.183155,0.419463,-0.050139,0.185242,0.367793,-0.062487,0.116101,0.560729,-0.020280,0.127417,0.474318,-0.036253,0.130501,0.420572,-0.049040,0.131590,0.370979,-0.057653,0.074620,0.569869,-0.025773,0.078193,0.499597,-0.041065,0.078965,0.453508,-0.048557,0.080632,0.409587,-0.052556
