t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
51,0,,,,0.000000,0.000000,0.181736,0.796299,0.000000,0.237022,0.778719,-0.027722,0.283838,0.734238,-0.039859,0.317035,0.685322,-0.049662,0.345584,0.648012,-0.058819,0.246149,0.627485,-0.023736,0.268586,0.559292,-0.040110,0.278852,0.515216,-0.052858,0.284820,0.474749,-0.062410,0.213939,0.609341,-0.022102,0.226514,0.528135,-0.036771,0.231590,0.478021,-0.048657,0.231388,0.434395,-0.057167,0.182047,0.611445,-0.023754,0.175073,0.537320,-0.039428,0.169838,0.490107,-0.050452,0.164661,0.447241,-0.057562,0.150967,0.630331,-0.028009,0.135653,0.574680,-0.043378,0.125722,0.538348,-0.050991,0.117991,0.501920,-0.055264
80,0,0.012282,0.012617,0.031376,0.012282,0.012617,0.182017,0.795883,0.000000,0.237123,0.778299,-0.027647,0.283945,0.734156,-0.039773,0.317001,0.685040,-0.049546,0.345345,0.647826,-0.058636,0.246266,0.627592,-0.023821,0.268655,0.559357,-0.040168,0.278875,0.515087,-0.052887,0.284667,0.474460,-0.062372,0.214078,0.609245,-0.022150,0.226697,0.528160,-0.036701,0.231715,0.477917,-0.048504,0.231539,0.434304,-0.056947,0.182305,0.611192,-0.023767,0.175470,0.537202,-0.039270,0.170340,0.490215,-0.050156,0.165141,0.447617,-0.057234,0.151136,0.629713,-0.027970,0.135912,0.574028,-0.043222,0.125891,0.537627,-0.050767,0.118019,0.501432,-0.054971
128,0,0.015466,0.018225,0.032359,0.022263,0.020989,0.181870,0.795334,0.000000,0.236938,0.778082,-0.027780,0.283892,0.734057,-0.040030,0.316904,0.684856,-0.049929,0.345412,0.647760,-0.059148,0.246348,0.627096,-0.024122,0.268817,0.558849,-0.040639,0.279118,0.514682,-0.053444,0.284902,0.474046,-0.063021,0.214070,0.608911,-0.022400,0.226893,0.527876,-0.037160,0.231861,0.477863,-0.049068,0.231797,0.434284,-0.057533,0.182239,0.610837,-0.023907,0.175419,0.536826,-0.039599,0.170356,0.490178,-0.050431,0.165336,0.447948,-0.057390,0.151266,0.629230,-0.028049,0.136024,0.573795,-0.043365,0.126258,0.537382,-0.050862,0.118585,0.501471,-0.054987
173,0,0.019683,0.014361,0.051365,0.034636,0.022154,0.182166,0.794610,0.000000,0.237106,0.777423,-0.027585,0.283904,0.733133,-0.039792,0.316836,0.684609,-0.049650,0.345362,0.647580,-0.058863,0.246480,0.626171,-0.024036,0.268776,0.557929,-0.040544,0.278889,0.513734,-0.053342,0.284680,0.473279,-0.062878,0.214100,0.608057,-0.022441,0.226681,0.526835,-0.037103,0.231817,0.476819,-0.048897,0.231629,0.433527,-0.057250,0.182232,0.610227,-0.024090,0.175373,0.536211,-0.039612,0.170408,0.489285,-0.050367,0.165525,0.446865,-0.057285,0.151153,0.629154,-0.028320,0.136080,0.573446,-0.043556,0.126298,0.537020,-0.050940,0.118689,0.500969,-0.055027
207,0,0.015355,0.017368,0.040836,0.041796,0.017556,0.182205,0.794748,0.000000,0.236870,0.777012,-0.027225,0.283634,0.732581,-0.039313,0.316742,0.684018,-0.049141,0.345233,0.646898,-0.058287,0.246099,0.625982,-0.023674,0.268622,0.557900,-0.040138,0.279100,0.513943,-0.052943,0.284813,0.473600,-0.062412,0.213925,0.607858,-0.022293,0.226848,0.526698,-0.036838,0.232128,0.476785,-0.048603,0.232018,0.433355,-0.056924,0.182180,0.609995,-0.024158,0.175463,0.535874,-0.039564,0.170655,0.489003,-0.050253,0.165806,0.446364,-0.057175,0.151161,0.628711,-0.028588,0.136032,0.573174,-0.043617,0.126361,0.536804,-0.050898,0.118892,0.500654,-0.054916
253,0,0.023917,0.021292,0.046451,0.054306,0.024941,0.181895,0.794463,0.000000,0.236990,0.776995,-0.027345,0.283687,0.732684,-0.039286,0.316836,0.683527,-0.048909,0.345250,0.646585,-0.057887,0.246136,0.625654,-0.023359,0.268666,0.557616,-0.039537,0.279049,0.513805,-0.052105,0.284890,0.473693,-0.061478,0.213897,0.607597,-0.021744,0.226710,0.526309,-0.036090,0.231781,0.476439,-0.047724,0.231565,0.433184,-0.055984,0.182059,0.609489,-0.023377,0.175307,0.535487,-0.038639,0.170394,0.488724,-0.049340,0.165478,0.446366,-0.056271,0.150949,0.628128,-0.027597,0.135858,0.572771,-0.042589,0.126065,0.536368,-0.049951,0.118393,0.500311,-0.054045
288,0,0.012621,0.014195,0.021495,0.057691,0.029626,0.182024,0.794945,0.000000,0.237115,0.777269,-0.027252,0.283674,0.732979,-0.039235,0.316658,0.683957,-0.048972,0.345245,0.646468,-0.058062,0.245941,0.625545,-0.022869,0.268716,0.557412,-0.039019,0.279165,0.513603,-0.051702,0.285091,0.473335,-0.061152,0.213881,0.607768,-0.021378,0.226787,0.526617,-0.035750,0.231930,0.476733,-0.047499,0.231919,0.433302,-0.055870,0.182083,0.609916,-0.023174,0.175403,0.536006,-0.038516,0.170494,0.488873,-0.049331,0.165798,0.446217,-0.056337,0.151042,0.628523,-0.027558,0.135935,0.572915,-0.042612,0.126239,0.536170,-0.050050,0.118834,0.499829,-0.054181
338,0,0.019962,0.019562,0.045995,0.062488,0.042185,0.181645,0.794953,0.000000,0.236805,0.777480,-0.027268,0.283509,0.733431,-0.039150,0.316254,0.684089,-0.048784,0.344784,0.646666,-0.057700,0.245872,0.625938,-0.022577,0.268490,0.557532,-0.038574,0.278766,0.513714,-0.051157,0.284396,0.473490,-0.060540,0.214022,0.608141,-0.020941,0.226869,0.527399,-0.035231,0.231782,0.477106,-0.047023,0.231388,0.433508,-0.055399,0.182261,0.610062,-0.022613,0.175624,0.536009,-0.037891,0.170589,0.489234,-0.048676,0.165630,0.446735,-0.055687,0.151053,0.628379,-0.026891,0.135842,0.572921,-0.041918,0.125957,0.536291,-0.049395,0.118391,0.499910,-0.053566
382,0,0.018501,0.021335,0.039571,0.056605,0.047804,0.180849,0.794826,0.000000,0.236096,0.777402,-0.027278,0.282868,0.733385,-0.039133,0.315898,0.684387,-0.048709,0.344467,0.647189,-0.057605,0.245700,0.626135,-0.022812,0.267897,0.557820,-0.038917,0.278060,0.514007,-0.051579,0.283789,0.473901,-0.060941,0.213721,0.608301,-0.021180,0.226453,0.527550,-0.035492,0.231593,0.477506,-0.047239,0.231661,0.434074,-0.055632,0.181862,0.610324,-0.022848,0.175196,0.536485,-0.038092,0.170228,0.489532,-0.048889,0.165455,0.447123,-0.055811,0.150759,0.628630,-0.027099,0.135625,0.573188,-0.042110,0.125808,0.536575,-0.049499,0.118195,0.500503,-0.053588
415,0,0.031620,0.032665,0.047593,0.035911,0.030208,0.181119,0.795039,0.000000,0.236272,0.777876,-0.027710,0.282528,0.733615,-0.039862,0.315432,0.684895,-0.049720,0.344119,0.647720,-0.058897,0.245307,0.626428,-0.023408,0.267551,0.558382,-0.039790,0.277864,0.514500,-0.052587,0.283844,0.474336,-0.062123,0.213177,0.608367,-0.021705,0.225776,0.527772,-0.036277,0.231268,0.477931,-0.048107,0.231574,0.434563,-0.056566,0.181389,0.610556,-0.023336,0.174942,0.536729,-0.038894,0.170142,0.489630,-0.049863,0.165507,0.446833,-0.056961,0.150506,0.629244,-0.027584,0.135404,0.573870,-0.042873,0.125617,0.537359,-0.050508,0.118058,0.501252,-0.054774
