t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
33,0,,,,0.000000,0.000000,0.113982,0.681326,0.000000,0.164855,0.695096,-0.036633,0.211137,0.678565,-0.054458,0.243622,0.643500,-0.068004,0.276214,0.614133,-0.080396,0.199616,0.551468,-0.035004,0.221033,0.493994,-0.053914,0.231190,0.454286,-0.068480,0.238200,0.415608,-0.079717,0.172682,0.517237,-0.029571,0.190180,0.442602,-0.046717,0.198347,0.396063,-0.059415,0.202747,0.352930,-0.068717,0.142424,0.504512,-0.027840,0.148562,0.430929,-0.046785,0.149101,0.384465,-0.059075,0.148987,0.340638,-0.066850,0.110541,0.508598,-0.029164,0.104460,0.446934,-0.047871,0.098280,0.408531,-0.057411,0.093077,0.370595,-0.062878
69,0,0.038100,0.036482,0.043686,0.038100,0.036482,0.113520,0.682763,0.000000,0.164170,0.695979,-0.036364,0.210591,0.679122,-0.053885,0.242987,0.643848,-0.067204,0.275537,0.615427,-0.079370,0.199245,0.551826,-0.034263,0.220590,0.494277,-0.052902,0.230808,0.454676,-0.067373,0.237690,0.416290,-0.078557,0.172285,0.517952,-0.028908,0.189797,0.442804,-0.045853,0.197800,0.396382,-0.058426,0.202089,0.353862,-0.067576,0.142060,0.505273,-0.027264,0.148183,0.431264,-0.046090,0.148448,0.384569,-0.058392,0.148153,0.340566,-0.066051,0.109987,0.509565,-0.028654,0.104134,0.447569,-0.047276,0.097942,0.408988,-0.056766,0.092774,0.370910,-0.062120
105,0,0.045606,0.058094,0.080699,0.050191,0.037391,0.114228,0.682704,0.000000,0.164733,0.695955,-0.036461,0.210765,0.679202,-0.054198,0.243080,0.644229,-0.067747,0.275254,0.614976,-0.080207,0.198948,0.552460,-0.035235,0.220236,0.495194,-0.054198,0.230583,0.455718,-0.068768,0.237651,0.417270,-0.079935,0.171732,0.518420,-0.029975,0.189002,0.443227,-0.047185,0.197310,0.396703,-0.059849,0.201902,0.354074,-0.069143,0.141406,0.505935,-0.028375,0.147484,0.432229,-0.047355,0.148213,0.385572,-0.059747,0.148286,0.341558,-0.067577,0.109389,0.510435,-0.029805,0.103643,0.448783,-0.048580,0.097531,0.410296,-0.058147,0.092348,0.372249,-0.063662
139,0,0.026907,0.028734,0.064206,0.055670,0.018862,0.113468,0.682990,0.000000,0.164297,0.696356,-0.036562,0.210327,0.679775,-0.054419,0.242219,0.644936,-0.068075,0.274532,0.615646,-0.080511,0.198825,0.552546,-0.034597,0.220254,0.495214,-0.053403,0.230254,0.455766,-0.067973,0.237042,0.417242,-0.079223,0.171802,0.518582,-0.029277,0.189392,0.444082,-0.046456,0.197568,0.397633,-0.059231,0.201854,0.354680,-0.068583,0.141451,0.506045,-0.027684,0.147462,0.432362,-0.046727,0.147974,0.385852,-0.059062,0.147678,0.342111,-0.066821,0.109308,0.510303,-0.029141,0.103269,0.448507,-0.047947,0.097034,0.409964,-0.057503,0.091729,0.372011,-0.062924
173,0,0.013049,0.020024,0.040119,0.063067,0.030137,0.113534,0.682518,0.000000,0.163842,0.695908,-0.036438,0.209947,0.679624,-0.054200,0.241783,0.644856,-0.067792,0.274261,0.615639,-0.080199,0.198770,0.552670,-0.034642,0.220171,0.495140,-0.053387,0.230343,0.455681,-0.067826,0.237107,0.417321,-0.078910,0.171671,0.518715,-0.029388,0.189005,0.444123,-0.046472,0.196820,0.397529,-0.059183,0.200879,0.354662,-0.068470,0.141263,0.506236,-0.027846,0.147206,0.432510,-0.046811,0.147476,0.385802,-0.059217,0.147191,0.341628,-0.066979,0.109000,0.510545,-0.029354,0.103090,0.448788,-0.048133,0.096900,0.410291,-0.057691,0.091708,0.372195,-0.063149
206,0,0.018424,0.016897,0.047759,0.063419,0.036729,0.113372,0.682222,0.000000,0.163631,0.695328,-0.035897,0.209603,0.678457,-0.053440,0.241354,0.643796,-0.066859,0.273753,0.615314,-0.079163,0.198577,0.552240,-0.034258,0.220075,0.495133,-0.053000,0.230493,0.456040,-0.067535,0.237630,0.417718,-0.078689,0.171512,0.518504,-0.029289,0.189051,0.444121,-0.046409,0.197117,0.397589,-0.059152,0.201265,0.354584,-0.068448,0.141238,0.505921,-0.027971,0.147270,0.432143,-0.046984,0.147714,0.385435,-0.059389,0.147436,0.341384,-0.067163,0.109112,0.510079,-0.029644,0.103080,0.448239,-0.048370,0.096864,0.409816,-0.057868,0.091671,0.372052,-0.063276
238,0,0.020021,0.022725,0.055525,0.054324,0.042620,0.113380,0.681395,0.000000,0.163803,0.694632,-0.036383,0.209563,0.678303,-0.054051,0.241108,0.643545,-0.067564,0.273438,0.614573,-0.079928,0.198845,0.551376,-0.034407,0.220293,0.494437,-0.053139,0.230953,0.455364,-0.067699,0.238380,0.416932,-0.078983,0.171754,0.517781,-0.029171,0.188966,0.444354,-0.046146,0.196792,0.397856,-0.058916,0.200870,0.354748,-0.068341,0.141308,0.505394,-0.027684,0.147257,0.432242,-0.046586,0.147805,0.385622,-0.058984,0.147823,0.341463,-0.066855,0.109152,0.509671,-0.029238,0.102944,0.448222,-0.048038,0.096690,0.409949,-0.057632,0.091410,0.372303,-0.063139
270,0,0.022568,0.027422,0.046217,0.060870,0.043875,0.113204,0.681728,0.000000,0.163888,0.694693,-0.036104,0.209480,0.677887,-0.053499,0.240935,0.642693,-0.066858,0.273413,0.613904,-0.079072,0.198669,0.551255,-0.033715,0.220095,0.493947,-0.052389,0.230851,0.454474,-0.066958,0.238270,0.415955,-0.078197,0.171583,0.517801,-0.028584,0.188667,0.444128,-0.045626,0.196659,0.397445,-0.058479,0.200806,0.354100,-0.067867,0.141130,0.505464,-0.027204,0.147092,0.432104,-0.046131,0.147692,0.385350,-0.058614,0.147761,0.341045,-0.066420,0.108906,0.509850,-0.028870,0.103227,0.448111,-0.047645,0.097139,0.409719,-0.057234,0.092043,0.371889,-0.062719
303,0,0.032247,0.031313,0.030770,0.043792,0.042255,0.113709,0.680584,0.000000,0.164009,0.693847,-0.036638,0.209863,0.677087,-0.054366,0.241063,0.641933,-0.067882,0.273385,0.612934,-0.080218,0.199295,0.550308,-0.034615,0.220534,0.493397,-0.053591,0.231141,0.453911,-0.068354,0.238525,0.415382,-0.079679,0.171947,0.516701,-0.029290,0.188921,0.443142,-0.046479,0.196634,0.396439,-0.059321,0.200715,0.353145,-0.068691,0.141485,0.504568,-0.027689,0.147372,0.431848,-0.046614,0.147730,0.385275,-0.058883,0.147701,0.341088,-0.066635,0.109355,0.509251,-0.029189,0.103297,0.447998,-0.047828,0.097031,0.409613,-0.057299,0.091879,0.371788,-0.062692
335,0,0.040467,0.027248,0.042456,0.048390,0.057634,0.114409,0.679248,0.000000,0.164663,0.693125,-0.037001,0.210175,0.676505,-0.054879,0.241623,0.641248,-0.068481,0.273851,0.611759,-0.080938,0.199790,0.549673,-0.035486,0.221038,0.492047,-0.054475,0.231627,0.452602,-0.069019,0.238973,0.414179,-0.080197,0.172468,0.516111,-0.029880,0.189512,0.443013,-0.047169,0.197283,0.396486,-0.059929,0.201282,0.353433,-0.069289,0.141843,0.503874,-0.028012,0.147806,0.430974,-0.047068,0.148347,0.384256,-0.059559,0.148407,0.340021,-0.067471,0.109603,0.508307,-0.029241,0.103587,0.446833,-0.048212,0.097273,0.408461,-0.058043,0.092169,0.370550,-0.063733
