t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
34,0,,,,0.000000,0.000000,0.163542,0.693442,0.000000,0.224117,0.689384,-0.026892,0.281140,0.654290,-0.038395,0.323269,0.613597,-0.047984,0.358641,0.585487,-0.056967,0.259693,0.534063,-0.021794,0.284004,0.464956,-0.037334,0.294189,0.420464,-0.049614,0.300850,0.379593,-0.059089,0.227220,0.507855,-0.020903,0.246201,0.426744,-0.035116,0.255945,0.376192,-0.046657,0.261039,0.333288,-0.054958,0.192987,0.501402,-0.023442,0.195451,0.421707,-0.038888,0.196003,0.372625,-0.049728,0.197158,0.329524,-0.056739,0.157902,0.511700,-0.028673,0.150337,0.448632,-0.044080,0.145364,0.407995,-0.052040,0.143148,0.369232,-0.056588
67,0,0.050788,0.049241,0.059116,0.050788,0.049241,0.163652,0.693297,0.000000,0.223808,0.689192,-0.026487,0.280737,0.653607,-0.037478,0.322884,0.613084,-0.046565,0.358113,0.585477,-0.055011,0.260115,0.533366,-0.020606,0.284362,0.464482,-0.035386,0.294230,0.419938,-0.047282,0.300884,0.379251,-0.056519,0.227411,0.506977,-0.019606,0.245915,0.426352,-0.032991,0.255557,0.375986,-0.044077,0.260716,0.333482,-0.052070,0.193168,0.500579,-0.022038,0.195614,0.421323,-0.036894,0.195922,0.372516,-0.047470,0.196927,0.330089,-0.054332,0.158238,0.510974,-0.027166,0.150712,0.448415,-0.042229,0.145521,0.407902,-0.050109,0.143125,0.369484,-0.054521
97,0,0.028823,0.028983,0.040583,0.029956,0.030063,0.163688,0.693462,0.000000,0.223851,0.689667,-0.026714,0.280868,0.653745,-0.037913,0.323100,0.612895,-0.047094,0.358369,0.585113,-0.055691,0.260418,0.534012,-0.021643,0.284357,0.464757,-0.036763,0.294172,0.419917,-0.048753,0.300639,0.378942,-0.058067,0.227642,0.507434,-0.020625,0.246204,0.426142,-0.034256,0.255613,0.375990,-0.045398,0.260651,0.333772,-0.053429,0.193285,0.500996,-0.022982,0.195739,0.421230,-0.038007,0.196160,0.372417,-0.048565,0.196978,0.329706,-0.055465,0.158141,0.511284,-0.028034,0.150739,0.448291,-0.043173,0.145744,0.407737,-0.051053,0.143436,0.369208,-0.055503
145,0,0.018781,0.020459,0.057314,0.021721,0.018894,0.163550,0.693162,0.000000,0.223596,0.689371,-0.027078,0.280328,0.653976,-0.038540,0.322412,0.613173,-0.048000,0.358096,0.585276,-0.056799,0.260052,0.533498,-0.021791,0.284459,0.464756,-0.037067,0.294467,0.420296,-0.049171,0.300975,0.379345,-0.058612,0.227428,0.507081,-0.020752,0.246408,0.426055,-0.034612,0.255848,0.375993,-0.045923,0.260746,0.333547,-0.054080,0.193135,0.500617,-0.023131,0.195979,0.421082,-0.038445,0.196146,0.372347,-0.049171,0.196939,0.329430,-0.056157,0.158037,0.511265,-0.028230,0.150874,0.448257,-0.043619,0.145769,0.407885,-0.051588,0.143185,0.369264,-0.056082
177,0,0.032879,0.042357,0.050584,0.045796,0.050809,0.163756,0.693788,0.000000,0.223904,0.689640,-0.026550,0.280719,0.653891,-0.037673,0.322948,0.613324,-0.046869,0.358346,0.585398,-0.055442,0.260099,0.533440,-0.020659,0.284247,0.464533,-0.035558,0.294254,0.419988,-0.047549,0.300905,0.379311,-0.056877,0.227568,0.507126,-0.019733,0.246331,0.425794,-0.033140,0.255902,0.375642,-0.044301,0.260833,0.333403,-0.052383,0.193379,0.500767,-0.022264,0.195795,0.421167,-0.037049,0.196280,0.372202,-0.047700,0.197185,0.329457,-0.054687,0.158338,0.511307,-0.027494,0.150760,0.448426,-0.042450,0.145681,0.407911,-0.050268,0.143344,0.369282,-0.054724
208,0,0.013843,0.018050,0.036781,0.040580,0.053486,0.163899,0.694376,0.000000,0.223851,0.689885,-0.026441,0.280856,0.653638,-0.037570,0.323031,0.613179,-0.046788,0.358426,0.585259,-0.055418,0.260000,0.533461,-0.020914,0.284288,0.464626,-0.035942,0.294407,0.420313,-0.047999,0.301135,0.379595,-0.057387,0.227471,0.507224,-0.020082,0.246407,0.426162,-0.033614,0.256159,0.376009,-0.044781,0.261333,0.333616,-0.052806,0.193196,0.500924,-0.022656,0.195741,0.421272,-0.037532,0.196336,0.372475,-0.047999,0.197492,0.329727,-0.054851,0.158138,0.511417,-0.027898,0.150741,0.448577,-0.042851,0.145821,0.408117,-0.050497,0.143648,0.369359,-0.054851
243,0,0.030332,0.034684,0.044739,0.018273,0.021228,0.163766,0.694080,0.000000,0.223977,0.689873,-0.026970,0.280864,0.654419,-0.038486,0.322718,0.613797,-0.048031,0.358234,0.585295,-0.056933,0.260021,0.533862,-0.021591,0.284241,0.464749,-0.037027,0.294306,0.420297,-0.049281,0.301034,0.379309,-0.058789,0.227419,0.507721,-0.020644,0.246420,0.426312,-0.034660,0.256216,0.376087,-0.046099,0.261374,0.333464,-0.054319,0.193058,0.501683,-0.023163,0.195448,0.421968,-0.038467,0.196159,0.372911,-0.049206,0.197576,0.329719,-0.056138,0.157996,0.512306,-0.028372,0.150628,0.449190,-0.043713,0.145727,0.408426,-0.051592,0.143527,0.369503,-0.056062
271,0,0.018738,0.018612,0.054016,0.027400,0.031116,0.163676,0.694167,0.000000,0.224261,0.690416,-0.026881,0.280816,0.655330,-0.038231,0.322722,0.614013,-0.047595,0.357972,0.585661,-0.056334,0.260023,0.534214,-0.021319,0.284430,0.464964,-0.036528,0.294388,0.420314,-0.048578,0.300965,0.379620,-0.057886,0.227555,0.507862,-0.020279,0.246398,0.426619,-0.034107,0.256046,0.376347,-0.045400,0.261082,0.333943,-0.053535,0.193296,0.501583,-0.022681,0.195538,0.421622,-0.037985,0.195975,0.372496,-0.048805,0.196924,0.329561,-0.055805,0.158370,0.512157,-0.027789,0.150680,0.449004,-0.043244,0.145634,0.408139,-0.051340,0.143289,0.369482,-0.055918
304,0,0.016065,0.024193,0.059236,0.020541,0.032862,0.164038,0.694535,0.000000,0.224041,0.690559,-0.026618,0.280583,0.654880,-0.038075,0.322624,0.614097,-0.047603,0.358101,0.585964,-0.056488,0.260267,0.534365,-0.021722,0.284244,0.465078,-0.037092,0.294268,0.420401,-0.049267,0.300960,0.379526,-0.058644,0.227738,0.507900,-0.020909,0.246538,0.426315,-0.034766,0.256182,0.376239,-0.045902,0.261112,0.333911,-0.053917,0.193398,0.501493,-0.023499,0.195832,0.421654,-0.038699,0.196186,0.372564,-0.049229,0.197070,0.329589,-0.056072,0.158431,0.512141,-0.028774,0.150754,0.448799,-0.043973,0.145699,0.407915,-0.051762,0.143233,0.369176,-0.056110
334,0,0.015325,0.018112,0.049108,0.022107,0.030122,0.163418,0.694650,0.000000,0.223623,0.690228,-0.026949,0.280554,0.654916,-0.038502,0.322679,0.614534,-0.048103,0.358181,0.586267,-0.057080,0.259928,0.534170,-0.021609,0.284351,0.465190,-0.036930,0.294501,0.420693,-0.049088,0.301233,0.379871,-0.058519,0.227365,0.507952,-0.020662,0.246212,0.426968,-0.034525,0.255992,0.376629,-0.045831,0.261098,0.333954,-0.054012,0.193065,0.501685,-0.023181,0.195564,0.421983,-0.038426,0.195826,0.372879,-0.049126,0.196793,0.330002,-0.056095,0.157933,0.512007,-0.028389,0.150545,0.448991,-0.043710,0.145485,0.408262,-0.051702,0.143233,0.369450,-0.056209
