t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
43,0,,,,0.000000,0.000000,0.199376,0.767069,0.000000,0.255635,0.752060,-0.024540,0.302516,0.704775,-0.032310,0.327112,0.649958,-0.037958,0.348035,0.606432,-0.042905,0.276750,0.602547,-0.012910,0.294863,0.536623,-0.025610,0.301222,0.493763,-0.037116,0.304847,0.455891,-0.045852,0.245826,0.586234,-0.011033,0.258082,0.510445,-0.022470,0.261925,0.462210,-0.034099,0.262730,0.422391,-0.042659,0.215506,0.586216,-0.012603,0.221294,0.514232,-0.025311,0.224524,0.470151,-0.034906,0.226798,0.432443,-0.041221,0.183559,0.598760,-0.016681,0.183338,0.540624,-0.029539,0.183866,0.503450,-0.035994,0.185232,0.469203,-0.039572
73,0,0.025835,0.035929,0.025131,0.025835,0.035929,0.199581,0.766657,0.000000,0.255539,0.751976,-0.024717,0.302380,0.705115,-0.032710,0.327283,0.650351,-0.038495,0.348114,0.606521,-0.043649,0.276519,0.602933,-0.013594,0.294535,0.536853,-0.026522,0.300717,0.494007,-0.038110,0.304303,0.456048,-0.046874,0.245742,0.586605,-0.011727,0.257849,0.510463,-0.023367,0.261612,0.462359,-0.035042,0.262451,0.422637,-0.043684,0.215367,0.586797,-0.013279,0.221360,0.514449,-0.026154,0.224436,0.470305,-0.035796,0.226759,0.432626,-0.042141,0.183385,0.599397,-0.017337,0.183318,0.541016,-0.030309,0.184144,0.503824,-0.036777,0.185789,0.469395,-0.040423
100,0,0.012587,0.016039,0.035437,0.020763,0.027854,0.199203,0.766607,0.000000,0.255240,0.751997,-0.024802,0.302024,0.704907,-0.032743,0.327050,0.650335,-0.038516,0.347635,0.606340,-0.043588,0.276623,0.602562,-0.013285,0.294560,0.536609,-0.026114,0.300684,0.493920,-0.037676,0.304240,0.456040,-0.046457,0.245762,0.586394,-0.011361,0.257902,0.510456,-0.022896,0.261820,0.462623,-0.034580,0.262768,0.422932,-0.043203,0.215311,0.586710,-0.012900,0.221067,0.514747,-0.025730,0.224308,0.470393,-0.035437,0.226746,0.432703,-0.041804,0.183333,0.599598,-0.016966,0.183373,0.541253,-0.029945,0.184144,0.503812,-0.036487,0.185854,0.469340,-0.040160
128,0,0.018289,0.018610,0.029636,0.033896,0.039303,0.199117,0.766693,0.000000,0.255100,0.752206,-0.024989,0.301704,0.705427,-0.033108,0.326456,0.650570,-0.039023,0.347129,0.606621,-0.044238,0.276725,0.602912,-0.013728,0.294652,0.536605,-0.026756,0.300844,0.493515,-0.038393,0.304258,0.455530,-0.047178,0.245879,0.586639,-0.011751,0.257949,0.510605,-0.023536,0.261801,0.462453,-0.035348,0.262627,0.422576,-0.044028,0.215413,0.586857,-0.013238,0.221302,0.514879,-0.026231,0.224431,0.470347,-0.036013,0.226888,0.432386,-0.042453,0.183292,0.599599,-0.017245,0.183294,0.541319,-0.030361,0.184133,0.503863,-0.037028,0.185890,0.469215,-0.040773
159,0,0.016680,0.019315,0.018004,0.023807,0.031894,0.199427,0.766650,0.000000,0.255393,0.751952,-0.024585,0.302050,0.705276,-0.032441,0.326903,0.650335,-0.038146,0.347553,0.606714,-0.043185,0.276804,0.602846,-0.013263,0.294772,0.536723,-0.026072,0.300978,0.493790,-0.037551,0.304313,0.455835,-0.046265,0.245905,0.586790,-0.011435,0.257991,0.511068,-0.023062,0.261813,0.462807,-0.034768,0.262573,0.422920,-0.043360,0.215404,0.587084,-0.013036,0.221205,0.514883,-0.025932,0.224455,0.470551,-0.035661,0.226920,0.432739,-0.042065,0.183413,0.599665,-0.017139,0.183236,0.541430,-0.030219,0.184067,0.503954,-0.036886,0.185828,0.469453,-0.040630
199,0,0.014254,0.018358,0.038685,0.028741,0.032243,0.198763,0.766780,0.000000,0.254832,0.752424,-0.024881,0.301902,0.705386,-0.032790,0.326635,0.650511,-0.038482,0.347436,0.606899,-0.043476,0.276557,0.602901,-0.013497,0.294655,0.536841,-0.026382,0.300795,0.493988,-0.037993,0.304325,0.456067,-0.046793,0.245674,0.586614,-0.011489,0.257786,0.510940,-0.023065,0.261418,0.462796,-0.034850,0.262252,0.422973,-0.043546,0.215171,0.586783,-0.012920,0.221152,0.515015,-0.025684,0.224113,0.470743,-0.035392,0.226460,0.432817,-0.041800,0.183122,0.599496,-0.016884,0.183267,0.541255,-0.029787,0.184156,0.503908,-0.036282,0.185857,0.469313,-0.039949
241,0,0.017346,0.034915,0.052115,0.022993,0.023998,0.199457,0.767236,0.000000,0.255263,0.752224,-0.024658,0.302356,0.704881,-0.032387,0.326632,0.649558,-0.037913,0.347506,0.606085,-0.042740,0.276689,0.602567,-0.013570,0.294444,0.536071,-0.026336,0.300709,0.493029,-0.037808,0.304331,0.454989,-0.046517,0.245780,0.586628,-0.011629,0.257662,0.510533,-0.023119,0.261443,0.462114,-0.034748,0.262369,0.422161,-0.043334,0.215297,0.586890,-0.013098,0.221031,0.514688,-0.025777,0.224269,0.470526,-0.035447,0.226792,0.432598,-0.041795,0.183174,0.599521,-0.017068,0.183250,0.540948,-0.029939,0.184012,0.503610,-0.036444,0.185635,0.469057,-0.040082
279,0,0.024996,0.026301,0.037766,0.013756,0.021060,0.200002,0.766667,0.000000,0.255679,0.751503,-0.024301,0.302542,0.704334,-0.032010,0.326940,0.649514,-0.037599,0.347659,0.605967,-0.042470,0.276882,0.602189,-0.012895,0.294600,0.536167,-0.025563,0.300648,0.493286,-0.037039,0.304067,0.455434,-0.045729,0.245863,0.585945,-0.011091,0.258055,0.510209,-0.022462,0.261930,0.462035,-0.034060,0.262833,0.422453,-0.042610,0.215397,0.586120,-0.012694,0.221269,0.514084,-0.025352,0.224492,0.470199,-0.034936,0.226785,0.433010,-0.041174,0.183334,0.598698,-0.016776,0.183305,0.540064,-0.029540,0.183951,0.502817,-0.035953,0.185536,0.468544,-0.039492
323,0,0.023325,0.021954,0.046875,0.019434,0.023543,0.199617,0.766931,0.000000,0.255310,0.751609,-0.024750,0.301947,0.704581,-0.032801,0.326795,0.650154,-0.038683,0.347295,0.606045,-0.043829,0.276580,0.602554,-0.013303,0.294592,0.536582,-0.026185,0.300804,0.493605,-0.037807,0.304401,0.455664,-0.046559,0.245697,0.586358,-0.011351,0.257813,0.510698,-0.022929,0.261737,0.462394,-0.034622,0.262632,0.422529,-0.043233,0.215299,0.586513,-0.012848,0.221252,0.514483,-0.025625,0.224570,0.470325,-0.035304,0.227031,0.432648,-0.041658,0.183296,0.599207,-0.016865,0.183379,0.541061,-0.029861,0.184067,0.503590,-0.036442,0.185505,0.469155,-0.040083
351,0,0.011869,0.012802,0.031851,0.019639,0.027839,0.199794,0.766508,0.000000,0.255439,0.750982,-0.024594,0.302030,0.704366,-0.032554,0.326964,0.649884,-0.038344,0.347716,0.605945,-0.043416,0.276515,0.602532,-0.013216,0.294352,0.536209,-0.025994,0.300525,0.493154,-0.037539,0.304183,0.455173,-0.046285,0.245634,0.586421,-0.011291,0.257764,0.510644,-0.022793,0.261762,0.462307,-0.034583,0.262829,0.422449,-0.043276,0.215255,0.586512,-0.012778,0.221222,0.514348,-0.025504,0.224554,0.470366,-0.035230,0.227109,0.432978,-0.041632,0.183188,0.598939,-0.016758,0.183309,0.540498,-0.029632,0.184147,0.503102,-0.036140,0.185802,0.468695,-0.039778
