t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
33,0,,,,0.000000,0.000000,0.175506,0.765359,0.000000,0.228775,0.741683,-0.023651,0.273243,0.688306,-0.031197,0.299895,0.630378,-0.036770,0.320244,0.583856,-0.041692,0.249434,0.593288,-0.013373,0.274484,0.526556,-0.026817,0.285047,0.485213,-0.038254,0.292157,0.447612,-0.046578,0.215525,0.577292,-0.012061,0.229603,0.497699,-0.023452,0.236367,0.449927,-0.034291,0.239596,0.409640,-0.041981,0.182165,0.580620,-0.014196,0.178645,0.510050,-0.026727,0.178647,0.465158,-0.035793,0.180317,0.425400,-0.041981,0.149483,0.598181,-0.018801,0.144748,0.544493,-0.030672,0.143703,0.511489,-0.035521,0.145100,0.479738,-0.038290
71,0,0.043655,0.040308,0.049890,0.043655,0.040308,0.174792,0.766820,0.000000,0.227285,0.743446,-0.024159,0.272171,0.689717,-0.031880,0.299488,0.631237,-0.037480,0.319777,0.583875,-0.042301,0.248316,0.594543,-0.013593,0.273410,0.527463,-0.026987,0.283936,0.486046,-0.038386,0.291005,0.448277,-0.046615,0.214452,0.578127,-0.011935,0.229199,0.498154,-0.023126,0.236042,0.450388,-0.033747,0.239091,0.410006,-0.041214,0.181092,0.580920,-0.013765,0.177889,0.510066,-0.025935,0.177993,0.465475,-0.034653,0.179748,0.426039,-0.040598,0.148496,0.597868,-0.018133,0.144229,0.544001,-0.029506,0.143364,0.511278,-0.033874,0.144995,0.479849,-0.036302
104,0,0.039527,0.047912,0.069307,0.048080,0.025765,0.174944,0.766362,0.000000,0.227585,0.742653,-0.023564,0.272605,0.689187,-0.031151,0.299718,0.631096,-0.036774,0.319132,0.583941,-0.041778,0.248328,0.594684,-0.014011,0.273106,0.527777,-0.027749,0.283759,0.486383,-0.039267,0.290693,0.448730,-0.047491,0.214446,0.578743,-0.012801,0.228677,0.498406,-0.024310,0.235487,0.450685,-0.035100,0.238843,0.410525,-0.042760,0.181105,0.581595,-0.014975,0.177641,0.510773,-0.027439,0.177727,0.466122,-0.036319,0.179466,0.426714,-0.042433,0.148568,0.598653,-0.019615,0.144112,0.544741,-0.031242,0.143215,0.511914,-0.035810,0.144715,0.480332,-0.038430
138,0,0.022700,0.017816,0.067319,0.065691,0.028234,0.174331,0.766255,0.000000,0.226932,0.742060,-0.023648,0.271975,0.689181,-0.031283,0.298950,0.631596,-0.036959,0.318792,0.584634,-0.042037,0.247682,0.594450,-0.013855,0.272620,0.527866,-0.027565,0.282995,0.486679,-0.039099,0.290173,0.449094,-0.047404,0.213808,0.578501,-0.012667,0.228572,0.498655,-0.024246,0.235501,0.451068,-0.035073,0.238779,0.410852,-0.042689,0.180480,0.581771,-0.014889,0.177018,0.511333,-0.027492,0.176894,0.466747,-0.036342,0.178241,0.427077,-0.042363,0.147775,0.599455,-0.019567,0.143717,0.545702,-0.031283,0.143001,0.513048,-0.035780,0.144626,0.481297,-0.038337
172,0,0.026703,0.026180,0.059587,0.072891,0.029613,0.174393,0.766407,0.000000,0.227119,0.742594,-0.023617,0.271684,0.689561,-0.031157,0.298286,0.631384,-0.036721,0.317951,0.584059,-0.041615,0.247724,0.595018,-0.013503,0.272401,0.527890,-0.026988,0.282763,0.486723,-0.038352,0.289486,0.448985,-0.046544,0.213834,0.579236,-0.012225,0.228132,0.499259,-0.023707,0.234892,0.451313,-0.034528,0.237900,0.410656,-0.042158,0.180382,0.582618,-0.014382,0.176321,0.512155,-0.026952,0.175761,0.467348,-0.035960,0.177006,0.427582,-0.042086,0.147826,0.599707,-0.018995,0.143428,0.545856,-0.030758,0.142428,0.513114,-0.035470,0.143872,0.481634,-0.038135
207,0,0.038196,0.032030,0.042159,0.109837,0.058202,0.173995,0.766383,0.000000,0.226564,0.742312,-0.023274,0.270980,0.689718,-0.030924,0.297541,0.631686,-0.036693,0.317175,0.584477,-0.041919,0.247150,0.595713,-0.013961,0.271967,0.528495,-0.027832,0.282383,0.487130,-0.039351,0.289357,0.449418,-0.047561,0.213229,0.579905,-0.012948,0.227552,0.499967,-0.024902,0.234422,0.452175,-0.035915,0.237682,0.411585,-0.043619,0.179883,0.583114,-0.015290,0.175806,0.512467,-0.028248,0.175452,0.467432,-0.037326,0.176850,0.427650,-0.043474,0.147252,0.600252,-0.020019,0.142690,0.546285,-0.032136,0.141989,0.513405,-0.036928,0.143559,0.481722,-0.039604
241,0,0.041902,0.032400,0.052466,0.113116,0.040763,0.173121,0.766494,0.000000,0.225475,0.742772,-0.023354,0.269953,0.689426,-0.030838,0.296937,0.631423,-0.036356,0.316986,0.584364,-0.041225,0.246460,0.595479,-0.013570,0.271420,0.528527,-0.027069,0.281974,0.487581,-0.038340,0.288922,0.449972,-0.046455,0.212631,0.579724,-0.012371,0.227045,0.499900,-0.023877,0.233667,0.452153,-0.034589,0.236603,0.411437,-0.042091,0.179268,0.582890,-0.014544,0.174984,0.512842,-0.027123,0.174450,0.468185,-0.035905,0.175521,0.428312,-0.041838,0.146698,0.600137,-0.019134,0.142219,0.546513,-0.030784,0.141308,0.514125,-0.035166,0.142726,0.482635,-0.037582
275,0,0.028330,0.033510,0.061053,0.137969,0.038759,0.172721,0.767751,0.000000,0.225551,0.743921,-0.023307,0.269746,0.690121,-0.030691,0.295958,0.631607,-0.036179,0.315595,0.584505,-0.041018,0.246027,0.596243,-0.013540,0.271140,0.528963,-0.027225,0.281808,0.487694,-0.038598,0.288608,0.449821,-0.046795,0.211954,0.580330,-0.012439,0.226489,0.500294,-0.024300,0.233432,0.452370,-0.035168,0.236449,0.411429,-0.042715,0.178552,0.583445,-0.014714,0.173916,0.512994,-0.027676,0.173326,0.468171,-0.036613,0.174451,0.428182,-0.042570,0.145962,0.600511,-0.019389,0.141417,0.546777,-0.031413,0.140756,0.514439,-0.035999,0.142482,0.483024,-0.038490
308,0,0.028150,0.020647,0.062900,0.140598,0.036075,0.172116,0.767648,0.000000,0.224590,0.744044,-0.023699,0.268748,0.690245,-0.031231,0.295628,0.631588,-0.036698,0.315012,0.584203,-0.041496,0.246017,0.595523,-0.014104,0.270902,0.528224,-0.027574,0.281445,0.487175,-0.038853,0.288163,0.449321,-0.047000,0.211771,0.579336,-0.012728,0.225850,0.499534,-0.024170,0.232485,0.452003,-0.034815,0.235300,0.411567,-0.042329,0.178168,0.582526,-0.014728,0.173596,0.512612,-0.027266,0.172731,0.467992,-0.036119,0.173723,0.428183,-0.042184,0.145597,0.599937,-0.019173,0.140956,0.546554,-0.030850,0.139971,0.514508,-0.035340,0.141325,0.483358,-0.037875
340,0,0.029570,0.046672,0.051013,0.162663,0.073088,0.172832,0.769020,0.000000,0.224975,0.744328,-0.023134,0.268914,0.690036,-0.030592,0.295125,0.631645,-0.036198,0.314736,0.584730,-0.041188,0.245831,0.595863,-0.013590,0.270533,0.528830,-0.027308,0.281165,0.487639,-0.038793,0.287960,0.449642,-0.047067,0.211512,0.580205,-0.012701,0.225496,0.500171,-0.024404,0.232252,0.452327,-0.035255,0.235338,0.411368,-0.042894,0.177878,0.583669,-0.015178,0.173126,0.513654,-0.027888,0.172425,0.468977,-0.036725,0.173371,0.428966,-0.042712,0.145182,0.601196,-0.020068,0.140660,0.547389,-0.031753,0.139586,0.514737,-0.036144,0.140942,0.482863,-0.038612
373,0,0.033684,0.056977,0.069291,0.170793,0.040643,0.171403,0.767968,0.000000,0.224021,0.743586,-0.023927,0.268235,0.690926,-0.031739,0.294160,0.632206,-0.037498,0.313633,0.584594,-0.042622,0.245133,0.596090,-0.014053,0.270345,0.528728,-0.027779,0.280765,0.487382,-0.039170,0.287793,0.449514,-0.047345,0.210923,0.580191,-0.012581,0.225046,0.500131,-0.024127,0.231709,0.452544,-0.034828,0.234720,0.411960,-0.042367,0.177360,0.583540,-0.014543,0.173034,0.513628,-0.026997,0.172312,0.468986,-0.035736,0.173264,0.428999,-0.041713,0.144702,0.600917,-0.018985,0.140184,0.547361,-0.030431,0.139178,0.514934,-0.034791,0.140442,0.483197,-0.037280
406,0,0.025165,0.025710,0.064376,0.181524,0.043354,0.171025,0.768595,0.000000,0.223267,0.744301,-0.023436,0.267310,0.690441,-0.030885,0.293838,0.631598,-0.036305,0.313518,0.584284,-0.041108,0.244973,0.596335,-0.014128,0.269992,0.528861,-0.027659,0.280401,0.487551,-0.038860,0.287391,0.449753,-0.046908,0.210721,0.580553,-0.012887,0.224824,0.500497,-0.024342,0.231567,0.452702,-0.034909,0.234684,0.412163,-0.042376,0.177156,0.583872,-0.015008,0.172257,0.514039,-0.027478,0.171377,0.469102,-0.036286,0.172222,0.429016,-0.042304,0.144418,0.601196,-0.019557,0.139927,0.547299,-0.031085,0.138818,0.514832,-0.035525,0.140113,0.482969,-0.038063
