t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
26,0,,,,0.000000,0.000000,0.181576,0.741397,0.000000,0.244231,0.737312,-0.027851,0.302645,0.697326,-0.037976,0.342009,0.649773,-0.045748,0.374296,0.611051,-0.052753,0.281540,0.579035,-0.017792,0.311544,0.512064,-0.032502,0.325368,0.467888,-0.045250,0.335377,0.427765,-0.054974,0.249689,0.553981,-0.015868,0.272894,0.475458,-0.028788,0.283641,0.424444,-0.041690,0.289924,0.381469,-0.051299,0.216290,0.547569,-0.017610,0.230190,0.470593,-0.031947,0.237885,0.422675,-0.042991,0.244382,0.381342,-0.050380,0.180614,0.556226,-0.022127,0.183575,0.493376,-0.037019,0.185661,0.451975,-0.044561,0.189408,0.414028,-0.048734
61,0,0.019457,0.023286,0.024550,0.019457,0.023286,0.182732,0.741576,0.000000,0.245318,0.737315,-0.027569,0.303402,0.697696,-0.037645,0.342470,0.650462,-0.045426,0.374344,0.611592,-0.052500,0.281916,0.579632,-0.017694,0.311720,0.512465,-0.032368,0.325627,0.468309,-0.045158,0.335745,0.428116,-0.054833,0.250089,0.554661,-0.015830,0.273231,0.476008,-0.028774,0.284158,0.424793,-0.041679,0.290613,0.381595,-0.051276,0.216576,0.548232,-0.017589,0.230256,0.470806,-0.031967,0.238049,0.422894,-0.042979,0.244771,0.381920,-0.050282,0.180982,0.556628,-0.022101,0.183822,0.493169,-0.036995,0.186028,0.451494,-0.044547,0.189998,0.413711,-0.048676
90,0,0.016178,0.014698,0.025210,0.029784,0.026391,0.182909,0.741475,0.000000,0.245645,0.737139,-0.027457,0.303684,0.697490,-0.037372,0.343065,0.650189,-0.044961,0.375299,0.611991,-0.051902,0.282480,0.579477,-0.017513,0.312242,0.512490,-0.032110,0.326185,0.468601,-0.044809,0.336249,0.428612,-0.054457,0.250452,0.554582,-0.015778,0.273590,0.475662,-0.028735,0.284159,0.424680,-0.041605,0.290303,0.381678,-0.051139,0.216959,0.548478,-0.017666,0.230392,0.471194,-0.032072,0.238115,0.423154,-0.043054,0.244733,0.381821,-0.050338,0.181210,0.557026,-0.022309,0.183816,0.493688,-0.037201,0.186120,0.452076,-0.044694,0.190249,0.414008,-0.048813
124,0,0.016767,0.021490,0.040717,0.034120,0.022185,0.182582,0.741768,0.000000,0.245279,0.737126,-0.027448,0.303755,0.697410,-0.037431,0.342908,0.650292,-0.045124,0.375111,0.611686,-0.052110,0.282016,0.579523,-0.017380,0.311890,0.512529,-0.031972,0.325954,0.468477,-0.044704,0.336105,0.428393,-0.054400,0.250203,0.554677,-0.015595,0.273626,0.476013,-0.028345,0.284404,0.424997,-0.041153,0.290470,0.381964,-0.050659,0.216789,0.548203,-0.017446,0.230822,0.471006,-0.031590,0.238530,0.423151,-0.042413,0.244960,0.382081,-0.049667,0.181263,0.556316,-0.022047,0.184167,0.493060,-0.036649,0.186470,0.451554,-0.043940,0.190269,0.413932,-0.047949
158,0,0.018576,0.018241,0.040288,0.044295,0.033655,0.182477,0.742208,0.000000,0.245315,0.737237,-0.026948,0.303594,0.697323,-0.036746,0.342920,0.650447,-0.044347,0.375022,0.612095,-0.051223,0.281534,0.579384,-0.016864,0.311626,0.512843,-0.031379,0.325877,0.468975,-0.044042,0.336187,0.429154,-0.053629,0.249804,0.554612,-0.015298,0.273491,0.475888,-0.027961,0.284643,0.424907,-0.040604,0.291165,0.382060,-0.050001,0.216643,0.548149,-0.017342,0.230444,0.471122,-0.031379,0.238387,0.423306,-0.042094,0.245111,0.382498,-0.049237,0.181265,0.556576,-0.022116,0.184043,0.493393,-0.036574,0.186336,0.452045,-0.043736,0.190398,0.414396,-0.047632
189,0,0.033052,0.027619,0.033062,0.043370,0.017301,0.182350,0.742634,0.000000,0.244743,0.737808,-0.027263,0.303485,0.697909,-0.037288,0.343009,0.650958,-0.045075,0.375092,0.612427,-0.052154,0.282200,0.580338,-0.017372,0.311885,0.513362,-0.032199,0.325909,0.469078,-0.045113,0.336020,0.428788,-0.054871,0.250147,0.555490,-0.015832,0.273337,0.476478,-0.028813,0.284189,0.425226,-0.041708,0.290458,0.382029,-0.051274,0.216641,0.549135,-0.017889,0.230316,0.471925,-0.032104,0.238234,0.423851,-0.042779,0.245051,0.382509,-0.049897,0.180888,0.557485,-0.022729,0.183987,0.494468,-0.037212,0.186589,0.453290,-0.044233,0.190969,0.415630,-0.048060
236,0,0.019219,0.025543,0.054587,0.032967,0.018150,0.181393,0.742515,0.000000,0.244415,0.738077,-0.027532,0.302904,0.698651,-0.037723,0.342258,0.651205,-0.045657,0.374866,0.612422,-0.052846,0.281584,0.580616,-0.017513,0.311439,0.513471,-0.032293,0.325416,0.469363,-0.045160,0.335662,0.429078,-0.054949,0.249788,0.555549,-0.015754,0.273134,0.476854,-0.028736,0.284152,0.425618,-0.041642,0.290485,0.382263,-0.051278,0.216323,0.549027,-0.017647,0.230536,0.471791,-0.032044,0.238093,0.423647,-0.043095,0.244530,0.382225,-0.050437,0.180733,0.557116,-0.022274,0.184119,0.493865,-0.037072,0.186617,0.452583,-0.044510,0.190389,0.414867,-0.048640
268,0,0.021905,0.021732,0.050349,0.037781,0.021517,0.181330,0.742254,0.000000,0.243920,0.738559,-0.028084,0.302399,0.698981,-0.038388,0.341822,0.651146,-0.046341,0.374420,0.612086,-0.053529,0.280908,0.580712,-0.018066,0.310886,0.513499,-0.032997,0.324872,0.469390,-0.045882,0.335116,0.429087,-0.055670,0.249238,0.555713,-0.016049,0.272575,0.476629,-0.029135,0.283784,0.425306,-0.042058,0.290768,0.382021,-0.051694,0.215958,0.548958,-0.017731,0.229996,0.471727,-0.032308,0.237600,0.423479,-0.043397,0.244230,0.381873,-0.050738,0.180352,0.557239,-0.022214,0.183743,0.493902,-0.037241,0.186134,0.452492,-0.044850,0.190062,0.414470,-0.049055
302,0,0.030549,0.025461,0.039537,0.033259,0.019484,0.180259,0.742057,0.000000,0.242995,0.737614,-0.027767,0.301899,0.697918,-0.037965,0.341264,0.650611,-0.045833,0.374099,0.612086,-0.052976,0.280361,0.579540,-0.017741,0.310261,0.512536,-0.032523,0.324248,0.468581,-0.045337,0.334641,0.428802,-0.055038,0.248523,0.554725,-0.015889,0.271989,0.475661,-0.028722,0.283274,0.424652,-0.041479,0.290350,0.381685,-0.050952,0.215270,0.548795,-0.017722,0.229450,0.471606,-0.032083,0.236837,0.423390,-0.043083,0.243261,0.381811,-0.050340,0.179605,0.557455,-0.022344,0.183281,0.494247,-0.037202,0.185661,0.452728,-0.044649,0.189527,0.414553,-0.048774
331,0,0.026007,0.027894,0.024963,0.036469,0.024241,0.180469,0.741976,0.000000,0.243195,0.737091,-0.027630,0.301776,0.697346,-0.037804,0.340979,0.650081,-0.045717,0.373898,0.611619,-0.052922,0.279873,0.579205,-0.017225,0.309814,0.512312,-0.031960,0.323799,0.468450,-0.044836,0.334256,0.428552,-0.054570,0.248168,0.554411,-0.015434,0.271553,0.475336,-0.028185,0.282695,0.424394,-0.040927,0.289649,0.381404,-0.050469,0.214919,0.548124,-0.017350,0.229149,0.470844,-0.031653,0.236706,0.422550,-0.042575,0.243046,0.380843,-0.049856,0.179238,0.556472,-0.022035,0.183029,0.493278,-0.036769,0.185339,0.452100,-0.044070,0.189083,0.414243,-0.048093
