t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
27,0,,,,0.000000,0.000000,0.144295,0.713688,0.000000,0.196109,0.720279,-0.028169,0.247874,0.696868,-0.038779,0.281091,0.656704,-0.046601,0.308561,0.622363,-0.053235,0.241100,0.586810,-0.018812,0.266309,0.532425,-0.032311,0.276810,0.494893,-0.043466,0.283601,0.460985,-0.051981,0.215910,0.559815,-0.015635,0.238988,0.495150,-0.027608,0.248640,0.453076,-0.038416,0.254128,0.416907,-0.046403,0.188030,0.549867,-0.016089,0.202441,0.485576,-0.030099,0.208725,0.445083,-0.040496,0.213682,0.410299,-0.047261,0.156159,0.553378,-0.019208,0.154591,0.498462,-0.034192,0.153442,0.461543,-0.042476,0.153529,0.427160,-0.047129
77,0,0.015871,0.016826,0.041577,0.015871,0.016826,0.144554,0.713706,0.000000,0.195859,0.720327,-0.028564,0.247147,0.696962,-0.039415,0.280564,0.657035,-0.047397,0.308165,0.622528,-0.054225,0.241221,0.586741,-0.019196,0.266382,0.532361,-0.032852,0.277033,0.494888,-0.044198,0.283879,0.460699,-0.052840,0.216074,0.559715,-0.015865,0.239116,0.495058,-0.027921,0.248829,0.452715,-0.038822,0.254464,0.416340,-0.046837,0.187897,0.549615,-0.016195,0.202456,0.485466,-0.030196,0.208839,0.445144,-0.040570,0.213975,0.410347,-0.047331,0.155897,0.553109,-0.019246,0.154521,0.498337,-0.034171,0.153432,0.461789,-0.042384,0.153733,0.427578,-0.046968
125,0,0.013116,0.018130,0.035243,0.018187,0.028882,0.144475,0.714106,0.000000,0.195636,0.720155,-0.028533,0.246608,0.696768,-0.039484,0.279924,0.656887,-0.047631,0.307485,0.622319,-0.054591,0.240930,0.586539,-0.019033,0.266319,0.532015,-0.032738,0.276837,0.494441,-0.044102,0.283615,0.460296,-0.052711,0.215929,0.559716,-0.015734,0.238984,0.495081,-0.027774,0.248474,0.452818,-0.038659,0.254038,0.416488,-0.046675,0.187827,0.549750,-0.016113,0.202277,0.485372,-0.030116,0.208495,0.445018,-0.040440,0.213473,0.410192,-0.047169,0.155974,0.553267,-0.019231,0.154265,0.498270,-0.034140,0.152954,0.461572,-0.042353,0.153036,0.427208,-0.046938
159,0,0.043517,0.025202,0.046881,0.048365,0.039849,0.143695,0.713919,0.000000,0.194835,0.719778,-0.027823,0.245948,0.696003,-0.038540,0.279138,0.656234,-0.046598,0.306808,0.621829,-0.053500,0.240116,0.585657,-0.018329,0.265664,0.530844,-0.031852,0.275763,0.493215,-0.043097,0.282150,0.458967,-0.051618,0.214937,0.559100,-0.015348,0.237910,0.494647,-0.027146,0.247505,0.452521,-0.037912,0.252999,0.416195,-0.045871,0.186967,0.549340,-0.015992,0.201259,0.484776,-0.029673,0.207463,0.444553,-0.039795,0.212400,0.409675,-0.046433,0.155171,0.553012,-0.019319,0.153577,0.497947,-0.033916,0.152349,0.461321,-0.041875,0.152451,0.427304,-0.046268
208,0,0.043526,0.023648,0.041057,0.090701,0.060397,0.142694,0.713883,0.000000,0.194229,0.719579,-0.027446,0.244949,0.695355,-0.037949,0.278076,0.655486,-0.045842,0.305514,0.620848,-0.052580,0.239138,0.584853,-0.018050,0.264519,0.530394,-0.031541,0.274362,0.493150,-0.042804,0.280318,0.459150,-0.051292,0.214024,0.558128,-0.015127,0.236928,0.493796,-0.026802,0.246634,0.451788,-0.037420,0.252102,0.415637,-0.045215,0.186003,0.548253,-0.015804,0.200078,0.483882,-0.029312,0.206223,0.443892,-0.039336,0.211171,0.409384,-0.045842,0.154244,0.552212,-0.019139,0.152492,0.497423,-0.033539,0.151239,0.460992,-0.041350,0.151352,0.427361,-0.045677
238,0,0.052323,0.022642,0.059658,0.142404,0.082386,0.141290,0.713851,0.000000,0.192490,0.719656,-0.027426,0.243604,0.695111,-0.037760,0.276824,0.655412,-0.045577,0.303682,0.620260,-0.052135,0.237635,0.584189,-0.017389,0.263083,0.529568,-0.030854,0.272803,0.492366,-0.042165,0.278402,0.458655,-0.050645,0.212582,0.557616,-0.014483,0.235380,0.493147,-0.026084,0.245102,0.451122,-0.036799,0.250437,0.415030,-0.044682,0.184586,0.548071,-0.015245,0.198351,0.483440,-0.028701,0.204415,0.443376,-0.038787,0.209405,0.408828,-0.045378,0.152743,0.552142,-0.018681,0.150989,0.497118,-0.032990,0.149656,0.460744,-0.040807,0.149811,0.426932,-0.045146
286,0,0.076747,0.049198,0.054566,0.216120,0.128692,0.139806,0.714092,0.000000,0.191165,0.718853,-0.026610,0.242340,0.694157,-0.036730,0.275264,0.653900,-0.044528,0.301767,0.618333,-0.051131,0.235476,0.583600,-0.016150,0.260744,0.528366,-0.029680,0.270200,0.491050,-0.041077,0.275567,0.457435,-0.049538,0.210451,0.557618,-0.013679,0.233088,0.492720,-0.025283,0.242602,0.450707,-0.036067,0.247904,0.414541,-0.043964,0.182632,0.548144,-0.014881,0.195815,0.483436,-0.028170,0.201655,0.442885,-0.038091,0.206544,0.407877,-0.044594,0.151031,0.552198,-0.018730,0.148602,0.497582,-0.032682,0.147112,0.461387,-0.040181,0.147206,0.427832,-0.044295
335,0,0.092922,0.058094,0.066135,0.307759,0.183919,0.138373,0.713719,0.000000,0.189780,0.717826,-0.026400,0.240802,0.692399,-0.036306,0.273709,0.652186,-0.043972,0.299666,0.616261,-0.050444,0.233380,0.581913,-0.015473,0.257778,0.525790,-0.028773,0.266960,0.488707,-0.040123,0.272056,0.455097,-0.048552,0.208088,0.556454,-0.013051,0.230014,0.491340,-0.024542,0.239146,0.449485,-0.035443,0.244259,0.413398,-0.043408,0.180007,0.547646,-0.014312,0.192625,0.482737,-0.027562,0.198224,0.442066,-0.037567,0.202858,0.406751,-0.044105,0.148485,0.552298,-0.018219,0.145999,0.497641,-0.032141,0.144228,0.461496,-0.039625,0.144152,0.427898,-0.043773
364,0,0.073230,0.047002,0.050507,0.373048,0.222455,0.136887,0.713981,0.000000,0.187896,0.717552,-0.026313,0.238759,0.690962,-0.036278,0.271395,0.650425,-0.044005,0.297476,0.614540,-0.050538,0.230997,0.581568,-0.015602,0.255216,0.525371,-0.028917,0.264419,0.487927,-0.040191,0.269498,0.453865,-0.048647,0.205679,0.556160,-0.013289,0.227192,0.490861,-0.024788,0.236134,0.448504,-0.035549,0.241060,0.411760,-0.043441,0.177731,0.547299,-0.014641,0.189908,0.482112,-0.027889,0.195127,0.441146,-0.037771,0.199534,0.405554,-0.044204,0.146226,0.552095,-0.018637,0.143419,0.497350,-0.032597,0.141439,0.461097,-0.039992,0.141058,0.427611,-0.044071
415,0,0.079547,0.056501,0.035829,0.418436,0.245469,0.135833,0.713938,0.000000,0.186346,0.716964,-0.026657,0.236547,0.689855,-0.036779,0.268805,0.648767,-0.044632,0.295032,0.612945,-0.051259,0.229208,0.580279,-0.016252,0.252936,0.524257,-0.029920,0.261872,0.486877,-0.041418,0.266759,0.452792,-0.049967,0.203917,0.555090,-0.013875,0.225052,0.489635,-0.025712,0.233609,0.447275,-0.036581,0.238275,0.410635,-0.044533,0.175943,0.546509,-0.015184,0.188025,0.481472,-0.028761,0.193026,0.440744,-0.038701,0.197179,0.405260,-0.045129,0.144528,0.551802,-0.019152,0.141431,0.496973,-0.033383,0.139307,0.460647,-0.040954,0.138767,0.426719,-0.045096
