t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
42,0,,,,0.000000,0.000000,0.125574,0.782795,0.000000,0.181634,0.792112,-0.032609,0.235318,0.778132,-0.049814,0.281600,0.761772,-0.064529,0.322732,0.756008,-0.078783,0.221926,0.643434,-0.029659,0.262372,0.593086,-0.048320,0.286176,0.558599,-0.063724,0.304541,0.524453,-0.075334,0.195100,0.610627,-0.027321,0.226273,0.538502,-0.043338,0.242582,0.491242,-0.056328,0.253063,0.447671,-0.066061,0.163395,0.599402,-0.028643,0.175158,0.524577,-0.045714,0.180778,0.475814,-0.058129,0.185971,0.429811,-0.066406,0.128439,0.606102,-0.033069,0.120090,0.545555,-0.049699,0.115642,0.504388,-0.057899,0.113978,0.463747,-0.062728
72,0,0.018431,0.018977,0.047454,0.018431,0.018977,0.125522,0.782715,0.000001,0.181829,0.792084,-0.032991,0.235262,0.778148,-0.050482,0.281638,0.761680,-0.065409,0.322732,0.756064,-0.079838,0.221872,0.643551,-0.030140,0.262113,0.592659,-0.049066,0.286201,0.558380,-0.064605,0.304453,0.524038,-0.076355,0.195034,0.610613,-0.027652,0.226261,0.538459,-0.043938,0.242856,0.491468,-0.057142,0.253605,0.447848,-0.067054,0.163222,0.599357,-0.028877,0.175175,0.524519,-0.046196,0.181019,0.475839,-0.058864,0.186344,0.430131,-0.067322,0.128344,0.606150,-0.033202,0.120122,0.545647,-0.050023,0.115598,0.504396,-0.058405,0.113629,0.463889,-0.063342
99,0,0.012338,0.015021,0.027444,0.017829,0.019466,0.125797,0.782825,0.000000,0.182089,0.792191,-0.032848,0.235291,0.778103,-0.050239,0.281655,0.761639,-0.065161,0.322737,0.756025,-0.079586,0.221739,0.643608,-0.029979,0.262018,0.592952,-0.048823,0.286011,0.558898,-0.064319,0.304414,0.524865,-0.076066,0.194958,0.610901,-0.027568,0.226166,0.539132,-0.043734,0.242679,0.492004,-0.056896,0.253346,0.448246,-0.066806,0.163321,0.599584,-0.028831,0.175212,0.524909,-0.046030,0.180976,0.476093,-0.058580,0.186358,0.430254,-0.066959,0.128453,0.606375,-0.033193,0.119964,0.545693,-0.049856,0.115328,0.504557,-0.058082,0.113580,0.464036,-0.062942
134,0,0.019930,0.021120,0.041880,0.032472,0.033415,0.125588,0.782720,0.000000,0.182002,0.792036,-0.032850,0.235287,0.778268,-0.050318,0.281514,0.761984,-0.065279,0.322631,0.756861,-0.079896,0.221776,0.643954,-0.030382,0.262108,0.592916,-0.049399,0.285930,0.558434,-0.064973,0.304134,0.524058,-0.076720,0.194950,0.611306,-0.028048,0.226292,0.539253,-0.044463,0.242696,0.491864,-0.057703,0.253278,0.448152,-0.067613,0.163082,0.599905,-0.029387,0.174994,0.524913,-0.046797,0.180774,0.476231,-0.059463,0.186175,0.430528,-0.067881,0.128065,0.606477,-0.033807,0.119937,0.545759,-0.050662,0.115414,0.504567,-0.059042,0.113725,0.463943,-0.063978
164,0,0.016452,0.022582,0.031809,0.041624,0.047336,0.126169,0.782928,0.000000,0.182281,0.792177,-0.032871,0.235740,0.778267,-0.050273,0.281808,0.761948,-0.065206,0.322803,0.756641,-0.079717,0.221880,0.644167,-0.030554,0.261880,0.593264,-0.049622,0.285500,0.558815,-0.065206,0.303956,0.524698,-0.076960,0.195090,0.611421,-0.028276,0.225972,0.539164,-0.044721,0.242355,0.491713,-0.058007,0.253103,0.447788,-0.067963,0.163210,0.600286,-0.029636,0.174919,0.525411,-0.047133,0.180654,0.476343,-0.059922,0.186113,0.430332,-0.068422,0.128365,0.607283,-0.034096,0.120061,0.546307,-0.051116,0.115446,0.504776,-0.059616,0.113548,0.464108,-0.064670
198,0,0.034123,0.042559,0.041497,0.025131,0.020984,0.125376,0.782888,0.000000,0.181651,0.792437,-0.032988,0.234905,0.778629,-0.050332,0.281435,0.762181,-0.065134,0.322763,0.756452,-0.079553,0.221725,0.644115,-0.029679,0.261896,0.593353,-0.048496,0.285691,0.558866,-0.064063,0.304142,0.524503,-0.075843,0.194954,0.611363,-0.027174,0.225856,0.539591,-0.043257,0.242228,0.492209,-0.056452,0.252901,0.448221,-0.066434,0.163037,0.600138,-0.028398,0.175005,0.525613,-0.045551,0.180758,0.476949,-0.058249,0.186222,0.431047,-0.066740,0.128147,0.606815,-0.032758,0.119823,0.546381,-0.049491,0.115281,0.505211,-0.057867,0.113461,0.464713,-0.062877
232,0,0.028629,0.037670,0.059193,0.044773,0.042259,0.126071,0.783334,0.000000,0.181722,0.792711,-0.032538,0.235180,0.778880,-0.049878,0.281464,0.762788,-0.064807,0.322298,0.757240,-0.079315,0.221811,0.644885,-0.030336,0.261579,0.593673,-0.049304,0.285465,0.559351,-0.064807,0.303915,0.525340,-0.076521,0.194947,0.612031,-0.028135,0.226105,0.539628,-0.044404,0.242492,0.492283,-0.057611,0.253018,0.448664,-0.067525,0.163035,0.600632,-0.029533,0.174860,0.525648,-0.046701,0.180740,0.476679,-0.059333,0.186206,0.430758,-0.067831,0.128037,0.607277,-0.033992,0.119838,0.546344,-0.050605,0.115246,0.505180,-0.058836,0.113425,0.464924,-0.063774
261,0,0.025145,0.031567,0.053987,0.063412,0.054944,0.126044,0.783952,0.000001,0.181947,0.792847,-0.033227,0.235035,0.778886,-0.050990,0.281491,0.762722,-0.066187,0.322642,0.756843,-0.080925,0.221746,0.644536,-0.030969,0.261687,0.593727,-0.050262,0.285752,0.559299,-0.066034,0.304167,0.525054,-0.077901,0.194849,0.611669,-0.028576,0.225798,0.539476,-0.045133,0.242378,0.492284,-0.058416,0.253058,0.448625,-0.068369,0.163013,0.600504,-0.029878,0.174729,0.525903,-0.047391,0.180475,0.476904,-0.060062,0.185843,0.430884,-0.068560,0.128022,0.607686,-0.034299,0.119866,0.547130,-0.051258,0.115219,0.505844,-0.059641,0.113355,0.465088,-0.064617
293,0,0.047432,0.073279,0.064450,0.028898,0.024612,0.125136,0.782814,0.000000,0.181248,0.792095,-0.032621,0.234723,0.778732,-0.049886,0.281478,0.762754,-0.064669,0.322355,0.757176,-0.078993,0.221602,0.644079,-0.029546,0.261896,0.593630,-0.048320,0.285784,0.559338,-0.063790,0.304064,0.525175,-0.075517,0.194807,0.611453,-0.027178,0.226137,0.539919,-0.043316,0.242424,0.492838,-0.056494,0.252810,0.449010,-0.066388,0.163134,0.600135,-0.028476,0.174847,0.525590,-0.045646,0.180584,0.477119,-0.058175,0.186008,0.431479,-0.066464,0.128135,0.606980,-0.032869,0.119664,0.546428,-0.049504,0.115109,0.505365,-0.057679,0.113546,0.464974,-0.062453
324,0,0.040714,0.060892,0.082983,0.056740,0.046888,0.125690,0.783559,0.000000,0.181575,0.792397,-0.032853,0.234940,0.778470,-0.050402,0.281431,0.762869,-0.065515,0.322391,0.757966,-0.080168,0.221279,0.644452,-0.030744,0.261333,0.593504,-0.049827,0.285026,0.559138,-0.065400,0.303516,0.525160,-0.077137,0.194499,0.611564,-0.028423,0.225827,0.539653,-0.044802,0.242263,0.492311,-0.057997,0.252626,0.448829,-0.067893,0.162640,0.600166,-0.029766,0.174334,0.525257,-0.047027,0.179989,0.476549,-0.059608,0.185111,0.431000,-0.068047,0.127671,0.606845,-0.034177,0.119396,0.546060,-0.050824,0.114716,0.505091,-0.059071,0.112929,0.464750,-0.064019
357,0,0.022359,0.032529,0.067794,0.045462,0.024742,0.124764,0.783293,0.000000,0.181309,0.792429,-0.032762,0.234889,0.778601,-0.050150,0.281176,0.762121,-0.064988,0.322208,0.756544,-0.079442,0.221193,0.644144,-0.030289,0.261437,0.593372,-0.049306,0.285396,0.559036,-0.064911,0.303725,0.524827,-0.076643,0.194366,0.611238,-0.027950,0.225569,0.539075,-0.044245,0.241853,0.491677,-0.057396,0.252282,0.448056,-0.067250,0.162627,0.600082,-0.029254,0.174298,0.525186,-0.046584,0.180051,0.476243,-0.059198,0.185343,0.430501,-0.067595,0.127760,0.607312,-0.033644,0.119163,0.546633,-0.050495,0.114329,0.505402,-0.058815,0.112390,0.464769,-0.063722
408,0,0.019718,0.022971,0.044183,0.059171,0.039147,0.125049,0.783286,0.000001,0.181625,0.792882,-0.033160,0.234907,0.778833,-0.050689,0.280795,0.762370,-0.065631,0.321876,0.756936,-0.080152,0.220968,0.644561,-0.030823,0.260901,0.593567,-0.049884,0.284761,0.559264,-0.065516,0.302994,0.525049,-0.077317,0.194122,0.611559,-0.028275,0.225533,0.539441,-0.044559,0.241959,0.492261,-0.057815,0.252550,0.448744,-0.067738,0.162342,0.600114,-0.029386,0.174128,0.525418,-0.046666,0.180008,0.476693,-0.059424,0.185307,0.431086,-0.067968,0.127424,0.606877,-0.033582,0.119122,0.546222,-0.050344,0.114505,0.505027,-0.058735,0.112661,0.464736,-0.063715
437,0,0.013865,0.019815,0.057149,0.052312,0.032065,0.125159,0.783689,0.000001,0.181372,0.792846,-0.033087,0.234454,0.778915,-0.050636,0.280691,0.762623,-0.065562,0.321778,0.756909,-0.080068,0.221266,0.644439,-0.030523,0.261488,0.593673,-0.049488,0.285129,0.558952,-0.064988,0.303364,0.524495,-0.076738,0.194276,0.611486,-0.028016,0.225554,0.539922,-0.044321,0.241714,0.492435,-0.057448,0.252082,0.448556,-0.067323,0.162400,0.600085,-0.029184,0.174194,0.525361,-0.046426,0.179973,0.476667,-0.058979,0.185373,0.430952,-0.067323,0.127374,0.606661,-0.033489,0.118963,0.546099,-0.050138,0.114379,0.505041,-0.058405,0.112849,0.464525,-0.063266
469,0,0.020014,0.016081,0.047183,0.057883,0.021403,0.124458,0.783702,0.000000,0.180386,0.792566,-0.032819,0.234038,0.778590,-0.050244,0.280605,0.762834,-0.065103,0.321322,0.757345,-0.079502,0.220638,0.644338,-0.030234,0.260792,0.593640,-0.049210,0.284494,0.559387,-0.064873,0.302688,0.524961,-0.076668,0.193777,0.611332,-0.027803,0.225086,0.539546,-0.043963,0.241324,0.492457,-0.057175,0.251855,0.448768,-0.067094,0.162041,0.599895,-0.029028,0.174010,0.525270,-0.046146,0.179702,0.476685,-0.058707,0.184832,0.430853,-0.067094,0.127157,0.606814,-0.033336,0.118805,0.546488,-0.049899,0.114079,0.505515,-0.058056,0.112141,0.464887,-0.062881
502,0,0.021201,0.024042,0.080418,0.057731,0.015260,0.123848,0.783866,0.000000,0.180206,0.793474,-0.032426,0.233782,0.779112,-0.049491,0.280058,0.762807,-0.064085,0.321161,0.757819,-0.078258,0.220466,0.644811,-0.029782,0.260565,0.593703,-0.048456,0.284353,0.559325,-0.063779,0.302457,0.525198,-0.075423,0.193678,0.611622,-0.027465,0.224992,0.539632,-0.043477,0.241264,0.492550,-0.056501,0.251631,0.448999,-0.066268,0.162049,0.600224,-0.028748,0.173971,0.525150,-0.045813,0.179530,0.476624,-0.058378,0.184543,0.431146,-0.066690,0.127210,0.606962,-0.033077,0.118630,0.546232,-0.049682,0.113709,0.505270,-0.057918,0.111675,0.465099,-0.062783
532,0,0.013378,0.022929,0.052137,0.061213,0.023468,0.124453,0.783888,0.000000,0.180696,0.792961,-0.032348,0.233976,0.778991,-0.049489,0.279962,0.763040,-0.064198,0.320647,0.757939,-0.078447,0.220647,0.644538,-0.029782,0.260621,0.593247,-0.048378,0.284258,0.558901,-0.063623,0.302240,0.524706,-0.075153,0.193715,0.611792,-0.027541,0.224854,0.539500,-0.043514,0.241147,0.492420,-0.056499,0.251485,0.449279,-0.066266,0.161727,0.600513,-0.028901,0.173257,0.525251,-0.045850,0.178930,0.476461,-0.058452,0.184068,0.431008,-0.066879,0.126811,0.607224,-0.033286,0.118178,0.546481,-0.049757,0.113316,0.505457,-0.058069,0.111451,0.465135,-0.063010
565,0,0.018776,0.018445,0.040552,0.066314,0.029714,0.124300,0.784024,0.000000,0.180478,0.792747,-0.032262,0.233951,0.778669,-0.049390,0.280123,0.762645,-0.064141,0.320689,0.757631,-0.078471,0.220033,0.644083,-0.029350,0.259919,0.593169,-0.048010,0.283468,0.558697,-0.063375,0.301519,0.524704,-0.074946,0.193219,0.611616,-0.027166,0.224286,0.538862,-0.043106,0.240612,0.491988,-0.056095,0.250992,0.449084,-0.065827,0.161572,0.600580,-0.028641,0.173222,0.525473,-0.045596,0.178762,0.476640,-0.058049,0.183641,0.431142,-0.066364,0.126821,0.607764,-0.033143,0.118288,0.547239,-0.049619,0.113536,0.506017,-0.057781,0.111506,0.465652,-0.062609
599,0,0.021284,0.017377,0.056907,0.069851,0.029793,0.124173,0.783803,0.000000,0.180213,0.793041,-0.032738,0.233197,0.778945,-0.050072,0.279342,0.762515,-0.064826,0.320520,0.756966,-0.079198,0.219559,0.644173,-0.030024,0.259531,0.592894,-0.048772,0.283151,0.558287,-0.064100,0.301424,0.524183,-0.075681,0.192922,0.611446,-0.027540,0.224087,0.539361,-0.043574,0.240378,0.491965,-0.056531,0.250853,0.448628,-0.066202,0.161281,0.600325,-0.028724,0.172816,0.525218,-0.045829,0.178493,0.476569,-0.058252,0.183574,0.431105,-0.066508,0.126745,0.607324,-0.032986,0.117906,0.546639,-0.049651,0.113086,0.505534,-0.057869,0.111148,0.465209,-0.062685
628,0,0.027026,0.023204,0.035181,0.087267,0.047581,0.124038,0.783449,0.000000,0.180020,0.792596,-0.033120,0.233147,0.778595,-0.050663,0.279225,0.762119,-0.065629,0.320351,0.756517,-0.080098,0.219582,0.643934,-0.030600,0.259192,0.592645,-0.049632,0.282894,0.558050,-0.065247,0.300990,0.523590,-0.077044,0.192841,0.611206,-0.028099,0.223796,0.539446,-0.044402,0.239972,0.492226,-0.057535,0.250351,0.448703,-0.067385,0.161013,0.599988,-0.029302,0.172797,0.525183,-0.046616,0.178486,0.476439,-0.059138,0.183698,0.430591,-0.067499,0.126142,0.606940,-0.033635,0.117591,0.546387,-0.050357,0.112851,0.505415,-0.058604,0.110941,0.464996,-0.063453
660,0,0.017426,0.019283,0.040290,0.078181,0.050790,0.124418,0.783186,0.000000,0.180543,0.792449,-0.033009,0.233827,0.778181,-0.050468,0.279611,0.761852,-0.065368,0.320493,0.756259,-0.079771,0.219799,0.643618,-0.030373,0.259346,0.592239,-0.049284,0.282802,0.557623,-0.064795,0.300863,0.523293,-0.076524,0.192720,0.610984,-0.027851,0.223512,0.538674,-0.044050,0.239764,0.491651,-0.057192,0.250155,0.448468,-0.067049,0.160923,0.599961,-0.028997,0.172358,0.525023,-0.046189,0.178174,0.476326,-0.058797,0.183288,0.430736,-0.067164,0.126075,0.607118,-0.033238,0.117649,0.546415,-0.049895,0.112758,0.505295,-0.058186,0.110694,0.464913,-0.063114
694,0,0.022094,0.026024,0.035179,0.090912,0.069236,0.124413,0.783392,0.000001,0.180454,0.792402,-0.033414,0.233388,0.778098,-0.051163,0.279148,0.761622,-0.066332,0.320515,0.756063,-0.081004,0.219889,0.643372,-0.030721,0.259342,0.592227,-0.049864,0.282983,0.557614,-0.065568,0.301044,0.523079,-0.077489,0.192972,0.610610,-0.028218,0.223631,0.538558,-0.044667,0.239781,0.491185,-0.057926,0.250134,0.447528,-0.067860,0.160986,0.599753,-0.029421,0.172562,0.524779,-0.046998,0.178098,0.476196,-0.059607,0.183327,0.430446,-0.068013,0.125981,0.607087,-0.033796,0.117446,0.546403,-0.050819,0.112701,0.505266,-0.059263,0.110788,0.464675,-0.064230
726,0,0.014145,0.014697,0.062682,0.091204,0.071379,0.124470,0.783489,0.000000,0.180422,0.792833,-0.033690,0.233392,0.778248,-0.051469,0.279299,0.761937,-0.066502,0.320504,0.755934,-0.081039,0.220280,0.643447,-0.031134,0.259567,0.591924,-0.050020,0.283040,0.556986,-0.065510,0.300911,0.522199,-0.077300,0.193016,0.610652,-0.028386,0.223520,0.538256,-0.044602,0.239365,0.490937,-0.057765,0.249452,0.447259,-0.067647,0.161025,0.599600,-0.029359,0.172623,0.524953,-0.046662,0.178308,0.476373,-0.059291,0.183579,0.430544,-0.067761,0.125808,0.606559,-0.033480,0.117441,0.545899,-0.050325,0.112638,0.504967,-0.058719,0.110664,0.464579,-0.063755
755,0,0.018967,0.024563,0.034975,0.100750,0.075482,0.124379,0.782585,0.000000,0.180435,0.792328,-0.033834,0.233614,0.778171,-0.051650,0.279731,0.761552,-0.066713,0.320805,0.755395,-0.081279,0.220165,0.643227,-0.031387,0.259267,0.591600,-0.050465,0.282764,0.556671,-0.066139,0.300647,0.521890,-0.078029,0.192960,0.610435,-0.028597,0.223047,0.537737,-0.044959,0.238638,0.490024,-0.058226,0.248781,0.446188,-0.068242,0.161014,0.599429,-0.029514,0.172647,0.524634,-0.046909,0.178538,0.476184,-0.059525,0.184093,0.430639,-0.068013,0.125940,0.606546,-0.033605,0.117615,0.545982,-0.050541,0.112863,0.505005,-0.058990,0.110892,0.464535,-0.064037
