t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
47,0,,,,0.000000,0.000000,0.167426,0.733628,0.000000,0.220744,0.738710,-0.031899,0.270771,0.715868,-0.045850,0.304449,0.679203,-0.056592,0.337253,0.652449,-0.066098,0.262608,0.595818,-0.022771,0.291588,0.540913,-0.037888,0.305618,0.503731,-0.050998,0.315764,0.468022,-0.061156,0.235807,0.568196,-0.018584,0.259529,0.501505,-0.031934,0.269385,0.456864,-0.044271,0.274420,0.417441,-0.053469,0.205629,0.559185,-0.018206,0.218002,0.492276,-0.032860,0.223941,0.450089,-0.043825,0.228575,0.411625,-0.051135,0.171672,0.564632,-0.020900,0.171426,0.508965,-0.035795,0.170986,0.472264,-0.043722,0.171820,0.437179,-0.048287
80,0,0.012894,0.011197,0.051542,0.012894,0.011197,0.167629,0.733578,0.000000,0.221073,0.738562,-0.031692,0.270972,0.715712,-0.045564,0.304696,0.678600,-0.056277,0.337453,0.652184,-0.065720,0.262959,0.595378,-0.022748,0.292140,0.540601,-0.037804,0.306019,0.503362,-0.050921,0.316079,0.467720,-0.061050,0.235975,0.568175,-0.018627,0.259489,0.501106,-0.031916,0.269465,0.456670,-0.044225,0.274649,0.417346,-0.053427,0.205593,0.559256,-0.018284,0.217986,0.492277,-0.032774,0.224231,0.450428,-0.043607,0.229069,0.412230,-0.050886,0.171706,0.564678,-0.020962,0.171348,0.509167,-0.035744,0.170957,0.472773,-0.043607,0.171992,0.437780,-0.048071
111,0,0.017278,0.017576,0.043586,0.019767,0.017750,0.167636,0.733382,0.000000,0.220909,0.738525,-0.031212,0.271235,0.715266,-0.044937,0.305106,0.678386,-0.055519,0.338150,0.652480,-0.064932,0.262998,0.595907,-0.022589,0.292083,0.541012,-0.037654,0.305986,0.503680,-0.050606,0.316084,0.468213,-0.060672,0.236152,0.568319,-0.018724,0.259851,0.501342,-0.032088,0.269766,0.457004,-0.044353,0.274805,0.417679,-0.053492,0.205954,0.559227,-0.018552,0.218292,0.492004,-0.033153,0.224362,0.449921,-0.044010,0.229068,0.411691,-0.051259,0.172102,0.564542,-0.021352,0.171488,0.508820,-0.036142,0.170984,0.472498,-0.043941,0.172051,0.437684,-0.048407
141,0,0.012473,0.012221,0.045585,0.019418,0.016169,0.167682,0.733214,0.000000,0.220733,0.738039,-0.031502,0.270959,0.715196,-0.045356,0.304762,0.678693,-0.056069,0.337499,0.652485,-0.065545,0.262989,0.595432,-0.022695,0.292242,0.540726,-0.037871,0.306144,0.503586,-0.050918,0.316144,0.468225,-0.060979,0.236151,0.567910,-0.018730,0.259945,0.501043,-0.032103,0.269969,0.456960,-0.044395,0.275085,0.417938,-0.053528,0.205878,0.558990,-0.018506,0.218606,0.492060,-0.033099,0.224715,0.450085,-0.043914,0.229481,0.411891,-0.051193,0.171835,0.564387,-0.021288,0.171648,0.508949,-0.036120,0.171359,0.472428,-0.043949,0.172543,0.437348,-0.048446
174,0,0.017979,0.019110,0.043808,0.032762,0.033571,0.167754,0.733066,0.000000,0.220829,0.738151,-0.030971,0.271259,0.715372,-0.044489,0.304915,0.678532,-0.054899,0.337491,0.652648,-0.064106,0.263129,0.596004,-0.022674,0.292412,0.541100,-0.037756,0.306375,0.503728,-0.050639,0.316327,0.468397,-0.060567,0.236308,0.568374,-0.018861,0.260120,0.501309,-0.032225,0.270197,0.456995,-0.044386,0.275506,0.418022,-0.053422,0.206161,0.559433,-0.018706,0.218750,0.492375,-0.033273,0.225077,0.450383,-0.044043,0.230132,0.412312,-0.051257,0.172402,0.564765,-0.021506,0.172023,0.509352,-0.036313,0.171707,0.472810,-0.044112,0.173009,0.437815,-0.048578
208,0,0.015775,0.020242,0.025573,0.026508,0.023480,0.167591,0.733414,0.000000,0.221001,0.738296,-0.031072,0.271221,0.715561,-0.044609,0.304959,0.678744,-0.055040,0.337596,0.652867,-0.064305,0.263394,0.595525,-0.022322,0.292346,0.540819,-0.037334,0.306279,0.503726,-0.050374,0.316391,0.468214,-0.060428,0.236301,0.568081,-0.018495,0.260056,0.501226,-0.031758,0.270078,0.456989,-0.043957,0.275326,0.417776,-0.053050,0.205960,0.559038,-0.018410,0.218547,0.492355,-0.032873,0.224751,0.450288,-0.043648,0.229635,0.411935,-0.050854,0.171932,0.564368,-0.021309,0.171809,0.508799,-0.036030,0.171409,0.472355,-0.043751,0.172533,0.437226,-0.048143
239,0,0.015253,0.014986,0.040085,0.033134,0.031195,0.167500,0.733481,0.000000,0.221087,0.738714,-0.031142,0.271187,0.715743,-0.044684,0.304768,0.678684,-0.055168,0.337500,0.652600,-0.064414,0.263233,0.595313,-0.021947,0.292489,0.540698,-0.036847,0.306301,0.503520,-0.049737,0.316274,0.468257,-0.059705,0.236228,0.567795,-0.018028,0.260067,0.501201,-0.031210,0.270217,0.457150,-0.043378,0.275506,0.418032,-0.052418,0.205830,0.558769,-0.017857,0.218399,0.491959,-0.032345,0.224576,0.450142,-0.043069,0.229556,0.412054,-0.050218,0.171885,0.564415,-0.020675,0.171627,0.508844,-0.035438,0.171307,0.472247,-0.043172,0.172454,0.437257,-0.047572
270,0,0.017979,0.023612,0.040075,0.023816,0.016825,0.167909,0.733585,0.000000,0.221339,0.738606,-0.031194,0.271343,0.715811,-0.044882,0.304808,0.678942,-0.055441,0.337347,0.652656,-0.064796,0.263037,0.595633,-0.022544,0.292215,0.541077,-0.037591,0.306103,0.503931,-0.050488,0.316221,0.468841,-0.060462,0.236199,0.567951,-0.018624,0.259961,0.501088,-0.031899,0.270111,0.456934,-0.043988,0.275443,0.417922,-0.052965,0.205777,0.558960,-0.018417,0.218411,0.491839,-0.032897,0.224614,0.449862,-0.043610,0.229569,0.411746,-0.050763,0.171966,0.564599,-0.021186,0.171762,0.509068,-0.035975,0.171361,0.472578,-0.043713,0.172381,0.437658,-0.048150
303,0,0.014828,0.011861,0.036308,0.019947,0.019454,0.167444,0.733709,0.000000,0.220944,0.738929,-0.031007,0.271175,0.715847,-0.044585,0.304600,0.678743,-0.055036,0.337260,0.652493,-0.064283,0.262921,0.595646,-0.022654,0.292036,0.540552,-0.037710,0.305813,0.503437,-0.050567,0.315729,0.468320,-0.060467,0.235836,0.568262,-0.018786,0.259745,0.501230,-0.032055,0.269852,0.456931,-0.044070,0.275169,0.418055,-0.052973,0.205410,0.559388,-0.018614,0.218005,0.491997,-0.033121,0.224240,0.450024,-0.043795,0.229086,0.411973,-0.050842,0.171435,0.565007,-0.021399,0.171474,0.509099,-0.036198,0.171098,0.472536,-0.043932,0.172152,0.437373,-0.048332
333,0,0.024298,0.027837,0.038256,0.017187,0.020398,0.167231,0.733348,0.000000,0.220442,0.739110,-0.031746,0.270316,0.716478,-0.045709,0.303798,0.679417,-0.056440,0.336556,0.653085,-0.065899,0.262345,0.595814,-0.022975,0.291660,0.541345,-0.038212,0.305605,0.504244,-0.051281,0.315617,0.468998,-0.061324,0.235628,0.568125,-0.018779,0.259662,0.501302,-0.032210,0.269766,0.457127,-0.044334,0.275058,0.418105,-0.053345,0.205548,0.558949,-0.018349,0.218059,0.491931,-0.032967,0.224234,0.450204,-0.043680,0.229068,0.412269,-0.050800,0.171850,0.564395,-0.020946,0.171336,0.509011,-0.035770,0.170747,0.472577,-0.043508,0.171628,0.437746,-0.047911
