t,missing,delta_l1,delta_l1_wrist,delta_angles,delta_base_l1,delta_base_l1_wrist,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
31,0,,,,0.000000,0.000000,0.188738,0.763972,0.000000,0.249537,0.745097,-0.028671,0.301910,0.692750,-0.036749,0.329022,0.629916,-0.042109,0.347140,0.576434,-0.046351,0.278360,0.583003,-0.010248,0.302202,0.512180,-0.023928,0.310964,0.465141,-0.037251,0.316373,0.424324,-0.046930,0.244745,0.564771,-0.006806,0.261132,0.484899,-0.018442,0.267664,0.432245,-0.031389,0.271587,0.388301,-0.040875,0.211199,0.563467,-0.007794,0.222334,0.486745,-0.020843,0.230672,0.438876,-0.030888,0.238551,0.397725,-0.037443,0.175233,0.574840,-0.011877,0.181793,0.512346,-0.024988,0.187598,0.471994,-0.031177,0.194585,0.434439,-0.034436
60,0,0.031423,0.028155,0.060064,0.031423,0.028155,0.188741,0.764468,0.000000,0.249188,0.745610,-0.028063,0.301283,0.693208,-0.036014,0.328679,0.631012,-0.041341,0.346630,0.577747,-0.045587,0.277809,0.583860,-0.010634,0.301640,0.512435,-0.024338,0.310529,0.465388,-0.037462,0.315793,0.424513,-0.046938,0.244508,0.565791,-0.007493,0.261058,0.485178,-0.019252,0.267477,0.432460,-0.032058,0.271183,0.388717,-0.041380,0.211046,0.564394,-0.008651,0.222216,0.486854,-0.021694,0.230249,0.439104,-0.031575,0.237579,0.398403,-0.037964,0.175176,0.575524,-0.012844,0.181686,0.512358,-0.025940,0.187455,0.471565,-0.032077,0.194039,0.433922,-0.035242
94,0,0.029254,0.026473,0.062344,0.052907,0.048240,0.188558,0.764516,0.000000,0.248741,0.744716,-0.027963,0.301433,0.692876,-0.036036,0.328942,0.631032,-0.041559,0.346589,0.577748,-0.046039,0.277456,0.583992,-0.010844,0.301133,0.512434,-0.024816,0.309855,0.465366,-0.038141,0.315273,0.424288,-0.047777,0.244123,0.565956,-0.007927,0.260276,0.485098,-0.019988,0.266659,0.432339,-0.033062,0.270424,0.388258,-0.042563,0.210640,0.564603,-0.009284,0.221324,0.487133,-0.022537,0.229255,0.439132,-0.032463,0.236763,0.398148,-0.038894,0.174756,0.575786,-0.013663,0.181180,0.512728,-0.026805,0.186603,0.472094,-0.032830,0.193185,0.434344,-0.035939
128,0,0.025800,0.027414,0.046361,0.040769,0.038526,0.188733,0.764745,0.000000,0.249304,0.744745,-0.028431,0.301555,0.692320,-0.036480,0.328861,0.630046,-0.041923,0.346778,0.576577,-0.046285,0.277335,0.584141,-0.010143,0.300973,0.512955,-0.023934,0.309793,0.465882,-0.037310,0.315288,0.424433,-0.047057,0.244005,0.566158,-0.006987,0.260002,0.485628,-0.018916,0.266271,0.432677,-0.032060,0.270089,0.388306,-0.041653,0.210539,0.564849,-0.008261,0.221117,0.487560,-0.021598,0.229051,0.439420,-0.031693,0.236360,0.398100,-0.038236,0.174727,0.575920,-0.012633,0.181144,0.512733,-0.025883,0.186649,0.472172,-0.032021,0.193200,0.434432,-0.035245
156,0,0.028326,0.021413,0.043757,0.060438,0.045307,0.188718,0.765230,0.000000,0.248847,0.745309,-0.028251,0.301000,0.693576,-0.036402,0.328453,0.631302,-0.041933,0.346083,0.577606,-0.046442,0.277139,0.584457,-0.010666,0.300847,0.513082,-0.024589,0.309634,0.465909,-0.038001,0.314905,0.424610,-0.047714,0.243795,0.566736,-0.007607,0.260252,0.486071,-0.019560,0.266736,0.433075,-0.032644,0.270593,0.388864,-0.042202,0.210382,0.565509,-0.008884,0.221475,0.487938,-0.022007,0.229492,0.439761,-0.032008,0.237173,0.398800,-0.038502,0.174411,0.576531,-0.013229,0.180920,0.513701,-0.026285,0.186681,0.473001,-0.032336,0.193697,0.435309,-0.035458
189,0,0.032974,0.038290,0.038913,0.052850,0.022326,0.187786,0.764901,0.000000,0.247906,0.744523,-0.027862,0.300601,0.692616,-0.035826,0.328211,0.630538,-0.041263,0.345999,0.577057,-0.045621,0.276832,0.583734,-0.009737,0.300804,0.512613,-0.023350,0.309523,0.465998,-0.036655,0.314593,0.425284,-0.046276,0.243456,0.566047,-0.006806,0.260005,0.485736,-0.018472,0.266576,0.433202,-0.031564,0.270178,0.389286,-0.041109,0.210021,0.564863,-0.008219,0.221482,0.487617,-0.021210,0.229611,0.439826,-0.031237,0.237086,0.399003,-0.037735,0.174153,0.575997,-0.012659,0.180779,0.513025,-0.025645,0.186541,0.472660,-0.031622,0.193511,0.435013,-0.034707
225,0,0.024398,0.023161,0.059708,0.072594,0.040754,0.187618,0.764605,0.000000,0.247906,0.743769,-0.027543,0.300539,0.691899,-0.035496,0.328183,0.630329,-0.041035,0.345690,0.576476,-0.045552,0.276361,0.584081,-0.009714,0.299938,0.512689,-0.023432,0.308540,0.465943,-0.036731,0.313908,0.424958,-0.046324,0.243106,0.566302,-0.007060,0.259274,0.485681,-0.018848,0.265578,0.433097,-0.031944,0.269198,0.388977,-0.041499,0.209711,0.565197,-0.008720,0.220503,0.487662,-0.021772,0.228241,0.439773,-0.031674,0.235561,0.398898,-0.038082,0.173897,0.576259,-0.013395,0.180323,0.513074,-0.026308,0.186065,0.472631,-0.032157,0.193061,0.435205,-0.035148
270,0,0.021644,0.039135,0.068093,0.067575,0.058077,0.188003,0.765292,0.000000,0.247320,0.744739,-0.027671,0.300033,0.692327,-0.035649,0.327984,0.630509,-0.041160,0.344806,0.576236,-0.045553,0.276258,0.583831,-0.009991,0.299900,0.512611,-0.023740,0.308409,0.465729,-0.037074,0.313466,0.424924,-0.046632,0.242984,0.565879,-0.007188,0.259113,0.485388,-0.018913,0.265168,0.432774,-0.031833,0.268288,0.389049,-0.041198,0.209502,0.564361,-0.008700,0.220539,0.486915,-0.021582,0.228054,0.439352,-0.031236,0.234993,0.398888,-0.037460,0.173563,0.575143,-0.013248,0.180358,0.512083,-0.025917,0.185882,0.471955,-0.031525,0.192454,0.435087,-0.034338
303,0,0.055125,0.058431,0.058314,0.110103,0.066196,0.187235,0.764697,0.000000,0.246991,0.744228,-0.028588,0.299426,0.692989,-0.037241,0.326989,0.631603,-0.043306,0.344380,0.577277,-0.048290,0.275856,0.583856,-0.011010,0.299310,0.512669,-0.025285,0.307962,0.465944,-0.038941,0.313359,0.425161,-0.048715,0.242274,0.566185,-0.007939,0.258435,0.485718,-0.020108,0.264628,0.433187,-0.033359,0.267945,0.389472,-0.042959,0.208619,0.565201,-0.009243,0.219876,0.488091,-0.022542,0.227501,0.440325,-0.032489,0.234554,0.399754,-0.038883,0.172621,0.576776,-0.013637,0.179609,0.513904,-0.026733,0.185382,0.473661,-0.032625,0.192052,0.436332,-0.035599
331,0,0.037068,0.042230,0.049549,0.095589,0.035745,0.186935,0.765741,0.000000,0.247419,0.745237,-0.028525,0.299644,0.693873,-0.036903,0.326941,0.631895,-0.042682,0.344559,0.578045,-0.047343,0.275513,0.584577,-0.010112,0.298828,0.513392,-0.024037,0.307619,0.466519,-0.037635,0.313039,0.425503,-0.047458,0.242186,0.566398,-0.006871,0.258115,0.486400,-0.018712,0.264369,0.433595,-0.031915,0.267983,0.389649,-0.041565,0.208558,0.565107,-0.008056,0.219677,0.488135,-0.021148,0.227315,0.440681,-0.031183,0.234436,0.400171,-0.037674,0.172659,0.576026,-0.012336,0.179571,0.513450,-0.025289,0.185393,0.473339,-0.031260,0.192292,0.436405,-0.034323
