t,missing,delta_l1,delta_l1_wrist,delta_angles,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0,0,,,,0.530223,0.499240,-0.000360,0.517766,0.524622,0.000283,0.492143,0.524618,-0.000125,0.475548,0.500783,0.000009,0.487633,0.472814,0.000240,0.518582,0.465785,0.000143,0.541300,0.484828,0.000489,0.536934,0.512454,-0.000551,0.512367,0.521419,-0.000652,0.490021,0.503920,0.000166,0.495319,0.474047,0.000058,0.522890,0.458806,0.000083,0.549843,0.472092,0.000579,0.553347,0.499932,-0.000727,0.531667,0.515381,-0.000672,0.506782,0.503870,-0.000355,0.503487,0.475147,-0.000208,0.525280,0.453785,0.000699,0.556046,0.459645,-0.000526,0.568028,0.484958,-0.000193,0.553026,0.507612,0.000091
33,0,0.032875,0.050888,0.203550,0.530295,0.500549,0.000442,0.517776,0.523495,-0.000295,0.491144,0.524816,0.000709,0.476902,0.500937,0.000249,0.488224,0.473959,-0.000066,0.518134,0.465827,0.000098,0.540425,0.485753,0.000637,0.536456,0.512261,0.000796,0.511650,0.521026,-0.000725,0.490042,0.503567,0.000467,0.494703,0.472981,-0.000189,0.522927,0.459047,0.000754,0.549893,0.471121,0.000353,0.553514,0.499664,-0.000373,0.532328,0.515097,-0.000104,0.507135,0.505235,0.000601,0.502892,0.475364,-0.000514,0.526405,0.454751,-0.000322,0.556032,0.459645,-0.000555,0.568081,0.485559,0.000446,0.552291,0.506589,-0.000281
66,0,0.037578,0.046218,0.184873,0.529231,0.500687,0.000606,0.518740,0.523936,-0.000707,0.492120,0.525994,-0.000663,0.476278,0.500544,0.000417,0.488816,0.472701,-0.000040,0.518590,0.465856,0.000596,0.540682,0.485156,0.000063,0.536985,0.512231,-0.000301,0.512427,0.521921,-0.000099,0.490694,0.502757,-0.000440,0.494569,0.473821,-0.000432,0.521685,0.458314,0.000210,0.548882,0.472551,0.000575,0.552537,0.499186,0.000270,0.531645,0.515130,0.000697,0.507323,0.504465,0.000455,0.503762,0.474868,-0.000645,0.525635,0.454036,-0.000053,0.556176,0.459748,0.000775,0.567019,0.485341,-0.000257,0.552821,0.506986,-0.000496
99,0,0.034440,0.061950,0.247800,0.529918,0.499875,-0.000354,0.517809,0.524921,-0.000091,0.492094,0.525359,-0.000719,0.477099,0.501771,0.000750,0.489073,0.473854,-0.000534,0.518487,0.465774,-0.000158,0.540099,0.485424,0.000776,0.536241,0.513164,-0.000072,0.511512,0.522412,0.000793,0.490755,0.503713,-0.000552,0.494503,0.474429,0.000127,0.522200,0.459397,-0.000709,0.549450,0.471907,0.000564,0.552675,0.500342,-0.000672,0.531599,0.515870,0.000280,0.506786,0.503900,0.000624,0.502864,0.475514,0.000191,0.525616,0.454292,0.000036,0.556505,0.458997,0.000346,0.567243,0.485330,0.000275,0.551922,0.507094,0.000403
132,0,0.036565,0.059297,0.237188,0.529316,0.499933,0.000798,0.519003,0.523561,-0.000459,0.491140,0.525972,0.000609,0.476907,0.501025,-0.000548,0.488925,0.473622,0.000179,0.519289,0.466479,-0.000787,0.541312,0.485297,0.000261,0.537319,0.512124,-0.000615,0.511006,0.521766,-0.000364,0.490834,0.503712,-0.000474,0.495043,0.473302,-0.000018,0.522781,0.459554,-0.000652,0.549193,0.471546,-0.000794,0.553657,0.499824,-0.000381,0.532488,0.515801,-0.000116,0.506425,0.503829,0.000613,0.503917,0.475436,0.000535,0.525877,0.453595,-0.000596,0.555503,0.460109,0.000474,0.568238,0.486135,-0.000464,0.551842,0.506753,0.000448
165,0,0.038827,0.061456,0.245823,0.530615,0.499850,0.000193,0.517656,0.524932,0.000583,0.492278,0.525776,0.000610,0.475540,0.501612,-0.000269,0.489080,0.473780,0.000583,0.519007,0.465859,0.000460,0.540178,0.486213,0.000574,0.536173,0.513216,-0.000064,0.511323,0.522153,-0.000436,0.489904,0.502873,-0.000275,0.495411,0.474426,-0.000353,0.522359,0.458840,0.000770,0.549374,0.472606,-0.000615,0.553976,0.499091,0.000740,0.531727,0.515092,-0.000105,0.507575,0.504211,0.000170,0.503288,0.475179,0.000123,0.525353,0.454492,-0.000797,0.556490,0.459532,0.000351,0.568048,0.485769,-0.000217,0.551554,0.507651,-0.000272
198,0,0.037484,0.051440,0.205760,0.529702,0.500557,0.000352,0.517890,0.523939,-0.000147,0.491359,0.524952,-0.000596,0.476173,0.501938,0.000284,0.489035,0.473481,-0.000318,0.518587,0.465433,-0.000341,0.540693,0.485746,0.000248,0.536561,0.512617,-0.000458,0.511592,0.522323,0.000474,0.490138,0.502699,0.000025,0.495041,0.473416,0.000509,0.522535,0.459277,-0.000441,0.548834,0.471142,-0.000408,0.553184,0.500165,-0.000683,0.531965,0.515926,-0.000489,0.507524,0.504500,-0.000410,0.503520,0.474572,0.000402,0.526177,0.453529,-0.000120,0.555291,0.460203,0.000029,0.566941,0.485095,0.000557,0.552173,0.507871,0.000268
231,0,0.034409,0.043855,0.175421,0.530781,0.500153,0.000720,0.518835,0.524424,0.000351,0.491523,0.525808,0.000077,0.476936,0.501623,-0.000041,0.488005,0.472892,0.000220,0.518935,0.466266,0.000203,0.540444,0.484942,-0.000343,0.536252,0.512421,0.000064,0.511056,0.521251,0.000310,0.490996,0.502666,-0.000148,0.494896,0.473545,-0.000469,0.522005,0.459648,0.000135,0.549628,0.472474,0.000425,0.553032,0.498814,-0.000237,0.532508,0.516284,0.000725,0.507080,0.504905,0.000074,0.503435,0.474916,-0.000449,0.525642,0.453405,-0.000262,0.556096,0.459317,-0.000536,0.567609,0.484901,0.000196,0.551486,0.507219,0.000103
264,0,0.034089,0.064110,0.256442,0.529243,0.500228,-0.000583,0.518148,0.523525,-0.000193,0.491054,0.525002,0.000418,0.476107,0.501637,0.000531,0.487994,0.472627,-0.000769,0.518573,0.467032,-0.000240,0.541045,0.486068,0.000243,0.537024,0.513429,-0.000481,0.510868,0.521125,-0.000598,0.490937,0.503466,-0.000451,0.495147,0.474106,-0.000532,0.522304,0.459397,-0.000617,0.549827,0.472646,-0.000627,0.552464,0.499304,0.000284,0.532835,0.515553,0.000344,0.506531,0.504814,0.000204,0.502633,0.475799,0.000560,0.525906,0.453552,0.000774,0.556262,0.459226,-0.000115,0.567454,0.485506,-0.000254,0.552802,0.507904,-0.000631
297,0,0.039941,0.059547,0.238187,0.530737,0.500217,0.000526,0.518541,0.524141,0.000374,0.492260,0.524911,0.000493,0.476361,0.501207,-0.000103,0.488760,0.472925,0.000563,0.519039,0.465571,0.000611,0.540395,0.485561,0.000177,0.536423,0.511956,0.000562,0.511126,0.521220,0.000477,0.490411,0.503972,0.000322,0.494470,0.472896,0.000717,0.521470,0.459352,-0.000018,0.549729,0.472208,0.000233,0.553209,0.500074,-0.000651,0.531657,0.516025,-0.000310,0.507340,0.504466,0.000049,0.503151,0.475756,-0.000271,0.526070,0.453792,-0.000398,0.555203,0.458979,-0.000609,0.567719,0.485916,-0.000504,0.551789,0.507363,0.000359
